"model","signal","n","p","rho","reps","a","b","epsilon","block_size"
"A",1,500,100,0,200,0.2,0.2,0.05,128
"A",1,1000,100,0,200,0.2,0.2,0.05,128
"A",1,2000,100,0,200,0.2,0.2,0.05,128
"A",1,500,500,0,200,0.2,0.2,0.05,128
"A",1,1000,500,0,200,0.2,0.2,0.05,128
"A",1,2000,500,0,200,0.2,0.2,0.05,128
"A",1,500,1000,0,200,0.2,0.2,0.05,128
"A",1,1000,1000,0,200,0.2,0.2,0.05,128
"A",1,2000,1000,0,200,0.2,0.2,0.05,128
"A",1,500,5000,0,200,0.2,0.2,0.05,128
"A",1,1000,5000,0,200,0.2,0.2,0.05,128
"A",1,2000,5000,0,200,0.2,0.2,0.05,128
