"model","signal","n","p","rho","reps","a","b","epsilon","block_size"
"A",1,500,100,0,100,0.2,0.2,0.05,64
"C",1,500,100,0,100,0.2,0.2,0.05,64
"D",1,500,100,0,100,0.2,0.2,0.05,64
"E",1,500,100,0,100,0.2,0.2,0.05,64
"A",1,1000,100,0,100,0.2,0.2,0.05,64
"C",1,1000,100,0,100,0.2,0.2,0.05,64
"D",1,1000,100,0,100,0.2,0.2,0.05,64
"E",1,1000,100,0,100,0.2,0.2,0.05,64
"A",1,2000,100,0,100,0.2,0.2,0.05,64
"C",1,2000,100,0,100,0.2,0.2,0.05,64
"D",1,2000,100,0,100,0.2,0.2,0.05,64
"E",1,2000,100,0,100,0.2,0.2,0.05,64
"A",1,500,100,0.5,100,0.2,0.2,0.05,64
"C",1,500,100,0.5,100,0.2,0.2,0.05,64
"D",1,500,100,0.5,100,0.2,0.2,0.05,64
"E",1,500,100,0.5,100,0.2,0.2,0.05,64
"A",1,1000,100,0.5,100,0.2,0.2,0.05,64
"C",1,1000,100,0.5,100,0.2,0.2,0.05,64
"D",1,1000,100,0.5,100,0.2,0.2,0.05,64
"E",1,1000,100,0.5,100,0.2,0.2,0.05,64
"A",1,2000,100,0.5,100,0.2,0.2,0.05,64
"C",1,2000,100,0.5,100,0.2,0.2,0.05,64
"D",1,2000,100,0.5,100,0.2,0.2,0.05,64
"E",1,2000,100,0.5,100,0.2,0.2,0.05,64
