"model","signal","n","p","rho","reps","a","b","epsilon","block_size"
"A",1,500,100,0,30,0.25,0,0.05,32
"C",1,500,100,0,30,0.25,0,0.05,32
"D",1,500,100,0,30,0.25,0,0.05,32
"E",1,500,100,0,30,0.25,0,0.05,32
"A",1,500,100,0,30,0.3,0,0.05,32
"C",1,500,100,0,30,0.3,0,0.05,32
"D",1,500,100,0,30,0.3,0,0.05,32
"E",1,500,100,0,30,0.3,0,0.05,32
"A",1,500,100,0,30,0.35,0,0.05,32
"C",1,500,100,0,30,0.35,0,0.05,32
"D",1,500,100,0,30,0.35,0,0.05,32
"E",1,500,100,0,30,0.35,0,0.05,32
"A",1,500,100,0,30,0.4,0,0.05,32
"C",1,500,100,0,30,0.4,0,0.05,32
"D",1,500,100,0,30,0.4,0,0.05,32
"E",1,500,100,0,30,0.4,0,0.05,32
"A",1,500,100,0,30,0.45,0,0.05,32
"C",1,500,100,0,30,0.45,0,0.05,32
"D",1,500,100,0,30,0.45,0,0.05,32
"E",1,500,100,0,30,0.45,0,0.05,32
"A",1,500,100,0,30,0.2,0,0.05,32
"C",1,500,100,0,30,0.2,0,0.05,32
"D",1,500,100,0,30,0.2,0,0.05,32
"E",1,500,100,0,30,0.2,0,0.05,32
"A",1,500,100,0,30,0.25,0.1,0.05,32
"C",1,500,100,0,30,0.25,0.1,0.05,32
"D",1,500,100,0,30,0.25,0.1,0.05,32
"E",1,500,100,0,30,0.25,0.1,0.05,32
"A",1,500,100,0,30,0.3,0.1,0.05,32
"C",1,500,100,0,30,0.3,0.1,0.05,32
"D",1,500,100,0,30,0.3,0.1,0.05,32
"E",1,500,100,0,30,0.3,0.1,0.05,32
"A",1,500,100,0,30,0.35,0.1,0.05,32
"C",1,500,100,0,30,0.35,0.1,0.05,32
"D",1,500,100,0,30,0.35,0.1,0.05,32
"E",1,500,100,0,30,0.35,0.1,0.05,32
"A",1,500,100,0,30,0.4,0.1,0.05,32
"C",1,500,100,0,30,0.4,0.1,0.05,32
"D",1,500,100,0,30,0.4,0.1,0.05,32
"E",1,500,100,0,30,0.4,0.1,0.05,32
"A",1,500,100,0,30,0.45,0.1,0.05,32
"C",1,500,100,0,30,0.45,0.1,0.05,32
"D",1,500,100,0,30,0.45,0.1,0.05,32
"E",1,500,100,0,30,0.45,0.1,0.05,32
"A",1,500,100,0,30,0.2,0.1,0.05,32
"C",1,500,100,0,30,0.2,0.1,0.05,32
