"n","p","rho","model","rule","reps","sure4","sure10","sure20","sure30","sure50","ermax","top4_scale","top24_scale"
2000,500,0,"M1","screen seul",100,0.31,0.73,0.85,0.89,0.91,16.68,0.03,0.82
2000,500,0,"M1","screen 9 minimum",100,0.42,0.85,0.92,0.93,0.95,11.64,0.02,0.88
2000,500,0,"M1","Yoshida-Umezu",100,0.02,0.09,0.11,0.17,0.23,202.87,0.31,1.28
2000,500,0,"M1","quantile .90",100,0.02,0.22,0.41,0.51,0.66,51.97,0.21,1.06
2000,500,0,"M1","quantile .95",100,0.5,0.87,0.95,0.97,1,7,0.05,0.75
2000,500,0,"M1","quantile .975",100,0.23,0.75,0.89,0.98,0.99,9.86,0.04,0.89
2000,500,0,"M1","quantile .99",100,0.01,0.19,0.47,0.61,0.78,33.95,0.16,0.8
2000,500,0,"M1","pipeline + 9 min",100,0.55,0.92,0.97,0.97,0.97,5.21649484536082,NA,NA
2000,500,0,"M2","screen seul",100,0.02,0.1,0.21,0.27,0.38,140.66,1.15,4.66
2000,500,0,"M2","screen 9 minimum",100,0.02,0.2,0.38,0.48,0.64,62.03,0.82,4.36
2000,500,0,"M2","Yoshida-Umezu",100,0,0,0.01,0.06,0.12,214.8,1.87,9.73
2000,500,0,"M2","quantile .90",100,0,0,0,0.7,0.89,37.41,4,20
2000,500,0,"M2","quantile .95",100,0,0,0.03,0.75,0.94,32.21,3.81,19.91
2000,500,0,"M2","quantile .975",100,0,0.02,0.16,0.56,0.87,34.5,3.08,17.34
2000,500,0,"M2","quantile .99",100,0,0.04,0.18,0.28,0.48,64.09,1.1,6.62
2000,500,0,"M2","pipeline + 9 min",100,0.06,0.3,0.43,0.44,0.44,8.88636363636364,NA,NA
2000,500,0,"M3","screen seul",100,0.02,0.07,0.15,0.21,0.28,150.54,0.05,0.81
2000,500,0,"M3","screen 9 minimum",100,0.02,0.15,0.27,0.36,0.48,99.39,0.1,0.79
2000,500,0,"M3","Yoshida-Umezu",100,0,0.02,0.05,0.07,0.12,236.45,0.29,1.22
2000,500,0,"M3","quantile .90",100,0,0.01,0.03,0.09,0.24,154.93,0.19,1.09
2000,500,0,"M3","quantile .95",100,0.04,0.25,0.49,0.63,0.76,47.62,0.06,0.88
2000,500,0,"M3","quantile .975",100,0,0.12,0.32,0.43,0.55,73.74,0.08,0.92
2000,500,0,"M3","quantile .99",100,0,0.02,0.04,0.1,0.21,150.44,0.09,1.03
2000,500,0,"M3","pipeline + 9 min",100,0.08,0.39,0.55,0.58,0.58,9.70689655172414,NA,NA
2000,500,0,"M4","screen seul",100,0.16,0.48,0.64,0.69,0.77,40.03,0.04,0.6
2000,500,0,"M4","screen 9 minimum",100,0.18,0.58,0.8,0.87,0.92,17.47,0.1,0.83
2000,500,0,"M4","Yoshida-Umezu",100,0.03,0.06,0.09,0.1,0.13,218.43,0.31,1.25
2000,500,0,"M4","quantile .90",100,0.03,0.15,0.31,0.48,0.6,65.28,0.24,1.26
2000,500,0,"M4","quantile .95",100,0.33,0.8,0.86,0.93,0.96,11.63,0.04,0.84
2000,500,0,"M4","quantile .975",100,0.15,0.68,0.88,0.95,0.98,11.19,0.08,0.88
2000,500,0,"M4","quantile .99",100,0,0.12,0.31,0.44,0.65,50.93,0.14,0.83
2000,500,0,"M4","pipeline + 9 min",100,0.41,0.84,0.89,0.9,0.9,6.04444444444444,NA,NA
2000,500,0.25,"M1","screen seul",100,0.82,0.99,1,1,1,4.48,0,0.84
2000,500,0.25,"M1","screen 9 minimum",100,0.88,0.99,0.99,1,1,4.35,0.02,1.04
2000,500,0.25,"M1","Yoshida-Umezu",100,0.22,0.38,0.43,0.49,0.56,103,0.49,2.2
2000,500,0.25,"M1","quantile .90",100,0.29,0.74,0.91,0.94,0.97,10.1,0.26,1.96
2000,500,0.25,"M1","quantile .95",100,0.9,1,1,1,1,4.14,0.01,1.33
2000,500,0.25,"M1","quantile .975",100,0.7,0.98,1,1,1,4.59,0.03,0.88
2000,500,0.25,"M1","quantile .99",100,0.11,0.6,0.85,0.96,0.99,12.68,0.06,0.83
2000,500,0.25,"M1","pipeline + 9 min",100,0.96,1,1,1,1,4.06,NA,NA
2000,500,0.25,"M2","screen seul",100,0.36,0.55,0.69,0.78,0.86,31.43,0.16,2.17
2000,500,0.25,"M2","screen 9 minimum",100,0.48,0.91,0.97,0.97,0.99,6.99,0.15,2.89
2000,500,0.25,"M2","Yoshida-Umezu",100,0.01,0.03,0.1,0.21,0.36,119.18,1.61,9.68
2000,500,0.25,"M2","quantile .90",100,0,0.01,0.05,0.99,1,23.61,3.67,20
2000,500,0.25,"M2","quantile .95",100,0.06,0.22,0.64,1,1,16.68,2.21,19.19
2000,500,0.25,"M2","quantile .975",100,0.19,0.65,0.93,0.99,1,9.38,1.05,13.61
2000,500,0.25,"M2","quantile .99",100,0.05,0.4,0.79,0.86,0.93,18.91,0.43,4.73
2000,500,0.25,"M2","pipeline + 9 min",100,0.74,0.98,0.98,0.98,0.98,4.40816326530612,NA,NA
2000,500,0.25,"M3","screen seul",100,0.21,0.42,0.56,0.62,0.67,63.29,0.06,0.87
2000,500,0.25,"M3","screen 9 minimum",100,0.19,0.62,0.79,0.82,0.89,23.76,0.07,1.03
2000,500,0.25,"M3","Yoshida-Umezu",100,0.05,0.11,0.19,0.29,0.33,170.8,0.33,1.63
2000,500,0.25,"M3","quantile .90",100,0.15,0.49,0.65,0.72,0.83,29.88,0.27,1.51
2000,500,0.25,"M3","quantile .95",100,0.43,0.88,0.97,0.99,0.99,7,0.03,0.77
2000,500,0.25,"M3","quantile .975",100,0.16,0.64,0.82,0.89,0.93,14.82,0.04,0.85
2000,500,0.25,"M3","quantile .99",100,0.01,0.09,0.22,0.39,0.62,67.09,0.08,0.84
2000,500,0.25,"M3","pipeline + 9 min",100,0.37,0.87,0.98,0.99,0.99,6.61616161616162,NA,NA
2000,500,0.25,"M4","screen seul",100,0.75,0.88,0.93,0.94,0.99,7.5,0.01,0.79
2000,500,0.25,"M4","screen 9 minimum",100,0.73,0.97,0.97,0.98,1,5.36,0.02,0.91
2000,500,0.25,"M4","Yoshida-Umezu",100,0.31,0.46,0.57,0.59,0.65,79.35,0.32,2.16
2000,500,0.25,"M4","quantile .90",100,0.35,0.8,0.93,0.94,0.97,10.67,0.33,1.74
2000,500,0.25,"M4","quantile .95",100,0.84,0.97,0.99,1,1,4.58,0.02,1.02
2000,500,0.25,"M4","quantile .975",100,0.55,0.95,0.99,1,1,5.32,0.02,1.07
2000,500,0.25,"M4","quantile .99",100,0.07,0.39,0.74,0.84,0.96,18.14,0.1,0.92
2000,500,0.25,"M4","pipeline + 9 min",100,0.92,0.99,1,1,1,4.21,NA,NA
2000,1000,0,"M1","screen seul",100,0.2,0.46,0.58,0.63,0.72,58.71,0.02,0.33
2000,1000,0,"M1","screen 9 minimum",100,0.22,0.6,0.75,0.83,0.86,30.41,0.01,0.46
2000,1000,0,"M1","Yoshida-Umezu",100,0.01,0.01,0.04,0.06,0.12,455.77,0.35,1.08
2000,1000,0,"M1","quantile .90",100,0.01,0.09,0.2,0.28,0.42,132.29,0.17,0.82
2000,1000,0,"M1","quantile .95",100,0.27,0.7,0.85,0.93,0.98,11.67,0.05,0.56
2000,1000,0,"M1","quantile .975",100,0.16,0.6,0.78,0.9,0.94,16.22,0.06,0.48
2000,1000,0,"M1","quantile .99",100,0.01,0.12,0.25,0.38,0.55,69.55,0.06,0.34
2000,1000,0,"M1","pipeline + 9 min",100,0.43,0.78,0.91,0.91,0.91,6.40659340659341,NA,NA
2000,1000,0,"M2","screen seul",100,0,0.05,0.1,0.14,0.18,315.24,1.18,4.66
2000,1000,0,"M2","screen 9 minimum",100,0,0.13,0.23,0.34,0.45,108.79,0.89,4.18
2000,1000,0,"M2","Yoshida-Umezu",100,0,0,0,0.03,0.07,360.1,1.65,8.56
2000,1000,0,"M2","quantile .90",100,0,0,0.01,0.56,0.79,52.31,4,20
2000,1000,0,"M2","quantile .95",100,0,0.01,0.01,0.69,0.86,42.46,3.9,19.87
2000,1000,0,"M2","quantile .975",100,0,0.04,0.13,0.44,0.79,45.21,3.12,16.05
2000,1000,0,"M2","quantile .99",100,0,0.01,0.03,0.07,0.25,142.45,0.94,5.33
2000,1000,0,"M2","pipeline + 9 min",100,0.06,0.3,0.41,0.41,0.41,8.70731707317073,NA,NA
2000,1000,0,"M3","screen seul",100,0.01,0.04,0.08,0.12,0.19,311.07,0.03,0.39
2000,1000,0,"M3","screen 9 minimum",100,0.01,0.06,0.13,0.22,0.29,177.65,0.08,0.37
2000,1000,0,"M3","Yoshida-Umezu",100,0,0.01,0.04,0.04,0.05,533.5,0.19,0.75
2000,1000,0,"M3","quantile .90",100,0,0.02,0.02,0.05,0.13,239.75,0.14,0.67
2000,1000,0,"M3","quantile .95",100,0.02,0.18,0.3,0.43,0.56,87.3,0.06,0.39
2000,1000,0,"M3","quantile .975",100,0.01,0.04,0.1,0.26,0.4,142.59,0.07,0.4
2000,1000,0,"M3","quantile .99",100,0,0,0.01,0.01,0.05,285.11,0.04,0.45
2000,1000,0,"M3","pipeline + 9 min",100,0.04,0.24,0.4,0.41,0.41,10.4390243902439,NA,NA
2000,1000,0,"M4","screen seul",100,0.13,0.32,0.44,0.5,0.57,87.04,0.02,0.41
2000,1000,0,"M4","screen 9 minimum",100,0.16,0.51,0.73,0.76,0.82,41.16,0.05,0.41
2000,1000,0,"M4","Yoshida-Umezu",100,0.02,0.07,0.09,0.12,0.15,349.71,0.12,0.64
2000,1000,0,"M4","quantile .90",100,0.02,0.18,0.24,0.38,0.46,120.84,0.06,0.66
2000,1000,0,"M4","quantile .95",100,0.25,0.62,0.83,0.89,0.94,15.54,0,0.4
2000,1000,0,"M4","quantile .975",100,0.08,0.49,0.76,0.86,0.92,20.36,0.04,0.36
2000,1000,0,"M4","quantile .99",100,0,0.03,0.11,0.23,0.45,130.67,0.05,0.48
2000,1000,0,"M4","pipeline + 9 min",100,0.4,0.73,0.86,0.86,0.86,6.55813953488372,NA,NA
2000,1000,0.25,"M1","screen seul",100,0.76,0.88,0.93,0.96,0.97,8.59,0.01,0.42
2000,1000,0.25,"M1","screen 9 minimum",100,0.83,0.96,0.97,0.97,1,5.29,0,0.55
2000,1000,0.25,"M1","Yoshida-Umezu",100,0.13,0.27,0.35,0.4,0.42,228.55,0.39,1.53
2000,1000,0.25,"M1","quantile .90",100,0.21,0.61,0.79,0.86,0.94,18.75,0.33,1.27
2000,1000,0.25,"M1","quantile .95",100,0.83,0.98,0.99,1,1,4.52,0.01,0.75
2000,1000,0.25,"M1","quantile .975",100,0.66,0.96,1,1,1,5.05,0,0.61
2000,1000,0.25,"M1","quantile .99",100,0.05,0.35,0.57,0.72,0.95,23.37,0.04,0.42
2000,1000,0.25,"M1","pipeline + 9 min",100,0.89,1,1,1,1,4.23,NA,NA
2000,1000,0.25,"M2","screen seul",100,0.29,0.6,0.74,0.8,0.84,31.46,0.3,2.36
2000,1000,0.25,"M2","screen 9 minimum",100,0.48,0.83,0.89,0.93,0.95,11.44,0.15,2.01
2000,1000,0.25,"M2","Yoshida-Umezu",100,0,0.03,0.07,0.09,0.21,238.65,1.54,7.7
2000,1000,0.25,"M2","quantile .90",100,0,0,0.04,1,1,23.59,3.7,20
2000,1000,0.25,"M2","quantile .95",100,0.01,0.26,0.57,1,1,16.99,2.27,19.24
