"n","p","rho","model","rule","reps","sure4","sure10","sure20","sure30","sure50","ermax","medmax","top4_gamma","top4_scale","top24_scale"
2000,500,0.25,"M1","screen seul",1000,0.849,0.957,0.979,0.985,0.991,5.714,4,3.843,0.005,0.782
2000,500,0.25,"M1","screen 9 minimum",1000,0.922,0.984,0.99,0.994,0.998,4.556,4,3.921,0.005,0.911
2000,500,0.25,"M1","Yoshida-Umezu",1000,0.202,0.384,0.467,0.51,0.569,97.407,29,1.841,0.479,2.322
2000,500,0.25,"M1","quantile .90",1000,0.299,0.774,0.894,0.933,0.965,11.661,6,2.991,0.328,1.973
2000,500,0.25,"M1","quantile .95",1000,0.891,0.993,0.998,1,1,4.233,4,3.888,0.007,1.219
2000,500,0.25,"M1","quantile .99",1000,0.125,0.582,0.852,0.928,0.977,13.041,9,2.447,0.058,0.844
2000,500,0.25,"M2","screen seul",1000,0.331,0.632,0.757,0.817,0.873,26.933,6,3.095,0.29,2.655
2000,500,0.25,"M2","screen 9 minimum",1000,0.549,0.851,0.921,0.942,0.973,8.777,4,3.488,0.189,2.781
2000,500,0.25,"M2","Yoshida-Umezu",1000,0.008,0.041,0.111,0.193,0.312,128.272,102,0.509,1.734,9.723
2000,500,0.25,"M2","quantile .90",1000,0,0.004,0.039,0.991,0.999,23.807,24,0.297,3.703,19.997
2000,500,0.25,"M2","quantile .95",1000,0.06,0.272,0.631,0.997,1,16.166,17,1.85,2.15,19.326
2000,500,0.25,"M2","quantile .99",1000,0.041,0.368,0.688,0.831,0.936,20.516,14,1.947,0.413,4.142
2000,500,0.25,"M3","screen seul",1000,0.256,0.537,0.655,0.724,0.807,38.232,9,2.952,0.044,0.774
2000,500,0.25,"M3","screen 9 minimum",1000,0.245,0.654,0.813,0.864,0.914,19.548,7,2.967,0.067,0.877
2000,500,0.25,"M3","Yoshida-Umezu",1000,0.028,0.105,0.178,0.226,0.305,153.93,124,0.928,0.361,1.567
2000,500,0.25,"M3","quantile .90",1000,0.099,0.405,0.597,0.694,0.807,33.843,14,2.354,0.322,1.562
2000,500,0.25,"M3","quantile .95",1000,0.431,0.84,0.93,0.962,0.988,8.208,5,3.351,0.033,0.961
2000,500,0.25,"M3","quantile .99",1000,0.005,0.078,0.268,0.413,0.614,58.508,37,1.184,0.13,0.904
2000,500,0.25,"M4","screen seul",1000,0.793,0.922,0.967,0.979,0.989,7.103,4,3.786,0.005,0.786
2000,500,0.25,"M4","screen 9 minimum",1000,0.847,0.978,0.99,0.993,0.998,4.9,4,3.845,0.011,0.904
2000,500,0.25,"M4","Yoshida-Umezu",1000,0.211,0.474,0.576,0.624,0.69,67.879,12,2.166,0.389,2.152
2000,500,0.25,"M4","quantile .90",1000,0.397,0.83,0.932,0.959,0.979,9.259,5,3.213,0.256,1.866
2000,500,0.25,"M4","quantile .95",1000,0.867,0.996,0.997,0.998,0.999,4.333,4,3.864,0.015,1.143
2000,500,0.25,"M4","quantile .99",1000,0.065,0.45,0.758,0.872,0.948,17.553,12,2.155,0.07,0.832
2000,1000,0.25,"M1","screen seul",1000,0.809,0.924,0.954,0.965,0.979,8.268,4,3.802,0.002,0.401
2000,1000,0.25,"M1","screen 9 minimum",1000,0.882,0.972,0.985,0.99,0.996,4.902,4,3.879,0.005,0.471
2000,1000,0.25,"M1","Yoshida-Umezu",1000,0.179,0.332,0.398,0.434,0.486,188.142,58,1.676,0.339,1.583
2000,1000,0.25,"M1","quantile .90",1000,0.219,0.658,0.804,0.872,0.93,18.623,7,2.785,0.285,1.302
2000,1000,0.25,"M1","quantile .95",1000,0.83,0.985,0.997,0.998,0.998,4.629,4,3.824,0.012,0.683
2000,1000,0.25,"M1","quantile .99",1000,0.068,0.354,0.674,0.812,0.928,22.151,15,1.963,0.037,0.404
2000,1000,0.25,"M2","screen seul",1000,0.29,0.559,0.683,0.744,0.807,54.413,8,2.99,0.281,2.241
2000,1000,0.25,"M2","screen 9 minimum",1000,0.466,0.776,0.866,0.912,0.947,15.789,5,3.357,0.169,2.213
2000,1000,0.25,"M2","Yoshida-Umezu",1000,0.003,0.027,0.066,0.114,0.192,258.436,202.5,0.386,1.497,7.864
2000,1000,0.25,"M2","quantile .90",1000,0,0,0.032,0.975,0.987,25.202,24,0.299,3.701,19.997
2000,1000,0.25,"M2","quantile .95",1000,0.054,0.265,0.593,0.98,0.994,17.011,18,1.808,2.187,19.108
2000,1000,0.25,"M2","quantile .99",1000,0.026,0.194,0.463,0.644,0.831,34.102,22,1.637,0.273,2.717
2000,1000,0.25,"M3","screen seul",1000,0.192,0.425,0.525,0.589,0.672,80.958,17,2.795,0.026,0.395
2000,1000,0.25,"M3","screen 9 minimum",1000,0.183,0.534,0.695,0.769,0.844,38.719,9,2.816,0.037,0.44
2000,1000,0.25,"M3","Yoshida-Umezu",1000,0.021,0.078,0.138,0.175,0.225,320.055,256,0.766,0.224,0.916
2000,1000,0.25,"M3","quantile .90",1000,0.059,0.274,0.456,0.557,0.683,68.697,23.5,2.077,0.274,1.048
2000,1000,0.25,"M3","quantile .95",1000,0.303,0.747,0.873,0.924,0.95,14.755,6,3.137,0.035,0.573
2000,1000,0.25,"M3","quantile .99",1000,0.004,0.028,0.103,0.197,0.35,120.469,74,0.797,0.059,0.443
2000,1000,0.25,"M4","screen seul",1000,0.747,0.904,0.939,0.956,0.967,10.486,4,3.735,0.005,0.395
2000,1000,0.25,"M4","screen 9 minimum",1000,0.766,0.958,0.98,0.985,0.99,6.438,4,3.752,0.006,0.49
2000,1000,0.25,"M4","Yoshida-Umezu",1000,0.202,0.416,0.507,0.551,0.618,123.901,19.5,2.046,0.261,1.385
2000,1000,0.25,"M4","quantile .90",1000,0.306,0.735,0.885,0.911,0.94,15.732,6,3.041,0.264,1.287
2000,1000,0.25,"M4","quantile .95",1000,0.799,0.981,0.994,0.995,0.998,4.698,4,3.798,0.008,0.651
2000,1000,0.25,"M4","quantile .99",1000,0.03,0.272,0.533,0.689,0.846,29.798,19,1.742,0.043,0.425
2000,2000,0.25,"M1","screen seul",1000,0.751,0.909,0.941,0.952,0.967,12.921,4,3.737,0.004,0.189
2000,2000,0.25,"M1","screen 9 minimum",1000,0.851,0.962,0.983,0.986,0.991,6.06,4,3.849,0.003,0.233
2000,2000,0.25,"M1","Yoshida-Umezu",1000,0.125,0.243,0.305,0.35,0.395,432.163,168,1.354,0.302,1.121
2000,2000,0.25,"M1","quantile .90",1000,0.161,0.499,0.665,0.769,0.843,36.634,11,2.458,0.264,0.917
2000,2000,0.25,"M1","quantile .95",1000,0.758,0.973,0.992,0.998,1,4.774,4,3.75,0.003,0.366
2000,2000,0.25,"M1","quantile .99",1000,0.025,0.173,0.406,0.574,0.769,40.232,25,1.466,0.033,0.214
2000,2000,0.25,"M2","screen seul",1000,0.263,0.517,0.639,0.681,0.733,98.835,9,2.936,0.245,1.639
2000,2000,0.25,"M2","screen 9 minimum",1000,0.431,0.731,0.832,0.879,0.93,19.487,5,3.302,0.138,1.63
2000,2000,0.25,"M2","Yoshida-Umezu",1000,0.009,0.03,0.059,0.097,0.141,480.696,368,0.388,1.235,6.366
2000,2000,0.25,"M2","quantile .90",1000,0,0.001,0.031,0.971,0.993,24.584,24,0.328,3.672,19.997
2000,2000,0.25,"M2","quantile .95",1000,0.073,0.264,0.604,0.976,0.998,17.15,18,1.85,2.144,18.649
2000,2000,0.25,"M2","quantile .99",1000,0.009,0.102,0.257,0.398,0.596,59.708,39,1.213,0.176,1.596
2000,2000,0.25,"M3","screen seul",1000,0.149,0.353,0.463,0.517,0.609,144.838,27,2.665,0.009,0.176
2000,2000,0.25,"M3","screen 9 minimum",1000,0.113,0.423,0.58,0.654,0.73,75.978,14,2.666,0.02,0.215
2000,2000,0.25,"M3","Yoshida-Umezu",1000,0.015,0.055,0.084,0.108,0.138,640.23,545,0.617,0.158,0.632
2000,2000,0.25,"M3","quantile .90",1000,0.039,0.191,0.328,0.425,0.544,122.249,42,1.839,0.21,0.664
2000,2000,0.25,"M3","quantile .95",1000,0.234,0.628,0.782,0.835,0.889,24.729,7,2.963,0.01,0.281
2000,2000,0.25,"M3","quantile .99",1000,0,0.006,0.022,0.058,0.147,245.704,154,0.483,0.028,0.225
2000,2000,0.25,"M4","screen seul",1000,0.663,0.843,0.898,0.913,0.937,21.551,4,3.635,0.002,0.203
2000,2000,0.25,"M4","screen 9 minimum",1000,0.728,0.935,0.965,0.976,0.985,7.966,4,3.701,0.006,0.264
2000,2000,0.25,"M4","Yoshida-Umezu",1000,0.151,0.344,0.43,0.463,0.515,282.279,44,1.799,0.252,1.044
2000,2000,0.25,"M4","quantile .90",1000,0.236,0.619,0.767,0.826,0.888,29.83,7,2.852,0.196,0.89
2000,2000,0.25,"M4","quantile .95",1000,0.694,0.959,0.986,0.994,0.998,5.364,4,3.683,0.008,0.356
2000,2000,0.25,"M4","quantile .99",1000,0.019,0.123,0.295,0.44,0.639,58.88,36,1.291,0.036,0.222
