"model","p","comparison","reps","sure4_old","sure4_new","d_sure4","se_sure4","sure20_old","sure20_new","d_sure20","se_sure20","ermax_old","ermax_new","d_ermax","se_ermax","medmax_old","medmax_new","changed_reps"
"A1",500,"old_agg vs new_agg",1000,0.922,0.884,-0.038,0.00604918115058498,0.99,0.99,0,0,4.556,4.648,0.092,0.013,4,4,0.061
"A1",500,"old_agg vs prm_agg",1000,0.922,0.884,-0.038,0.00604918115058498,0.99,0.99,0,0,4.556,4.648,0.092,0.013,4,4,0.061
"A1",500,"old_sel vs new_sel",1000,0.849,0.849,0,0,0.979,0.979,0,0,5.714,5.714,0,0,4,4,0
"A1",1000,"old_agg vs new_agg",1000,0.882,0.823,-0.059,0.00745483565040669,0.985,0.985,0,0,4.902,5.069,0.167,0.019,4,4,0.094
"A1",1000,"old_agg vs prm_agg",1000,0.882,0.823,-0.059,0.00745483565040669,0.985,0.985,0,0,4.902,5.069,0.167,0.019,4,4,0.094
"A1",1000,"old_sel vs new_sel",1000,0.809,0.809,0,0,0.954,0.954,0,0,8.268,8.268,0,0,4,4,0
"A1",2000,"old_agg vs new_agg",1000,0.851,0.802,-0.049,0.00682976175614096,0.983,0.981,-0.002,0.00141350557055782,6.06,6.208,0.148,0.017,4,4,0.092
"A1",2000,"old_agg vs prm_agg",1000,0.851,0.802,-0.049,0.00682976175614096,0.983,0.981,-0.002,0.00141350557055782,6.06,6.208,0.148,0.017,4,4,0.092
"A1",2000,"old_sel vs new_sel",1000,0.751,0.751,0,0,0.941,0.941,0,0,12.921,12.921,0,0,4,4,0
"A2",500,"old_agg vs new_agg",1000,0.245,0.196,-0.049,0.00682976175614096,0.813,0.797,-0.016,0.0039698563903194,19.548,20.256,0.708,0.035,7,8,0.39
"A2",500,"old_agg vs prm_agg",1000,0.245,0.196,-0.049,0.00682976175614096,0.813,0.797,-0.016,0.0039698563903194,19.548,20.256,0.708,0.035,7,8,0.39
"A2",500,"old_sel vs new_sel",1000,0.256,0.256,0,0,0.655,0.655,0,0,38.232,38.232,0,0,9,9,0
"A2",1000,"old_agg vs new_agg",1000,0.183,0.151,-0.032,0.00556839357508133,0.695,0.677,-0.018,0.00420638724961144,38.719,39.526,0.807,0.037,9,10,0.43
"A2",1000,"old_agg vs prm_agg",1000,0.183,0.151,-0.032,0.00556839357508133,0.695,0.677,-0.018,0.00420638724961144,38.719,39.526,0.807,0.037,9,10,0.43
"A2",1000,"old_sel vs new_sel",1000,0.192,0.192,0,0,0.525,0.525,0,0,80.958,80.958,0,0,17,17,0
"A2",2000,"old_agg vs new_agg",1000,0.113,0.088,-0.025,0.00493957481969849,0.58,0.561,-0.019,0.00431945108291061,75.978,76.856,0.878,0.039,14,15,0.456
"A2",2000,"old_agg vs prm_agg",1000,0.113,0.088,-0.025,0.00493957481969849,0.58,0.561,-0.019,0.00431945108291061,75.978,76.856,0.878,0.039,14,15,0.456
"A2",2000,"old_sel vs new_sel",1000,0.149,0.149,0,0,0.463,0.463,0,0,144.838,144.838,0,0,27,27,0
"A3",500,"old_agg vs new_agg",1000,0.839,0.79,-0.049,0.00682976175614096,0.986,0.986,0,0,4.941,5.09,0.149,0.017,4,4,0.094
"A3",500,"old_agg vs prm_agg",1000,0.839,0.791,-0.048,0.00676326413366665,0.986,0.986,0,0,4.941,5.089,0.148,0.017,4,4,0.093
"A3",500,"old_sel vs new_sel",1000,0.775,0.775,0,0,0.966,0.966,0,0,7.037,7.037,0,0,4,4,0
"A3",1000,"old_agg vs new_agg",1000,0.768,0.706,-0.062,0.00762982399628027,0.98,0.98,0,0,6.474,6.691,0.217,0.021,4,4,0.13
"A3",1000,"old_agg vs prm_agg",1000,0.768,0.706,-0.062,0.00762982399628027,0.98,0.98,0,0,6.474,6.691,0.217,0.021,4,4,0.13
"A3",1000,"old_sel vs new_sel",1000,0.747,0.747,0,0,0.938,0.938,0,0,11.04,11.04,0,0,4,4,0
"A3",2000,"old_agg vs new_agg",1000,0.723,0.657,-0.066,0.00785529793869753,0.964,0.963,-0.001,0.001,7.886,8.143,0.257,0.024,4,4,0.146
"A3",2000,"old_agg vs prm_agg",1000,0.723,0.657,-0.066,0.00785529793869753,0.964,0.963,-0.001,0.001,7.886,8.143,0.257,0.024,4,4,0.146
"A3",2000,"old_sel vs new_sel",1000,0.65,0.65,0,0,0.892,0.892,0,0,22.045,22.045,0,0,4,4,0
"B1",500,"old_agg vs new_agg",1000,0.523,0.448,-0.075,0.00833333333333333,0.911,0.907,-0.004,0.00199699473909873,9.311,9.759,0.448,0.029,4,5,0.258
"B1",500,"old_agg vs prm_agg",1000,0.523,0.448,-0.075,0.00833333333333333,0.911,0.907,-0.004,0.00199699473909873,9.311,9.759,0.448,0.029,4,5,0.258
"B1",500,"old_sel vs new_sel",1000,0.308,0.308,0,0,0.73,0.73,0,0,29.766,29.766,0,0,7,7,0
"B1",1000,"old_agg vs new_agg",1000,0.439,0.368,-0.071,0.00812557844248796,0.851,0.849,-0.002,0.00141350557055782,16.528,17.03,0.502,0.031,5,5,0.293
"B1",1000,"old_agg vs prm_agg",1000,0.439,0.368,-0.071,0.00812557844248796,0.851,0.849,-0.002,0.00141350557055782,16.528,17.03,0.502,0.031,5,5,0.293
"B1",1000,"old_sel vs new_sel",1000,0.249,0.249,0,0,0.654,0.654,0,0,59.856,59.856,0,0,9,9,0
"B1",2000,"old_agg vs new_agg",1000,0.402,0.339,-0.063,0.00768700787628646,0.813,0.805,-0.008,0.0028185003005045,21.995,22.608,0.613,0.035,5,6,0.326
"B1",2000,"old_agg vs prm_agg",1000,0.402,0.339,-0.063,0.00768700787628646,0.813,0.805,-0.008,0.0028185003005045,21.995,22.608,0.613,0.035,5,6,0.326
"B1",2000,"old_sel vs new_sel",1000,0.234,0.234,0,0,0.599,0.599,0,0,108.733,108.733,0,0,11,11,0
