"n","p","model","arm","reps","sure4","sure10","sure20","sure30","sure50","ermax","medmax","top4_gamma","top4_scale","top24_scale"
2000,500,"A1","old_sel",1000,0.849,0.957,0.979,0.985,0.991,5.714,4,3.843,0.005,0.782
2000,500,"A1","old_agg",1000,0.922,0.984,0.99,0.994,0.998,4.556,4,3.921,0.005,0.911
2000,500,"A1","new_sel",1000,0.849,0.957,0.979,0.985,0.991,5.714,4,3.843,0.005,0.782
2000,500,"A1","new_agg",1000,0.884,0.982,0.99,0.994,0.998,4.648,4,3.881,0.003,0.849
2000,500,"A1","prm_sel",1000,0.849,0.957,0.979,0.985,0.991,5.714,4,3.843,0.005,0.782
2000,500,"A1","prm_agg",1000,0.884,0.982,0.99,0.994,0.998,4.648,4,3.881,0.003,0.849
2000,1000,"A1","old_sel",1000,0.809,0.924,0.954,0.965,0.979,8.268,4,3.802,0.002,0.401
2000,1000,"A1","old_agg",1000,0.882,0.972,0.985,0.99,0.996,4.902,4,3.879,0.005,0.471
2000,1000,"A1","new_sel",1000,0.809,0.924,0.954,0.965,0.979,8.268,4,3.802,0.002,0.401
2000,1000,"A1","new_agg",1000,0.823,0.969,0.985,0.99,0.996,5.069,4,3.817,0.001,0.441
2000,1000,"A1","prm_sel",1000,0.809,0.924,0.954,0.965,0.979,8.268,4,3.802,0.002,0.401
2000,1000,"A1","prm_agg",1000,0.823,0.969,0.985,0.99,0.996,5.069,4,3.817,0.001,0.441
2000,2000,"A1","old_sel",1000,0.751,0.909,0.941,0.952,0.967,12.921,4,3.737,0.004,0.189
2000,2000,"A1","old_agg",1000,0.851,0.962,0.983,0.986,0.991,6.06,4,3.849,0.003,0.233
2000,2000,"A1","new_sel",1000,0.751,0.909,0.941,0.952,0.967,12.921,4,3.737,0.004,0.189
2000,2000,"A1","new_agg",1000,0.802,0.959,0.981,0.986,0.991,6.208,4,3.795,0.001,0.218
2000,2000,"A1","prm_sel",1000,0.751,0.909,0.941,0.952,0.967,12.921,4,3.737,0.004,0.189
2000,2000,"A1","prm_agg",1000,0.802,0.959,0.981,0.986,0.991,6.208,4,3.795,0.001,0.218
2000,500,"A2","old_sel",1000,0.256,0.537,0.655,0.724,0.807,38.232,9,2.952,0.044,0.774
2000,500,"A2","old_agg",1000,0.245,0.654,0.813,0.864,0.914,19.548,7,2.967,0.067,0.877
2000,500,"A2","new_sel",1000,0.256,0.537,0.655,0.724,0.807,38.232,9,2.952,0.044,0.774
2000,500,"A2","new_agg",1000,0.196,0.624,0.797,0.863,0.911,20.256,8,2.863,0.051,0.817
2000,500,"A2","prm_sel",1000,0.256,0.537,0.655,0.724,0.807,38.232,9,2.952,0.044,0.774
2000,500,"A2","prm_agg",1000,0.196,0.624,0.797,0.863,0.911,20.256,8,2.863,0.051,0.817
2000,1000,"A2","old_sel",1000,0.192,0.425,0.525,0.589,0.672,80.958,17,2.795,0.026,0.395
2000,1000,"A2","old_agg",1000,0.183,0.534,0.695,0.769,0.844,38.719,9,2.816,0.037,0.44
2000,1000,"A2","new_sel",1000,0.192,0.425,0.525,0.589,0.672,80.958,17,2.795,0.026,0.395
2000,1000,"A2","new_agg",1000,0.151,0.502,0.677,0.755,0.843,39.526,10,2.702,0.025,0.4
2000,1000,"A2","prm_sel",1000,0.192,0.425,0.525,0.589,0.672,80.958,17,2.795,0.026,0.395
2000,1000,"A2","prm_agg",1000,0.151,0.502,0.677,0.755,0.843,39.526,10,2.702,0.025,0.4
2000,2000,"A2","old_sel",1000,0.149,0.353,0.463,0.517,0.609,144.838,27,2.665,0.009,0.176
2000,2000,"A2","old_agg",1000,0.113,0.423,0.58,0.654,0.73,75.978,14,2.666,0.02,0.215
