"model","p","exact_score_ties","n_inf","tied_coords_amin","n_distinct_amin","cross4","mixed4","grp4","cross20","mixed20","grp20"
"A1",500,0,0,367.598,268.065,0.324,0.307,2.07,0.708,0,4.221
"A1",1000,0,0,733.802,537.581,0.362,0.316,2.218,0.768,0.003,4.526
"A1",2000,0,0,1471.491,1072.263,0.38,0.351,2.339,0.775,0.006,4.672
"A2",500,0,0,377.76,257.187,0.602,0.471,3.297,0.751,0.044,4.425
"A2",1000,0,0,755.327,514.209,0.639,0.507,3.47,0.759,0.061,4.635
"A2",2000,0,0,1511.823,1025.852,0.66,0.518,3.75,0.779,0.057,4.788
"A3",500,0,0,372.735,262.615,0.391,0.364,2.305,0.725,0.003,4.335
"A3",1000,0,0,745.279,525.119,0.425,0.369,2.395,0.748,0.002,4.736
"A3",2000,0,0,1489.922,1051.175,0.485,0.419,2.627,0.774,0.01,4.785
"B1",500,0,0,364.533,271.869,0.507,0.403,2.745,0.706,0.01,3.902
"B1",1000,0,0,730.23,542.378,0.554,0.439,2.939,0.724,0.018,4.216
"B1",2000,0,0,1460.251,1083.962,0.586,0.447,3.014,0.75,0.027,4.424
