"model","p","replicate","exact_score_ties","n_inf","tied_coords_amin","n_distinct_amin","cross4","mixed4","grp4","cross20","mixed20","grp20","old_rmax","old_t4g","old_t4s","old_t24s","fav_rmax","fav_t4g","fav_t4s","fav_t24s","adv_rmax","adv_t4g","adv_t4s","adv_t24s","rnd_rmax","rnd_t4g","rnd_t4s","rnd_t24s","new_rmax","new_t4g","new_t4s","new_t24s","sel_old_rmax","sel_new_rmax","sel_ties_differ"
"A1",500,1,0,0,392,253,0,0,3,1,0,5,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1,8,8,FALSE
"A1",500,2,0,0,369,258,0,0,1,0,0,5,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A1",500,3,0,0,365,272,1,1,4,0,0,5,4,4,0,0,4,4,0,0,7,3,0,0,5,3,0,0,4,4,0,0,4,4,FALSE
"A1",500,4,0,0,347,283,0,0,2,1,0,5,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,FALSE
"A1",500,5,0,0,354,284,0,0,1,1,0,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A1",500,6,0,0,353,281,0,0,1,0,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,8,8,FALSE
"A1",500,7,0,0,336,290,1,1,3,1,0,4,4,4,0,1,4,4,0,1,5,3,1,1,5,3,1,1,4,4,0,1,4,4,FALSE
"A1",500,8,0,0,350,286,0,0,1,1,0,5,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1,4,4,FALSE
"A1",500,9,0,0,342,293,0,0,1,1,0,3,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,FALSE
"A1",500,10,0,0,348,287,0,0,3,0,0,2,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A1",500,11,0,0,382,261,0,0,1,1,0,4,5,3,0,0,5,3,0,0,5,3,0,0,5,3,0,0,5,3,0,0,4,4,FALSE
"A1",500,12,0,0,383,260,0,0,2,1,0,4,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,FALSE
"A1",500,13,0,0,343,289,0,0,2,1,0,4,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,FALSE
"A1",500,14,0,0,380,262,0,0,2,1,0,5,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,FALSE
"A1",500,15,0,0,363,270,0,0,1,1,0,7,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,0,2,4,4,FALSE
"A1",500,16,0,0,374,262,1,0,6,1,0,6,10,3,0,0,10,3,0,0,11,3,0,0,10,3,0,0,11,3,0,0,10,10,FALSE
