"model","method","sure4","sure20","ermax"
"M1","ours",0.78,0.925,8.45
"M1","yu",0.19,0.41,190.03
"M1","q900",0.21,0.815,18.97
"M1","q950",0.87,1,4.24
"M1","q975",0.555,0.995,5.76
"M1","q990",0.07,0.61,22.89
"M2","ours",0.24,0.57,85.02
"M2","yu",0.005,0.115,269.21
"M2","q900",0.01,0.885,19.09
"M2","q950",0.16,0.94,8.46
"M2","q975",0.275,0.92,9.4
"M2","q990",0.005,0.395,38.49
"M3","ours",0.23,0.535,103.11
"M3","yu",0.01,0.115,346.9
"M3","q900",0.065,0.405,61.19
"M3","q950",0.305,0.815,14.98
"M3","q975",0.09,0.67,24.32
"M3","q990",0,0.085,115
"M4","ours",0.07,0.345,167.38
"M4","yu",0.015,0.1,336.59
"M4","q900",0.045,0.395,91.78
"M4","q950",0.135,0.69,28.89
"M4","q975",0.01,0.325,63.9
"M4","q990",0,0.01,221.9
