"model","method","top4_gamma","top4_scale"
"M1","ours",3.76,0
"M1","yu",1.71,0.33
"M1","q900",2.735,0.28
"M1","q950",3.87,0.005
"M1","q975",3.495,0.015
"M1","q990",1.89,0.005
"M2","ours",2.865,0.16
"M2","yu",0.62,0.745
"M2","q900",1.725,2.275
"M2","q950",2.82,1.12
"M2","q975",3.105,0.35
"M2","q990",1.5,0.03
"M3","ours",2.765,0.005
"M3","yu",0.69,0.175
"M3","q900",2.035,0.21
"M3","q950",3.125,0.01
"M3","q975",2.385,0.01
"M3","q990",0.82,0.025
"M4","ours",2.22,0.005
"M4","yu",0.62,0.155
"M4","q900",1.975,0.245
"M4","q950",2.67,0.015
"M4","q975",1.745,0.01
"M4","q990",0.48,0.01
