"model","n","p","rho","rule","reps","sure4","sure10","sure20","sure30","sure50","sure100","sure20_fair"
"M1",2000,1000,0,"ours",40,0.2,0.525,0.625,0.65,0.7,0.725,0.625
"M1",2000,1000,0,"qsis",40,0.35,0.7,0.9,0.925,0.95,0.95,0.9
"M1",2000,1000,0,"union",40,0.45,0.8,0.9,0.925,0.95,0.95,0.8
"M1",2000,1000,0,"inter",40,0.15,0.45,0.625,0.65,0.7,0.725,0.625
"M1",2000,1000,0.2,"ours",40,0.75,0.925,0.95,0.95,0.975,0.975,0.95
"M1",2000,1000,0.2,"qsis",40,0.7,0.95,1,1,1,1,1
"M1",2000,1000,0.2,"union",40,0.875,1,1,1,1,1,1
"M1",2000,1000,0.2,"inter",40,0.575,0.875,0.95,0.95,0.975,0.975,0.95
"M1",2000,1000,0.25,"ours",40,0.775,0.925,0.95,0.95,0.975,0.975,0.95
"M1",2000,1000,0.25,"qsis",40,0.8,0.975,1,1,1,1,1
"M1",2000,1000,0.25,"union",40,0.925,0.975,1,1,1,1,0.975
"M1",2000,1000,0.25,"inter",40,0.65,0.925,0.95,0.95,0.975,0.975,0.95
"M1",2000,1000,0.3,"ours",40,0.925,0.975,1,1,1,1,1
"M1",2000,1000,0.3,"qsis",40,0.95,1,1,1,1,1,1
"M1",2000,1000,0.3,"union",40,0.975,1,1,1,1,1,1
"M1",2000,1000,0.3,"inter",40,0.9,0.975,1,1,1,1,1
"M1",2000,1000,0.4,"ours",40,0.95,1,1,1,1,1,1
"M1",2000,1000,0.4,"qsis",40,1,1,1,1,1,1,1
"M1",2000,1000,0.4,"union",40,1,1,1,1,1,1,1
"M1",2000,1000,0.4,"inter",40,0.95,1,1,1,1,1,1
"M1",2000,1000,0.5,"ours",40,1,1,1,1,1,1,1
"M1",2000,1000,0.5,"qsis",40,1,1,1,1,1,1,1
"M1",2000,1000,0.5,"union",40,1,1,1,1,1,1,1
"M1",2000,1000,0.5,"inter",40,1,1,1,1,1,1,1
"M1",2000,2000,0,"ours",40,0.1,0.325,0.525,0.6,0.725,0.775,0.525
"M1",2000,2000,0,"qsis",40,0.15,0.575,0.65,0.775,0.9,0.975,0.65
"M1",2000,2000,0,"union",40,0.35,0.725,0.85,0.9,0.95,1,0.725
"M1",2000,2000,0,"inter",40,0,0.25,0.375,0.5,0.675,0.75,0.375
"M1",2000,2000,0.2,"ours",40,0.625,0.875,0.9,0.9,0.95,0.95,0.9
"M1",2000,2000,0.2,"qsis",40,0.725,1,1,1,1,1,1
"M1",2000,2000,0.2,"union",40,0.85,1,1,1,1,1,1
"M1",2000,2000,0.2,"inter",40,0.525,0.875,0.9,0.9,0.95,0.95,0.9
"M1",2000,2000,0.25,"ours",40,0.725,0.975,0.975,1,1,1,0.975
"M1",2000,2000,0.25,"qsis",40,0.75,1,1,1,1,1,1
"M1",2000,2000,0.25,"union",40,0.875,1,1,1,1,1,1
"M1",2000,2000,0.25,"inter",40,0.6,0.975,0.975,1,1,1,0.975
"M1",2000,2000,0.3,"ours",40,0.925,1,1,1,1,1,1
"M1",2000,2000,0.3,"qsis",40,0.825,0.975,1,1,1,1,1
"M1",2000,2000,0.3,"union",40,0.975,1,1,1,1,1,1
"M1",2000,2000,0.3,"inter",40,0.775,0.975,1,1,1,1,1
"M1",2000,2000,0.4,"ours",40,0.95,1,1,1,1,1,1
"M1",2000,2000,0.4,"qsis",40,0.85,1,1,1,1,1,1
"M1",2000,2000,0.4,"union",40,1,1,1,1,1,1,1
"M1",2000,2000,0.4,"inter",40,0.8,1,1,1,1,1,1
"M1",2000,2000,0.5,"ours",40,1,1,1,1,1,1,1
"M1",2000,2000,0.5,"qsis",40,1,1,1,1,1,1,1
"M1",2000,2000,0.5,"union",40,1,1,1,1,1,1,1
"M1",2000,2000,0.5,"inter",40,1,1,1,1,1,1,1
"M1",5000,500,0,"ours",40,0.875,0.925,0.975,1,1,1,0.975
"M1",5000,500,0,"qsis",40,1,1,1,1,1,1,1
"M1",5000,500,0,"union",40,1,1,1,1,1,1,1
"M1",5000,500,0,"inter",40,0.875,0.925,0.975,1,1,1,0.975
"M1",5000,500,0.2,"ours",40,1,1,1,1,1,1,1
"M1",5000,500,0.2,"qsis",40,1,1,1,1,1,1,1
"M1",5000,500,0.2,"union",40,1,1,1,1,1,1,1
"M1",5000,500,0.2,"inter",40,1,1,1,1,1,1,1
"M1",5000,500,0.25,"ours",40,1,1,1,1,1,1,1
"M1",5000,500,0.25,"qsis",40,1,1,1,1,1,1,1
"M1",5000,500,0.25,"union",40,1,1,1,1,1,1,1
"M1",5000,500,0.25,"inter",40,1,1,1,1,1,1,1
"M1",5000,500,0.3,"ours",40,1,1,1,1,1,1,1
"M1",5000,500,0.3,"qsis",40,0.975,1,1,1,1,1,1
"M1",5000,500,0.3,"union",40,1,1,1,1,1,1,1
"M1",5000,500,0.3,"inter",40,0.975,1,1,1,1,1,1
"M1",5000,500,0.4,"ours",40,1,1,1,1,1,1,1
"M1",5000,500,0.4,"qsis",40,1,1,1,1,1,1,1
"M1",5000,500,0.4,"union",40,1,1,1,1,1,1,1
"M1",5000,500,0.4,"inter",40,1,1,1,1,1,1,1
"M1",5000,500,0.5,"ours",40,1,1,1,1,1,1,1
"M1",5000,500,0.5,"qsis",40,1,1,1,1,1,1,1
"M1",5000,500,0.5,"union",40,1,1,1,1,1,1,1
"M1",5000,500,0.5,"inter",40,1,1,1,1,1,1,1
"M1",5000,1000,0,"ours",40,0.875,1,1,1,1,1,1
"M1",5000,1000,0,"qsis",40,1,1,1,1,1,1,1
"M1",5000,1000,0,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0,"inter",40,0.875,1,1,1,1,1,1
"M1",5000,1000,0.2,"ours",40,0.975,0.975,1,1,1,1,1
"M1",5000,1000,0.2,"qsis",40,1,1,1,1,1,1,1
"M1",5000,1000,0.2,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0.2,"inter",40,0.975,0.975,1,1,1,1,1
"M1",5000,1000,0.25,"ours",40,1,1,1,1,1,1,1
"M1",5000,1000,0.25,"qsis",40,1,1,1,1,1,1,1
"M1",5000,1000,0.25,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0.25,"inter",40,1,1,1,1,1,1,1
"M1",5000,1000,0.3,"ours",40,1,1,1,1,1,1,1
"M1",5000,1000,0.3,"qsis",40,1,1,1,1,1,1,1
"M1",5000,1000,0.3,"union",40,1,1,1,1,1,1,1
"M1",5000,1000,0.3,"inter",40,1,1,1,1,1,1,1
