"model","n","p","rho","method","reps","sure4","sure10","sure20","sure30","sure50","sure100","ermax","medmax","top4_gamma","top4_scale"
"M1",5000,2000,0,"ours",40,0.9,0.975,0.975,0.975,0.975,0.975,9.05,4,3.9,0
"M1",5000,2000,0,"yu",40,0,0.05,0.1,0.1,0.125,0.125,734.225,805.5,0.525,0.425
"M1",5000,2000,0,"q900",40,0.5,0.925,0.975,0.975,0.975,1,7.1,4.5,3.45,0.05
"M1",5000,2000,0,"q950",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0,"q975",40,0.975,1,1,1,1,1,4.025,4,3.975,0
"M1",5000,2000,0,"q990",40,0.55,0.925,1,1,1,1,5.65,4,3.5,0
"M1",5000,2000,0.2,"ours",40,0.975,1,1,1,1,1,4.125,4,3.975,0
"M1",5000,2000,0.2,"yu",40,0.35,0.525,0.525,0.55,0.6,0.675,256.3,9,2.35,0.5
"M1",5000,2000,0.2,"q900",40,0.925,1,1,1,1,1,4.1,4,3.925,0.05
"M1",5000,2000,0.2,"q950",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.2,"q975",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.2,"q990",40,0.9,1,1,1,1,1,4.15,4,3.9,0
"M1",5000,2000,0.25,"ours",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.25,"yu",40,0.475,0.7,0.75,0.775,0.8,0.825,135.65,5,2.85,0.2
"M1",5000,2000,0.25,"q900",40,0.95,1,1,1,1,1,4.05,4,3.95,0.025
"M1",5000,2000,0.25,"q950",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.25,"q975",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.25,"q990",40,0.9,1,1,1,1,1,4.175,4,3.9,0
"M1",5000,2000,0.3,"ours",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.3,"yu",40,0.575,0.775,0.775,0.775,0.8,0.825,68.075,4,3.1,0.3
"M1",5000,2000,0.3,"q900",40,0.9,1,1,1,1,1,4.125,4,3.9,0.1
"M1",5000,2000,0.3,"q950",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.3,"q975",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.3,"q990",40,0.925,1,1,1,1,1,4.125,4,3.925,0.025
"M1",5000,2000,0.4,"ours",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.4,"yu",40,0.65,0.925,0.975,0.975,0.975,0.975,31.4,4,3.525,0.4
"M1",5000,2000,0.4,"q900",40,0.925,1,1,1,1,1,4.125,4,3.9,0.1
"M1",5000,2000,0.4,"q950",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.4,"q975",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.4,"q990",40,0.975,1,1,1,1,1,4.025,4,3.975,0
"M1",5000,2000,0.5,"ours",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.5,"yu",40,0.5,1,1,1,1,1,4.8,4.5,3.475,0.525
"M1",5000,2000,0.5,"q900",40,0.95,1,1,1,1,1,4.05,4,3.95,0.05
"M1",5000,2000,0.5,"q950",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.5,"q975",40,1,1,1,1,1,1,4,4,4,0
"M1",5000,2000,0.5,"q990",40,1,1,1,1,1,1,4,4,4,0
"M2",5000,2000,0,"ours",40,0.425,0.65,0.675,0.675,0.775,0.775,93.625,5.5,3.05,0.05
"M2",5000,2000,0,"yu",40,0,0.025,0.025,0.025,0.075,0.125,547.95,592.5,0.275,0.475
"M2",5000,2000,0,"q900",40,0,1,1,1,1,1,7.95,8,1.025,2.975
"M2",5000,2000,0,"q950",40,0.1,1,1,1,1,1,5.925,6,2.8,1.2
"M2",5000,2000,0,"q975",40,0.6,1,1,1,1,1,4.575,4,3.6,0.325
"M2",5000,2000,0,"q990",40,0.175,0.925,1,1,1,1,6.65,6,2.875,0.125
"M2",5000,2000,0.2,"ours",40,0.725,0.85,0.875,0.9,0.95,0.95,15.025,4,3.65,0.05
"M2",5000,2000,0.2,"yu",40,0.05,0.125,0.15,0.2,0.275,0.35,326.275,150,0.85,0.75
"M2",5000,2000,0.2,"q900",40,0,1,1,1,1,1,7.75,8,1.525,2.475
"M2",5000,2000,0.2,"q950",40,0.275,1,1,1,1,1,5.75,6,3.125,0.875
"M2",5000,2000,0.2,"q975",40,0.8,1,1,1,1,1,4.275,4,3.8,0.2
"M2",5000,2000,0.2,"q990",40,0.675,0.975,1,1,1,1,4.975,4,3.65,0
"M2",5000,2000,0.25,"ours",40,0.9,0.95,0.975,1,1,1,4.95,4,3.9,0
"M2",5000,2000,0.25,"yu",40,0.05,0.175,0.275,0.325,0.35,0.4,394.5,340,0.8,0.5
"M2",5000,2000,0.25,"q900",40,0,1,1,1,1,1,7.725,8,1.675,2.325
"M2",5000,2000,0.25,"q950",40,0.3,1,1,1,1,1,5.5,6,3.125,0.875
"M2",5000,2000,0.25,"q975",40,0.775,1,1,1,1,1,4.25,4,3.775,0.225
"M2",5000,2000,0.25,"q990",40,0.65,0.975,1,1,1,1,4.9,4,3.625,0
"M2",5000,2000,0.3,"ours",40,0.875,0.925,0.975,0.975,0.975,0.975,11.3,4,3.875,0
"M2",5000,2000,0.3,"yu",40,0.05,0.15,0.175,0.225,0.325,0.425,347.125,163.5,1.05,0.35
"M2",5000,2000,0.3,"q900",40,0,1,1,1,1,1,7.675,8,1.775,2.225
"M2",5000,2000,0.3,"q950",40,0.175,1,1,1,1,1,5.775,6,3.125,0.875
"M2",5000,2000,0.3,"q975",40,0.775,1,1,1,1,1,4.3,4,3.775,0.225
"M2",5000,2000,0.3,"q990",40,0.65,1,1,1,1,1,4.475,4,3.65,0
"M2",5000,2000,0.4,"ours",40,0.975,0.975,1,1,1,1,4.175,4,3.975,0
"M2",5000,2000,0.4,"yu",40,0.05,0.175,0.2,0.225,0.3,0.35,377.85,214.5,1.125,0.65
"M2",5000,2000,0.4,"q900",40,0,1,1,1,1,1,7.775,8,1.725,2.275
"M2",5000,2000,0.4,"q950",40,0.125,1,1,1,1,1,5.975,6,3,1
"M2",5000,2000,0.4,"q975",40,0.75,1,1,1,1,1,4.4,4,3.75,0.25
"M2",5000,2000,0.4,"q990",40,0.8,1,1,1,1,1,4.3,4,3.8,0
"M2",5000,2000,0.5,"ours",40,0.975,0.975,0.975,0.975,1,1,4.675,4,3.975,0
"M2",5000,2000,0.5,"yu",40,0.125,0.25,0.275,0.35,0.45,0.5,235.55,94,1.425,0.85
"M2",5000,2000,0.5,"q900",40,0,0.975,0.975,1,1,1,8.375,8,2.075,1.925
"M2",5000,2000,0.5,"q950",40,0.325,1,1,1,1,1,5.425,5,3.275,0.725
"M2",5000,2000,0.5,"q975",40,0.975,1,1,1,1,1,4.025,4,3.975,0.025
"M2",5000,2000,0.5,"q990",40,0.875,1,1,1,1,1,4.15,4,3.875,0
"M3",5000,2000,0,"ours",40,0.125,0.3,0.45,0.5,0.55,0.55,211.4,34,2.45,0
"M3",5000,2000,0,"yu",40,0,0,0,0,0.1,0.15,755.75,684.5,0.475,0.05
"M3",5000,2000,0,"q900",40,0.15,0.45,0.65,0.75,0.825,0.85,73,12.5,2.55,0.025
"M3",5000,2000,0,"q950",40,0.8,0.925,0.975,0.975,0.975,1,6.575,4,3.775,0
"M3",5000,2000,0,"q975",40,0.35,0.8,0.9,0.925,0.975,1,9.4,5,3.2,0
"M3",5000,2000,0,"q990",40,0.025,0.15,0.3,0.5,0.675,0.875,55.4,31,1.5,0
"M3",5000,2000,0.2,"ours",40,0.625,0.8,0.875,0.925,0.925,0.925,18.075,4,3.6,0
"M3",5000,2000,0.2,"yu",40,0.125,0.25,0.3,0.325,0.475,0.55,287.5,69.5,1.475,0.025
