"model","n","p","rho","ours","yu","qsis","yu_undefined"
"M1",1000,2000,0,1.03145000000002,7.40307500000006,6.16096249999999,0
"M1",1000,2000,0.2,0.985400000000004,7.35624999999995,6.16364375000001,0
"M1",1000,2000,0.25,1.05615,7.52859999999996,6.22066250000001,0
"M1",1000,2000,0.3,1.00217500000003,7.52195000000002,6.27773125,0
"M1",1000,2000,0.4,1.02717499999994,7.66582500000004,6.3150375,0
"M1",1000,2000,0.5,1.03545000000013,7.46602499999997,6.3448625,0
"M1",2000,1000,0,0.841474999999946,5.79467500000001,8.24159375000003,0
"M1",2000,1000,0.2,0.853375000000028,5.77354999999995,8.27905000000002,0
"M1",2000,1000,0.25,0.845600000000013,5.67692499999987,8.23265625000001,0
"M1",2000,1000,0.3,0.814799999999855,5.49642500000009,8.10126250000001,0
"M1",2000,1000,0.4,0.862975000000006,5.81222499999994,8.2717,0
"M1",2000,1000,0.5,0.828300000000036,5.55384999999997,8.14035625,0
"M1",2000,2000,0,2.06810000000005,13.190625,17.14476875,0
"M1",2000,2000,0.2,2.17165000000011,13.24005,17.07534375,0
"M1",2000,2000,0.25,1.972,12.3819499999999,16.66364375,0
"M1",2000,2000,0.3,1.92182500000001,11.6811,16.09789375,0
"M1",2000,2000,0.4,1.83412499999999,10.7391749999999,15.979425,0
"M1",2000,2000,0.5,1.909175,11.8812250000001,16.1912625,0
"M1",5000,200,0,0.782950000000164,2.56344999999988,7.56877499999999,0
"M1",5000,200,0.2,0.774975000000086,2.54197499999987,7.55710624999999,0
"M1",5000,200,0.25,0.752199999999857,2.42387499999995,7.55883750000002,0
"M1",5000,200,0.3,0.772049999999763,2.49127500000022,7.60502499999998,0
"M1",5000,200,0.4,0.76627499999986,2.44127500000013,7.54596874999994,0
"M1",5000,200,0.5,0.765325000000121,2.45607499999992,7.55619374999997,0
"M1",5000,500,0,1.07760000000003,6.44872500000001,18.86785625,0
"M1",5000,500,0.2,1.10577499999993,7.01717500000007,18.61725,0
"M1",5000,500,0.25,1.12144999999998,6.37382499999992,18.5776125,0
"M1",5000,500,0.3,1.08737499999991,6.59285000000007,18.7016,0
"M1",5000,500,0.4,1.117275,6.54114999999993,18.664275,0
"M1",5000,500,0.5,1.10080000000005,6.38262500000005,18.78345625,0
"M1",5000,1000,0,2.43787499999999,12.7914,37.2328625,0
"M1",5000,1000,0.2,2.52187500000002,12.0283,37.330125,0
"M1",5000,1000,0.25,2.44850000000002,11.572575,37.0680125,0
"M1",5000,1000,0.3,2.40097500000005,11.3649499999999,37.376925,0
"M1",5000,1000,0.4,2.52249999999995,11.771375,37.50770625,0
"M1",5000,1000,0.5,2.44422500000005,11.2735999999999,37.5748,0
"M1",5000,2000,0,4.520225,26.831775,73.798875,0
"M1",5000,2000,0.2,4.6009,27.4332,73.68993125,0
"M1",5000,2000,0.25,4.454625,25.86355,74.05818125,0
"M1",5000,2000,0.3,4.59535,25.302025,73.9510125,0
"M1",5000,2000,0.4,4.58822500000001,24.684125,74.09051875,0
"M1",5000,2000,0.5,4.55667499999999,25.000575,73.65848125,0
"M2",1000,2000,0,0.988000000000056,7.75337499999994,6.391725,0
"M2",1000,2000,0.2,1.03619999999989,7.75004999999999,6.3411625,0
"M2",1000,2000,0.25,0.996774999999934,7.56950000000008,6.32069374999999,0
"M2",1000,2000,0.3,1.13140000000003,7.68180000000002,6.33516874999999,0
"M2",1000,2000,0.4,0.942950000000042,7.52925000000002,6.33603749999999,0
"M2",1000,2000,0.5,0.987750000000028,7.71219999999992,6.35748125000001,0
"M2",2000,1000,0,0.844774999999913,5.78547499999997,8.32603125000001,0
"M2",2000,1000,0.2,0.813424999999938,5.56527500000007,7.68266875000001,0
"M2",2000,1000,0.25,0.811650000000077,5.24167499999996,5.36601874999999,0
"M2",2000,1000,0.3,0.92035000000003,6.71947499999994,8.30241250000001,0
"M2",2000,1000,0.4,0.844974999999909,6.61325000000011,8.33031249999998,0
"M2",2000,1000,0.5,0.84410000000014,6.48824999999993,8.29247500000001,0
"M2",2000,2000,0,1.87332500000007,11.0423749999999,15.90743125,0
"M2",2000,2000,0.2,1.85805000000012,11.5570750000001,16.2040125,0
"M2",2000,2000,0.25,1.91102500000002,11.562225,16.14194375,0
"M2",2000,2000,0.3,1.81487500000005,10.8778250000001,15.9310625,0
"M2",2000,2000,0.4,1.91844999999998,11.8489499999999,16.24331875,0
"M2",2000,2000,0.5,1.83497499999996,10.7668249999999,16.0223,0
"M2",5000,200,0,0.791474999999946,2.51189999999997,7.59761249999997,0
"M2",5000,200,0.2,0.785549999999967,2.45557500000009,7.49455624999999,0
"M2",5000,200,0.25,0.809225000000151,2.52509999999984,7.62106250000003,0
"M2",5000,200,0.3,0.775875000000087,2.44077500000003,7.51965625,0
"M2",5000,200,0.4,0.808349999999837,2.4981000000002,7.61567499999998,0
"M2",5000,200,0.5,0.801750000000175,2.52247500000008,7.59354999999996,0
"M2",5000,500,0,1.12232500000007,6.61634999999992,18.674075,0
"M2",5000,500,0.2,1.09974999999995,6.14802499999998,18.77155,0
"M2",5000,500,0.25,1.11692500000001,6.63640000000005,18.57358125,0
"M2",5000,500,0.3,1.11142500000005,6.15872500000005,18.8887625,0
"M2",5000,500,0.4,1.085925,6.43290000000009,18.8138999999999,0
"M2",5000,500,0.5,1.14085,6.34159999999993,19.02814375,0
"M2",5000,1000,0,2.45132499999993,11.5535,37.13364375,0
"M2",5000,1000,0.2,2.47557500000009,10.9443999999999,32.15635625,0
"M2",5000,1000,0.25,2.36729999999995,13.0973000000001,37.00258125,0
"M2",5000,1000,0.3,2.41012500000004,13.053525,37.10200625,0
"M2",5000,1000,0.4,2.3991,12.4665249999999,36.70990625,0
"M2",5000,1000,0.5,2.50235000000005,12.536775,37.08598125,0
"M2",5000,2000,0,4.7033,23.315375,68.57801875,0
"M2",5000,2000,0.2,4.39772499999999,26.117425,74.4663625,0
"M2",5000,2000,0.25,4.40270000000002,25.891975,73.7739375,0
"M2",5000,2000,0.3,4.4184,25.420575,74.2010625,0
"M2",5000,2000,0.4,4.55257500000001,25.2798,73.90749375,0
"M2",5000,2000,0.5,4.55224999999998,24.71465,75.0309,0
"M3",1000,2000,0,1.01877499999998,7.41119999999996,6.35965,0
"M3",1000,2000,0.2,1.01537500000009,7.58810000000001,6.2989875,0
"M3",1000,2000,0.25,0.91982500000006,7.67815,6.29056875,0
"M3",1000,2000,0.3,0.769749999999954,7.54755000000007,6.21655625000001,0
"M3",1000,2000,0.4,0.79502500000001,7.62940000000001,6.28341250000002,0
"M3",1000,2000,0.5,0.785225000000355,7.33852499999987,6.24272499999998,0
"M3",2000,1000,0,0.864724999999953,6.45177499999993,8.3073875,0
"M3",2000,1000,0.2,0.853199999999947,6.25215000000005,8.23041249999999,0
