"n","p","model","rule","sure4","sure20"
1000,200,"M1","screen seul",0.05,0.15
1000,200,"M1","screen 9 mediane",0.1,0.45
1000,200,"M1","screen 9 minimum",0.125,0.575
1000,200,"M1","quantile .95",0.05,0.65
1000,200,"M1","pipeline + 9 min",0.125,0.65
1000,200,"M2","screen seul",0,0.075
1000,200,"M2","screen 9 mediane",0,0.075
1000,200,"M2","screen 9 minimum",0.025,0.225
1000,200,"M2","quantile .95",0,0.375
1000,200,"M2","pipeline + 9 min",0.025,0.4
1000,200,"M3","screen seul",0,0.05
1000,200,"M3","screen 9 mediane",0,0.1
1000,200,"M3","screen 9 minimum",0,0.125
1000,200,"M3","quantile .95",0,0.1
1000,200,"M3","pipeline + 9 min",0,0.15
1000,200,"M4","screen seul",0,0.05
1000,200,"M4","screen 9 mediane",0,0.025
1000,200,"M4","screen 9 minimum",0,0.05
1000,200,"M4","quantile .95",0,0.125
1000,200,"M4","pipeline + 9 min",0,0.125
1000,500,"M1","screen seul",0,0.075
1000,500,"M1","screen 9 mediane",0.025,0.25
1000,500,"M1","screen 9 minimum",0.025,0.275
1000,500,"M1","quantile .95",0,0.25
1000,500,"M1","pipeline + 9 min",0.05,0.3
1000,500,"M2","screen seul",0,0.05
1000,500,"M2","screen 9 mediane",0,0.025
1000,500,"M2","screen 9 minimum",0,0.075
1000,500,"M2","quantile .95",0.025,0.175
1000,500,"M2","pipeline + 9 min",0,0.2
1000,500,"M3","screen seul",0,0
1000,500,"M3","screen 9 mediane",0,0
1000,500,"M3","screen 9 minimum",0,0.075
1000,500,"M3","quantile .95",0,0.025
1000,500,"M3","pipeline + 9 min",0,0.025
1000,500,"M4","screen seul",0,0
1000,500,"M4","screen 9 mediane",0,0
1000,500,"M4","screen 9 minimum",0,0
1000,500,"M4","quantile .95",0,0
1000,500,"M4","pipeline + 9 min",0,0
1000,1000,"M1","screen seul",0,0.075
1000,1000,"M1","screen 9 mediane",0.05,0.2
1000,1000,"M1","screen 9 minimum",0.025,0.2
1000,1000,"M1","quantile .95",0,0.175
1000,1000,"M1","pipeline + 9 min",0.075,0.275
1000,1000,"M2","screen seul",0,0.075
1000,1000,"M2","screen 9 mediane",0,0.025
1000,1000,"M2","screen 9 minimum",0,0.075
1000,1000,"M2","quantile .95",0,0.05
1000,1000,"M2","pipeline + 9 min",0,0.1
1000,1000,"M3","screen seul",0,0
1000,1000,"M3","screen 9 mediane",0,0
1000,1000,"M3","screen 9 minimum",0,0
1000,1000,"M3","quantile .95",0,0
1000,1000,"M3","pipeline + 9 min",0,0
1000,1000,"M4","screen seul",0,0
1000,1000,"M4","screen 9 mediane",0,0
1000,1000,"M4","screen 9 minimum",0,0
1000,1000,"M4","quantile .95",0,0
1000,1000,"M4","pipeline + 9 min",0,0
1000,2000,"M1","screen seul",0,0.025
1000,2000,"M1","screen 9 mediane",0,0.1
1000,2000,"M1","screen 9 minimum",0,0.075
1000,2000,"M1","quantile .95",0,0.025
1000,2000,"M1","pipeline + 9 min",0,0.025
1000,2000,"M2","screen seul",0,0
1000,2000,"M2","screen 9 mediane",0,0
1000,2000,"M2","screen 9 minimum",0,0.075
1000,2000,"M2","quantile .95",0,0.025
1000,2000,"M2","pipeline + 9 min",0,0.075
1000,2000,"M3","screen seul",0,0
1000,2000,"M3","screen 9 mediane",0,0
1000,2000,"M3","screen 9 minimum",0,0.025
1000,2000,"M3","quantile .95",0,0
1000,2000,"M3","pipeline + 9 min",0,0
1000,2000,"M4","screen seul",0,0
1000,2000,"M4","screen 9 mediane",0,0
1000,2000,"M4","screen 9 minimum",0,0
1000,2000,"M4","quantile .95",0,0
1000,2000,"M4","pipeline + 9 min",0,0
2000,200,"M1","screen seul",0.45,0.85
2000,200,"M1","screen 9 mediane",0.525,0.85
2000,200,"M1","screen 9 minimum",0.5,0.95
2000,200,"M1","quantile .95",0.525,0.975
2000,200,"M1","pipeline + 9 min",0.7,1
2000,200,"M2","screen seul",0.025,0.35
2000,200,"M2","screen 9 mediane",0.2,0.575
2000,200,"M2","screen 9 minimum",0.1,0.6
2000,200,"M2","quantile .95",0.05,1
2000,200,"M2","pipeline + 9 min",0.2,0.925
2000,200,"M3","screen seul",0.025,0.2
2000,200,"M3","screen 9 mediane",0.025,0.35
2000,200,"M3","screen 9 minimum",0,0.475
2000,200,"M3","quantile .95",0.125,0.65
2000,200,"M3","pipeline + 9 min",0.075,0.65
2000,200,"M4","screen seul",0,0.15
2000,200,"M4","screen 9 mediane",0,0.125
2000,200,"M4","screen 9 minimum",0,0.325
2000,200,"M4","quantile .95",0.025,0.525
2000,200,"M4","pipeline + 9 min",0.025,0.575
2000,500,"M1","screen seul",0.3,0.75
2000,500,"M1","screen 9 mediane",0.3,0.725
2000,500,"M1","screen 9 minimum",0.425,0.875
2000,500,"M1","quantile .95",0.4,0.9
2000,500,"M1","pipeline + 9 min",0.5,0.95
2000,500,"M2","screen seul",0.1,0.25
2000,500,"M2","screen 9 mediane",0.025,0.325
2000,500,"M2","screen 9 minimum",0.05,0.475
2000,500,"M2","quantile .95",0.1,0.9
2000,500,"M2","pipeline + 9 min",0.175,0.825
2000,500,"M3","screen seul",0.05,0.2
2000,500,"M3","screen 9 mediane",0,0.125
2000,500,"M3","screen 9 minimum",0,0.35
2000,500,"M3","quantile .95",0,0.575
2000,500,"M3","pipeline + 9 min",0.025,0.55
2000,500,"M4","screen seul",0,0.075
2000,500,"M4","screen 9 mediane",0,0.1
2000,500,"M4","screen 9 minimum",0,0.025
2000,500,"M4","quantile .95",0.05,0.3
2000,500,"M4","pipeline + 9 min",0,0.375
2000,1000,"M1","screen seul",0.225,0.5
2000,1000,"M1","screen 9 mediane",0.275,0.65
2000,1000,"M1","screen 9 minimum",0.2,0.7
2000,1000,"M1","quantile .95",0.3,0.775
2000,1000,"M1","pipeline + 9 min",0.375,0.825
2000,1000,"M2","screen seul",0.075,0.3
