"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_060",1.21127652873908,9,1,3.5,0.2,FALSE,FALSE,TRUE,FALSE,0.0190719178082192,86,65,37
"scale_13",1.22258346719255,65,2,13.5,0.15,FALSE,FALSE,FALSE,FALSE,0.184174657534247,13,7,5
"emb_082",1.20826103900198,4,4,3.5,0.15,FALSE,FALSE,TRUE,TRUE,0.0086541095890411,203,46,17
"emb_163",1.20921553872345,6,4,17.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0111986301369863,132,200,285
"scale_16",1.20747413048945,3,4,13.5,0.25,FALSE,FALSE,TRUE,TRUE,0.00699315068493151,18,5,12
"emb_185",1.20998732237506,8,6,17.5,0,FALSE,FALSE,TRUE,FALSE,0.0137157534246575,275,187,76
"rate_upper",1.21254513655807,14,7,3.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0261369863013699,32,26,49
"byte_entropy",1.21225142265828,13,8.5,3.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0242465753424658,27,25,26
"emb_113",1.21393636804568,16,8.5,29.5,0.2,FALSE,FALSE,TRUE,FALSE,0.0359280821917808,45,81,151
"emb_123",1.22006316285736,50,10,9,0.1,FALSE,FALSE,FALSE,FALSE,0.12211301369863,104,50,21
"emb_221",1.21405300813607,17,11,21.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0368424657534247,267,228,108
"emb_253",1.21469340305089,21,12,21.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0423150684931507,166,188,28
"emb_085",1.20695250361123,2,13,9,0.1,FALSE,FALSE,TRUE,TRUE,0.0061986301369863,113,108,15
"emb_110",1.22901389312646,129,14,54.5,0.15,FALSE,FALSE,FALSE,FALSE,0.417438356164384,280,217,81
"emb_117",1.20846873843046,5,15,9,0.1,FALSE,FALSE,TRUE,TRUE,0.00912328767123288,259,114,48
"emb_231",1.21405702370238,18,16,46.5,0,FALSE,FALSE,TRUE,FALSE,0.0368767123287671,249,216,85
"emb_144",1.21431464144823,20,17,35.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0390376712328767,182,159,35
"emb_036",1.20285748463195,1,18.5,3.5,0.2,FALSE,FALSE,TRUE,TRUE,0.00180821917808219,141,52,51
"emb_235",1.21553237465614,25,18.5,25,0.2,FALSE,FALSE,FALSE,FALSE,0.0505616438356164,131,155,77
"emb_238",1.2194050088928,44,20,41.5,0.1,FALSE,FALSE,FALSE,FALSE,0.108414383561644,270,211,258
"emb_097",1.23416194230333,195,21.5,44,0,FALSE,FALSE,FALSE,FALSE,0.638017123287671,239,280,164
"emb_128",1.21415893543805,19,21.5,25,0.2,FALSE,FALSE,TRUE,FALSE,0.0377397260273973,61,61,66
"emb_028",1.2234429062729,75,23,29.5,0.05,FALSE,FALSE,FALSE,FALSE,0.209869863013699,89,136,68
"emb_003",1.23235668070825,162,24,33.5,0,FALSE,FALSE,FALSE,FALSE,0.562181506849315,30,31,52
"emb_006",1.22250659254913,62,26,3.5,0.1,FALSE,FALSE,FALSE,FALSE,0.182,38,34,83
"emb_042",1.21889435428492,37,26,17.5,0.15,FALSE,FALSE,FALSE,FALSE,0.0985993150684931,274,148,212
