covariate,sd_inter,p_perm,gamma_min,gamma_max
rate_space,0.12324446176525936,0.0,1.2079846410751343,1.4978585014343262
mean_word_len,0.08504871013491454,0.0025,1.241163194597185,1.446060471534729
emb_000,0.08288898415118667,0.005,1.262110008239746,1.459650092124939
emb_039,0.08286709380787505,0.005,1.2674065046310425,1.4331654653549195
emb_003,0.08106273481893354,0.0075,1.2838562250137329,1.4579487037658692
emb_010,0.08032753238949007,0.0075,1.2741204071044923,1.4581018810272217
emb_060,0.07950489926971582,0.01,1.2883959035873414,1.4355367670059205
emb_124,0.07942033688867867,0.01,1.2804607162475585,1.4595229644775392
emb_134,0.07900047831689218,0.0125,1.2861386671066284,1.459921986579895
emb_001,0.07854623261538815,0.015,1.265941060066223,1.4579990997314454
emb_066,0.07751998135245101,0.015,1.2476203203201295,1.4163753175735474
emb_176,0.07555731086551608,0.0175,1.2851542472839355,1.4359974994659424
emb_019,0.07523967298891922,0.0175,1.2887071952819824,1.4535615425109862
emb_030,0.07467804167975638,0.0175,1.2461920003890992,1.4059297199249268
emb_097,0.07435081205265286,0.02,1.280425950050354,1.4378010396957397
len_gzip,0.07433670601575547,0.02,1.2927469787597656,1.4566146459579468
rate_alpha,0.074195683280562,0.02,1.283159996032715,1.4484576082229614
emb_138,0.07399418966863468,0.02,1.254176148414612,1.4284068746566772
emb_234,0.07233421614961816,0.025,1.2647074527740478,1.4381783618927002
len_chars,0.07067961251757068,0.0275,1.2942217531204223,1.4527749175185316
emb_094,0.06997062021056238,0.0275,1.2768038377761841,1.424313292503357
emb_172,0.06864667271329421,0.03,1.2636988687515258,1.4187934789657592
emb_153,0.06762298576607646,0.03,1.2907879619598388,1.4432156057357788
emb_096,0.06729872973680164,0.03,1.3058099765777589,1.4502505054473878
emb_082,0.06729677671842198,0.03,1.268250428199768,1.4329794902801514
gzip_ratio,0.0672057055040608,0.03,1.2844000082015992,1.4449250288009643
emb_075,0.06694569975503367,0.03,1.266699475288391,1.430166958808899
rate_nonascii,0.06616492267753929,0.0325,1.2858770110824325,1.4448857107162476
len_bytes,0.06562671071456032,0.035,1.2991902033487956,1.4452634000778197
mean_sent_len,0.06529247816519877,0.035,1.2863351058959962,1.4393608267004188
len_spaces,0.06453982479722413,0.0425,1.306716046333313,1.4476711704685643
emb_237,0.06347595717616787,0.045,1.2625893783569335,1.4014901828765869
emb_179,0.06343772223724517,0.045,1.290476300239563,1.4409983444213867
emb_180,0.06258888708868661,0.055,1.2818497829437256,1.4277027864456178
emb_191,0.06181111971744206,0.06,1.275917734146118,1.4153662691116333
emb_116,0.06117790878775854,0.0675,1.2861126899719237,1.4280266962051391
emb_207,0.061038516854894226,0.0675,1.3152424983978273,1.4443258743286134
emb_215,0.06081687101519895,0.07,1.2987081756591796,1.4091385202407838
emb_090,0.06040145140745394,0.075,1.2816149244308472,1.412901617050171
emb_123,0.06020230096190445,0.08,1.2832005462646485,1.4303123350143432
emb_140,0.06017062566422341,0.08,1.2909377698898314,1.4137391576766967
emb_203,0.06008820975201673,0.08,1.3017384147644042,1.438682897567749
emb_219,0.059472445429040684,0.0875,1.2739450912475585,1.4191759433746338
emb_243,0.05828799933473308,0.095,1.2940223083496094,1.4067532596588135
emb_197,0.05766163197975132,0.1025,1.2805873899459839,1.4138593368530274
emb_078,0.057646834630779346,0.1025,1.2748843307495117,1.4035533485412597
len_words,0.05762080049614786,0.1025,1.2955334243774415,1.4320370251859598
emb_048,0.057182180470755885,0.1025,1.2867589368820191,1.4267370147705078
emb_126,0.056783495672790806,0.1075,1.2701964616775512,1.3932180662155151
emb_008,0.05647342572838868,0.1125,1.3088039855957032,1.4140027694702149
emb_164,0.05589756714523062,0.125,1.2747900037765503,1.406741563796997
rate_punct,0.05589397479537636,0.125,1.2940155235496726,1.4087579069137572
emb_112,0.05536191213629529,0.1325,1.3065771837234497,1.4350156230926514
emb_068,0.05517437355149279,0.1375,1.3030340280532837,1.422918249130249
emb_076,0.05514772120707469,0.1375,1.2907759981155396,1.4249371271133422
emb_238,0.05451435709061391,0.14,1.289943157196045,1.419414813041687
emb_171,0.05420170629510582,0.1475,1.2836610221862792,1.4160884532928466
emb_058,0.054092155478090265,0.1475,1.2956285791397095,1.406383719444275
emb_185,0.05310738964153696,0.1675,1.302482632637024,1.4283339986801147
emb_240,0.051779302734407014,0.1825,1.3119482536315918,1.4197705945968628
emb_034,0.051713946925782885,0.1825,1.3216631689071656,1.4329485950469971
rate_digit,0.05155590916884795,0.185,1.2881610765457154,1.4133127784729005
emb_013,0.05144526734463631,0.185,1.3010860033035279,1.4191275177001954
emb_144,0.051399943085824115,0.185,1.3007914161682128,1.4179884309768678
emb_108,0.050787198611991304,0.195,1.3022616624832153,1.3989405307769776
emb_204,0.05009271792934278,0.2075,1.3093073720932007,1.419598069190979
ttr,0.04991786559601194,0.21,1.2881512145996095,1.3987063932418824
emb_103,0.049515010864675385,0.22,1.3099193973541259,1.4229942388534547
emb_231,0.048926142279684094,0.2375,1.289217456817627,1.4055422163009643
emb_128,0.04890125804573899,0.2375,1.2939795398712157,1.3978742341995238
emb_004,0.048724484377459236,0.24,1.3009886121749878,1.4012254276275635
emb_088,0.048525812170398336,0.2425,1.3070183877944945,1.4048793783187867
emb_121,0.04845296299545009,0.2425,1.3144970340728759,1.4234410982131958
emb_059,0.04824077514436647,0.245,1.2899519834518434,1.39350732421875
emb_049,0.04805746789671142,0.25,1.2788209714889527,1.3851972179412841
emb_052,0.047922094184293475,0.25,1.3140928382873536,1.421701696395874
emb_063,0.047684091949616356,0.2525,1.305874176979065,1.3947164373397827
emb_192,0.04723416471700125,0.2525,1.285266821861267,1.3935911464691162
emb_009,0.04721386316580561,0.2525,1.3001924676895142,1.4112760601043701
emb_125,0.04710676704816324,0.2525,1.3059973134994507,1.416853485107422
emb_070,0.047002542527516185,0.2575,1.2984529485702514,1.4035861320495606
emb_188,0.0469459181190733,0.265,1.3139070463180542,1.4212627420425414
emb_040,0.046870837915515995,0.265,1.2940468368530273,1.398295976638794
emb_100,0.04670797127320209,0.265,1.2882080583572388,1.400096248626709
emb_227,0.04641878721871232,0.2725,1.2993122997283935,1.4048776273727417
emb_122,0.04637862199669037,0.2725,1.2983562498092651,1.3985359582901
emb_189,0.04623126252668825,0.2775,1.2998629465103149,1.4098294372558593
emb_029,0.04605781056478341,0.2825,1.3075818033218385,1.4037827920913697
emb_021,0.04593355892596578,0.2875,1.3099179954528808,1.4122882299423218
