doc_id,M_128,M_256,M_512,M_1024
<urn:uuid:a7113aec-c7ad-48fc-bb36-606d97e376f8>,14.752851486206055,14.752851486206055,14.752851486206055,14.752851486206055
<urn:uuid:a81cf1d0-baa6-4942-a2da-2aa96c863ed0>,15.30760383605957,19.904321670532227,19.904321670532227,19.904321670532227
<urn:uuid:efc36dc0-62ef-4e1f-a3b9-3a3f20fc2fc5>,9.59521770477295,10.319724082946777,10.657937049865723,10.657937049865723
<urn:uuid:892f8852-5ab3-44cc-9eee-104df5bb4bc3>,11.90334701538086,11.90334701538086,16.70947265625,16.70947265625
<urn:uuid:9bae0797-8ba8-4e66-8a71-a08886270daf>,8.616768836975098,11.018948554992676,11.091363906860352,11.091363906860352
<urn:uuid:12189cb5-d4d4-4a68-a5f5-298d59ff3add>,15.295890808105469,15.295890808105469,15.295890808105469,15.295890808105469
<urn:uuid:45de903b-02bd-4c1c-b391-8e12800a14a2>,11.648509979248047,11.648509979248047,11.648509979248047,12.26887321472168
<urn:uuid:e6298ed2-850b-4118-99c2-696dd042b180>,12.745304107666016,12.745304107666016,12.745304107666016,13.619961738586426
<urn:uuid:c28e6ded-1886-4468-8531-f23ab9474293>,13.710892677307129,13.710892677307129,15.929384231567383,15.929384231567383
<urn:uuid:fbe3f183-2fc3-4649-806a-3d140dc2438f>,12.869609832763672,12.869609832763672,15.617157936096191,15.698097229003906
<urn:uuid:3813f6d7-f960-4904-89a8-d137b28f6bc2>,12.812459945678711,13.32109260559082,18.327587127685547,18.327587127685547
<urn:uuid:b41eaf0a-59b3-4fad-9005-2a92b421c3df>,11.22457218170166,11.22457218170166,12.168159484863281,13.653868675231934
<urn:uuid:0fa68320-d59a-4fb4-9b0a-597d8f0e0015>,9.918021202087402,9.918021202087402,13.364994049072266,14.336854934692383
<urn:uuid:b17e449a-4fbf-490e-9e35-2216fb834129>,13.82644271850586,13.82644271850586,14.480157852172852,14.706720352172852
<urn:uuid:a7927d46-36f8-4cbd-9917-b46802f4a47b>,13.268295288085938,15.008752822875977,15.008752822875977,15.008752822875977
<urn:uuid:1bd7a2c8-e01a-491b-a857-dac3c5ecaf35>,13.696370124816895,13.696370124816895,13.696370124816895,13.939733505249023
<urn:uuid:1d51de95-832e-457c-9ff8-0c844ebd6b3b>,11.702580451965332,11.90621566772461,12.708013534545898,12.807398796081543
<urn:uuid:28902e17-d8fe-4350-bf5e-bd266cfd24a9>,9.612019538879395,15.1559476852417,15.1559476852417,15.1559476852417
<urn:uuid:c38da680-08ee-4c5c-bbc5-9ccd71db51ec>,10.997840881347656,12.723331451416016,16.336261749267578,16.75988006591797
<urn:uuid:e8f22bfb-4011-4530-88a7-7febf55463fc>,18.231155395507812,18.231155395507812,18.231155395507812,18.231155395507812
<urn:uuid:ef930253-c473-4ca4-bf9a-8fdbfe3b1100>,13.988368034362793,15.597575187683105,15.597575187683105,15.597575187683105
<urn:uuid:7d950450-68ea-46ca-8f0e-e94c82a23a44>,13.085897445678711,13.085897445678711,15.067535400390625,15.067535400390625
<urn:uuid:2f6f50fd-b8fe-4837-847b-02f8c0ae1009>,18.64191246032715,18.64191246032715,18.64191246032715,18.64191246032715
<urn:uuid:76ab7540-f5b6-4626-89f0-1d7a2dc29b88>,16.719205856323242,16.719205856323242,16.719205856323242,16.719205856323242
<urn:uuid:3b36d304-64b2-4d1e-9888-93df3a92c03d>,14.781672477722168,14.781672477722168,14.781672477722168,14.781672477722168
<urn:uuid:4985fbd6-ac52-4c56-b9d3-875769d09f70>,11.611315727233887,14.262746810913086,15.369239807128906,15.369239807128906
<urn:uuid:126115e9-3569-4a41-a895-8c3180609b97>,12.858323097229004,12.858323097229004,12.858323097229004,12.858323097229004
<urn:uuid:528ce12a-aacb-461f-8cc6-9cc4a2771118>,11.972068786621094,11.972068786621094,14.072718620300293,14.072718620300293
<urn:uuid:fe7b8947-a6b4-4457-9347-df6ef0e9605e>,11.891549110412598,11.891549110412598,15.664144515991211,15.664144515991211
<urn:uuid:d0235e76-470c-4dc5-aa69-168991271597>,12.74078369140625,12.74078369140625,12.74078369140625,15.068521499633789
<urn:uuid:aab9eeb1-0815-4aa0-a90e-ad2909966e4d>,13.678804397583008,13.678804397583008,13.900145530700684,13.900145530700684
<urn:uuid:ee966051-78ac-42b0-b5c8-3be2d22ccbf9>,7.247586250305176,7.247586250305176,12.751815795898438,12.751815795898438
<urn:uuid:92b25000-75ff-4913-b1b3-19ad5423d0e5>,10.486429214477539,10.486429214477539,15.579374313354492,15.579374313354492
<urn:uuid:ad2e951c-b629-461b-a020-1235d7819e50>,7.24198055267334,7.24198055267334,11.482694625854492,13.752206802368164
<urn:uuid:ce96feb6-7a86-495a-8574-dbaec5bd72bd>,13.451088905334473,14.689306259155273,14.689306259155273,15.467263221740723
<urn:uuid:8b06d221-8919-46b4-a2be-0b83722c9ea8>,17.741981506347656,17.741981506347656,17.741981506347656,17.741981506347656
<urn:uuid:b684e8cf-c6ee-4787-a77f-443108573c5e>,12.81414794921875,12.81414794921875,15.181623458862305,15.181623458862305
<urn:uuid:4b8a8815-07aa-47f1-9d17-aad46f1be178>,11.913175582885742,11.913175582885742,11.913175582885742,13.686500549316406
<urn:uuid:d346418e-4ff9-4e77-aa61-62c720f0c375>,13.85737419128418,13.85737419128418,13.85737419128418,13.85737419128418
<urn:uuid:d7905101-7a9a-4c62-aed8-cae3d9baa696>,13.257392883300781,13.257392883300781,13.257392883300781,19.37021827697754
<urn:uuid:9d6dc696-ea46-47d7-9bed-653483d2fee9>,12.670238494873047,12.670238494873047,12.670238494873047,12.670238494873047
<urn:uuid:0af743f3-7c54-4d4c-bd58-6b3ad115ef9c>,10.072199821472168,10.072199821472168,10.072199821472168,12.590250015258789
<urn:uuid:77c27d7a-5132-4b42-a710-04893e9487bd>,11.578972816467285,12.505644798278809,15.965544700622559,15.965544700622559
<urn:uuid:47c15b06-7a42-41eb-ae48-adcd3dd1caaf>,12.788270950317383,12.788270950317383,16.076828002929688,16.076828002929688
<urn:uuid:84c22ed9-eebc-4c2f-b9b6-b1072161b205>,12.231773376464844,12.231773376464844,13.011857032775879,13.167007446289062
<urn:uuid:2b9a04a6-bd36-4301-af1a-c7e95684b433>,15.55012035369873,15.55012035369873,15.55012035369873,17.0762939453125
<urn:uuid:bf030e80-33ee-4156-a9bc-f76eb2d0c6c7>,10.125547409057617,17.2917537689209,17.2917537689209,17.2917537689209
<urn:uuid:e4dcb3b7-ec37-41ad-95f4-8cff193ab446>,13.647703170776367,13.82010555267334,15.046724319458008,15.046724319458008
<urn:uuid:b482328e-1ca4-4561-a24f-86e4542313c8>,12.341712951660156,12.341712951660156,12.75568675994873,15.01840591430664
<urn:uuid:9be14a4f-cf0f-4e7a-b9e2-efd7ca131639>,13.329816818237305,13.329816818237305,13.99902057647705,16.104206085205078
<urn:uuid:bf7b9d16-1e6d-4d5b-9b6f-470bf1bde4b4>,11.00876522064209,11.984652519226074,11.984652519226074,12.668835639953613
<urn:uuid:90f9f858-d8f4-421c-85c6-a6a81f3974c6>,11.050979614257812,11.239083290100098,12.136226654052734,15.94111442565918
<urn:uuid:cc0d0b5b-0528-4477-9416-a39c43e4c0ea>,14.98644733428955,14.98644733428955,14.98644733428955,14.98644733428955
<urn:uuid:e1aa6e96-d9ca-4721-935a-b76aeb6de762>,11.659276008605957,15.192204475402832,15.192204475402832,15.192204475402832
<urn:uuid:0bf457ce-8ef7-4f31-9855-834b93380379>,10.846636772155762,10.941723823547363,12.255231857299805,13.954683303833008
<urn:uuid:790a7790-53a7-40b2-970f-1780d0a45c43>,9.817805290222168,11.548637390136719,15.361638069152832,15.361638069152832
<urn:uuid:0ea2d3c4-e8f4-4149-a4ee-748850bd43c3>,10.08659839630127,11.834236145019531,15.158286094665527,15.158286094665527
<urn:uuid:c86d7857-c186-42c7-abed-d992a21fc2a7>,14.1640625,14.1640625,18.260549545288086,18.260549545288086
<urn:uuid:a0db39c8-033d-4faf-a9e0-52a510ff1306>,13.848899841308594,13.848899841308594,17.946338653564453,17.946338653564453
<urn:uuid:3931c367-16aa-4081-acb6-784db53e7399>,10.692999839782715,10.692999839782715,10.692999839782715,10.692999839782715
<urn:uuid:b3492dcd-934f-4fff-9ce1-aa656323e8b0>,13.17564582824707,13.17564582824707,16.169422149658203,17.7547664642334
<urn:uuid:bdc82556-6992-445d-aa2a-ee99392cc1fe>,15.038333892822266,15.038333892822266,15.038333892822266,15.038333892822266
<urn:uuid:88fadb67-ee61-4e94-b32f-79c648ddc964>,14.534880638122559,14.534880638122559,14.534880638122559,16.134185791015625
<urn:uuid:fdde1500-b2e4-471b-945b-72b25fc7e074>,11.49246597290039,11.49246597290039,15.869024276733398,15.869024276733398
