doc_id,url,dump,date,n_tok_doc,T_scored,max_S_small,max_S_large,max_delta,mean_S_small,mean_S_large,argmax_tok,top_S,len_chars,len_bytes,len_words,len_sents,len_paras,len_spaces,len_lines,len_gzip,rate_digit,rate_upper,rate_punct,rate_nonascii,rate_space,rate_newline,rate_alpha,ttr,hapax_rate,mean_word_len,max_word_len,mean_sent_len,gzip_ratio,byte_entropy
<urn:uuid:a7113aec-c7ad-48fc-bb36-606d97e376f8>,http://advancedgaming-theory.blogspot.com/2009/08/societies-and-factions-in-d-world.html,CC-MAIN-2025-18,2025-04-17T14:40:38Z,2048,512,14.752851486206055,14.644031524658203,6.531443119049072,3.3380329608917236,3.1247780323028564, inc,"[14.7529, 13.2773, 13.1605, 13.0152, 12.5951, 12.3769, 12.3672, 12.1855]",15903,15995,2870,144,1,2810,58,6897,0.0014462679997484752,0.023517575300257814,0.024523674778343708,0.0028925359994969504,0.17669622083883543,0.0035842293906810036,0.7906684273407533,0.3184668989547038,0.2,4.381184668989547,14,19.930555555555557,0.43119724914035634,4.443197838196082
<urn:uuid:a81cf1d0-baa6-4942-a2da-2aa96c863ed0>,http://ai2future.com/author/aifuture/,CC-MAIN-2025-18,2025-04-17T15:16:00Z,1568,512,19.904321670532227,18.395864486694336,7.892745018005371,3.1853604316711426,2.9506800174713135, Elements,"[19.9043, 15.3076, 14.2983, 13.3495, 12.5637, 12.5515, 11.7586, 11.1672]",7645,7683,1164,49,1,1190,9,3350,0.013080444735120994,0.03636363636363636,0.02472204054937868,0.0036625245258338785,0.15565729234793982,0.0010464355788096795,0.8019620667102682,0.4029209621993127,0.27233676975945015,5.251718213058419,18,23.755102040816325,0.43602759338799946,4.564901283331579
<urn:uuid:efc36dc0-62ef-4e1f-a3b9-3a3f20fc2fc5>,http://aktivnoe.forum24.ru/?1-17-0-00000582-000-0-0-1731149197,CC-MAIN-2025-18,2025-04-17T15:17:10Z,1216,512,10.657937049865723,12.809713363647461,5.298364639282227,2.75093674659729,2.3914732933044434, overl,"[10.6579, 10.3197, 9.5952, 9.2919, 9.1819, 9.1652, 9.0792, 9.0626]",5822,5848,915,70,1,866,39,2535,0.0032634833390587426,0.020611473720371008,0.023874957059429748,0.002232909653040192,0.14874613534867742,0.006526966678117485,0.8153555479216764,0.41092896174863386,0.25792349726775954,5.187978142076503,14,13.071428571428571,0.4334815321477428,4.499456448222628
<urn:uuid:892f8852-5ab3-44cc-9eee-104df5bb4bc3>,http://axisofreason.com/2025/03/just-how-to-decide-on-the-right-real-place-broker-trick-points-to-consider-for-customers-and-also-homeowners/,CC-MAIN-2025-18,2025-04-17T15:52:55Z,1229,512,16.70947265625,18.385034561157227,7.661937713623047,3.277777671813965,2.8704943656921387, mak,"[16.7095, 14.0055, 12.363, 11.9033, 11.8955, 11.4084, 11.3207, 11.165]",6368,6408,1005,56,1,960,23,2745,0.0010992462311557789,0.013662060301507538,0.01774497487437186,0.00314070351758794,0.1507537688442211,0.003454773869346734,0.8238065326633166,0.41393034825870645,0.2766169154228856,5.2199004975124375,15,17.946428571428573,0.42837078651685395,4.401985797230107
<urn:uuid:49d92ed6-8aaa-4d53-b2c8-fa04fe41f257>,http://barbara-witt.ccstw.nccu.edu.tw/uncategorized/our-very-own-dating-started-off-a-while-dramatic/,CC-MAIN-2025-18,2025-04-17T16:08:37Z,951,512,13.874757766723633,14.735258102416992,3.145969867706299,4.8754658699035645,4.704788684844971, kills,"[13.8748, 13.5484, 13.3704, 13.1551, 13.1123, 12.6582, 12.4644, 12.3638]",4458,4492,837,43,1,813,7,2119,0.00022431583669807088,0.01278600269179004,0.014131897711978465,0.003813369223867205,0.18236877523553163,0.0013458950201884253,0.7981157469717362,0.44802867383512546,0.3010752688172043,4.250896057347671,14,19.46511627906977,0.47172751558325915,4.332767763863903
<urn:uuid:a3d872ce-0a65-4010-8fba-0fe523d7e51b>,http://bonacia.com/categories/health--medical/page/13/,CC-MAIN-2025-18,2025-04-17T16:13:37Z,635,512,14.347540855407715,13.18223762512207,6.885785102844238,2.505905866622925,2.2675626277923584, down,"[14.3475, 14.1206, 12.2925, 10.4964, 9.6386, 9.6194, 9.5622, 9.5575]",3170,3170,566,23,1,558,6,1492,0.0012618296529968455,0.00946372239747634,0.014826498422712935,0.0,0.17602523659305994,0.0015772870662460567,0.8056782334384858,0.5017667844522968,0.3621908127208481,4.512367491166078,15,24.608695652173914,0.47066246056782335,4.255309001679101
<urn:uuid:7ea8625b-544f-4151-941e-50107dfe8a59>,http://centaury.ntklpf.com/indoor-air-quality/,CC-MAIN-2025-18,2025-04-17T14:16:40Z,1061,512,14.19148063659668,12.526814460754395,7.551147937774658,2.4044713973999023,2.147520065307617,�,"[14.1915, 11.9157, 11.5533, 11.4826, 11.2163, 10.912, 10.5673, 10.4564]",5193,5299,814,41,1,779,18,2201,0.0,0.0219526285384171,0.017716156364336606,0.010206046601193916,0.1500096283458502,0.003273637589062199,0.8264972077797035,0.4152334152334152,0.2702702702702703,5.223587223587224,13,19.853658536585368,0.4153613889413097,4.558727418028259
<urn:uuid:1f30f6a0-6cc3-4c1d-b151-32ca69713955>,http://collegian.tccd.edu/30561/october-5-2016/se-students-learn-ecuadorian-culture-tradition/,CC-MAIN-2025-18,2025-04-17T15:58:49Z,750,512,13.608850479125977,14.174570083618164,4.652559280395508,2.5052878856658936,2.321953773498535, Stat,"[13.6089, 11.2262, 10.9494, 10.8419, 10.7167, 10.537, 10.0364, 9.7092]",3239,3285,575,30,1,545,23,1554,0.0006174745291756715,0.03056498919419574,0.02253782031491201,0.007100957085520223,0.16826180920037048,0.006792219820932387,0.7946897190490892,0.4469565217391304,0.30782608695652175,4.476521739130435,12,19.166666666666668,0.4730593607305936,4.462038443491263
<urn:uuid:a3af0e93-bcc7-4f38-a03f-6ea5b759191e>,http://creditcards.inf4you.com/how-to-use-a-bank-card/,CC-MAIN-2025-18,2025-04-17T14:38:24Z,721,512,16.121444702148438,15.197306632995605,3.8845043182373047,3.852194309234619,3.63096284866333, Annual,"[16.1214, 14.0852, 13.0299, 12.8924, 12.7681, 12.1769, 12.1704, 12.0543]",3511,3525,621,27,1,602,9,1690,0.0011392765593847907,0.009114212475078326,0.01708914839077186,0.0019937339789233835,0.171461122187411,0.0022785531187695814,0.8051837083452008,0.47342995169082125,0.33011272141706927,4.552334943639291,13,23.0,0.4794326241134752,4.3532075218029105
<urn:uuid:73dbaa5e-aceb-4ce0-96d8-bfc4fa502cbd>,http://cruzhapi337.yousher.com/14-businesses-doing-a-great-job-at-thekes-iphone-athena,CC-MAIN-2025-18,2025-04-17T15:16:56Z,740,512,15.367154121398926,16.27031898498535,5.033985614776611,3.297618865966797,2.9815025329589844, Α,"[15.3672, 13.5752, 13.2458, 12.1435, 12.0637, 12.0274, 11.7121, 11.6556]",3503,3521,585,37,1,561,7,1662,0.0011418783899514702,0.02083928061661433,0.0219811590065658,0.005138452754781616,0.16014844419069368,0.0017128175849272054,0.8118755352554953,0.48547008547008547,0.3333333333333333,4.832478632478632,17,15.81081081081081,0.47202499289974437,4.45043077554225
