doc_id,url,dump,date,n_tok_doc,T_scored,max_S_small,max_S_large,max_delta,mean_S_small,mean_S_large,argmax_tok,top_S,len_chars,len_bytes,len_words,len_sents,len_paras,len_spaces,len_lines,len_gzip,rate_digit,rate_upper,rate_punct,rate_nonascii,rate_space,rate_newline,rate_alpha,ttr,hapax_rate,mean_word_len,max_word_len,mean_sent_len,gzip_ratio,byte_entropy
<urn:uuid:8b4d2279-536e-4a29-b62c-8ccaec1a81df>,http://24ktcasino.net/2020/06/18/complimentary-wagering-schemes-master-advisor/,CC-MAIN-2025-18,2025-04-17T15:45:15Z,396,331,13.9668550491333,13.49279499053955,2.9389209747314453,3.853296995162964,3.66930890083313, emphasized,"[13.9669, 12.2799, 12.0738, 12.0358, 11.5822, 11.025, 10.8423, 10.7048]",1897,1915,301,9,1,290,7,975,0.002635740643120717,0.01845018450184502,0.02635740643120717,0.004744333157617291,0.1528729573010016,0.0031628887717448603,0.8096995255666842,0.5614617940199336,0.39867109634551495,5.102990033222591,13,33.44444444444444,0.5091383812010444,4.479275192967842
<urn:uuid:58857621-2594-4a81-b117-4ab0481c76f6>,http://44.217.72.34.bc.googleusercontent.com/product/samsung-galaxy-f35-silicone-case/,CC-MAIN-2025-18,2025-04-17T14:55:55Z,407,342,10.212746620178223,9.941497802734375,3.819199562072754,2.3250160217285156,1.967169165611267,Prote,"[10.2127, 9.2404, 9.0588, 8.9587, 8.8264, 8.7267, 8.176, 8.1213]",2029,2031,321,21,1,304,7,981,0.004435682602267127,0.020699852143913258,0.025135534746180386,0.0004928536224741252,0.14982750123213406,0.002957121734844751,0.8171513060620995,0.5389408099688473,0.3582554517133956,5.165109034267913,12,15.285714285714286,0.48301329394387,4.440975008587415
<urn:uuid:a7113aec-c7ad-48fc-bb36-606d97e376f8>,http://advancedgaming-theory.blogspot.com/2009/08/societies-and-factions-in-d-world.html,CC-MAIN-2025-18,2025-04-17T14:40:38Z,2048,1983,16.851795196533203,14.644031524658203,6.856541156768799,3.243436336517334,3.01129412651062, Law,"[16.8518, 14.7529, 14.0305, 13.4884, 13.2773, 13.2383, 13.199, 13.179]",15903,15995,2870,144,1,2810,58,6897,0.0014462679997484752,0.023517575300257814,0.024523674778343708,0.0028925359994969504,0.17669622083883543,0.0035842293906810036,0.7906684273407533,0.3184668989547038,0.2,4.381184668989547,14,19.930555555555557,0.43119724914035634,4.443197838196082
<urn:uuid:a81cf1d0-baa6-4942-a2da-2aa96c863ed0>,http://ai2future.com/author/aifuture/,CC-MAIN-2025-18,2025-04-17T15:16:00Z,1568,1503,19.904321670532227,18.395864486694336,7.892745018005371,3.1395785808563232,2.935612916946411, Elements,"[19.9043, 17.1787, 15.3076, 15.2688, 14.2983, 13.9094, 13.3495, 13.3377]",7645,7683,1164,49,1,1190,9,3350,0.013080444735120994,0.03636363636363636,0.02472204054937868,0.0036625245258338785,0.15565729234793982,0.0010464355788096795,0.8019620667102682,0.4029209621993127,0.27233676975945015,5.251718213058419,18,23.755102040816325,0.43602759338799946,4.564901283331579
<urn:uuid:efc36dc0-62ef-4e1f-a3b9-3a3f20fc2fc5>,http://aktivnoe.forum24.ru/?1-17-0-00000582-000-0-0-1731149197,CC-MAIN-2025-18,2025-04-17T15:17:10Z,1216,1151,10.657937049865723,12.809713363647461,5.8892035484313965,2.448590040206909,2.1439616680145264, overl,"[10.6579, 10.5669, 10.3197, 10.3141, 9.6303, 9.597, 9.5952, 9.2919]",5822,5848,915,70,1,866,39,2535,0.0032634833390587426,0.020611473720371008,0.023874957059429748,0.002232909653040192,0.14874613534867742,0.006526966678117485,0.8153555479216764,0.41092896174863386,0.25792349726775954,5.187978142076503,14,13.071428571428571,0.4334815321477428,4.499456448222628
<urn:uuid:892f8852-5ab3-44cc-9eee-104df5bb4bc3>,http://axisofreason.com/2025/03/just-how-to-decide-on-the-right-real-place-broker-trick-points-to-consider-for-customers-and-also-homeowners/,CC-MAIN-2025-18,2025-04-17T15:52:55Z,1229,1164,16.70947265625,18.385034561157227,7.661937713623047,3.1153886318206787,2.7668936252593994, mak,"[16.7095, 14.0055, 13.6748, 12.921, 12.363, 11.9033, 11.8955, 11.8176]",6368,6408,1005,56,1,960,23,2745,0.0010992462311557789,0.013662060301507538,0.01774497487437186,0.00314070351758794,0.1507537688442211,0.003454773869346734,0.8238065326633166,0.41393034825870645,0.2766169154228856,5.2199004975124375,15,17.946428571428573,0.42837078651685395,4.401985797230107
<urn:uuid:ed9bee56-066d-4ff9-ad39-d37b5ed5054e>,http://balconycontainergardening.com/gardening/380-compost-tea-recipe,CC-MAIN-2025-18,2025-04-17T14:22:36Z,438,373,15.681313514709473,14.846607208251953,5.683353424072266,2.553662061691284,2.371274948120117, balcony,"[15.6813, 13.0306, 9.0946, 8.8292, 8.759, 8.602, 8.4242, 8.193]",1985,1991,372,22,1,363,5,917,0.0010075566750629723,0.01057934508816121,0.01964735516372796,0.0015113350125944584,0.18287153652392948,0.0020151133501259445,0.7929471032745592,0.4381720430107527,0.25268817204301075,4.231182795698925,15,16.90909090909091,0.46057257659467604,4.307113837764629
<urn:uuid:49d92ed6-8aaa-4d53-b2c8-fa04fe41f257>,http://barbara-witt.ccstw.nccu.edu.tw/uncategorized/our-very-own-dating-started-off-a-while-dramatic/,CC-MAIN-2025-18,2025-04-17T16:08:37Z,951,886,13.874757766723633,14.76716423034668,5.4129180908203125,4.674891948699951,4.501908302307129, kills,"[13.8748, 13.5939, 13.5484, 13.4279, 13.3704, 13.205, 13.1551, 13.1123]",4458,4492,837,43,1,813,7,2119,0.00022431583669807088,0.01278600269179004,0.014131897711978465,0.003813369223867205,0.18236877523553163,0.0013458950201884253,0.7981157469717362,0.44802867383512546,0.3010752688172043,4.250896057347671,14,19.46511627906977,0.47172751558325915,4.332767763863903
<urn:uuid:4290b67a-e93d-42fd-871e-3d02766f6275>,http://bib.ge/reptiles/open.php?id=1473,CC-MAIN-2025-18,2025-04-17T15:46:49Z,512,447,15.795154571533203,15.327109336853027,5.105738639831543,2.93251371383667,2.5443737506866455,ran,"[15.7952, 14.4718, 13.746, 11.9397, 11.7601, 11.0826, 10.8585, 10.4953]",2245,2245,363,25,1,355,9,1171,0.0071269487750556795,0.029398663697104678,0.026726057906458798,0.0,0.15812917594654788,0.0035634743875278397,0.8044543429844098,0.6060606060606061,0.48484848484848486,4.975206611570248,15,14.52,0.5216035634743875,4.468319082996987
<urn:uuid:be7ed39a-2f95-4376-887d-c79a038c1310>,http://biblemythhistory.com/the-case-for-a-proto-gospel/,CC-MAIN-2025-18,2025-04-17T15:58:59Z,233,168,12.871500968933105,12.430399894714355,3.844304084777832,2.8211920261383057,2.6106064319610596, lur,"[12.8715, 10.1821, 10.0225, 9.5865, 9.3555, 9.1919, 9.036, 8.622]",1135,1143,185,8,1,179,4,665,0.0,0.033480176211453744,0.02290748898678414,0.003524229074889868,0.15770925110132158,0.0026431718061674008,0.8140969162995595,0.654054054054054,0.5135135135135135,4.994594594594594,13,23.125,0.5818022747156606,4.453812965933271
