"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"len_bytes",1.26770595604884,2,1,2.5,1,FALSE,FALSE,TRUE,FALSE,0.0122916666666667,5,4,7
"len_words",1.26590671489669,1,3,2.5,1,FALSE,FALSE,TRUE,FALSE,0.0102083333333333,3,1,5
"len_spaces",1.27078354983366,4,3,2.5,1,FALSE,FALSE,TRUE,FALSE,0.018125,2,2,4
"len_gzip",1.27410717991554,6,3,9,1,FALSE,FALSE,TRUE,FALSE,0.0233333333333333,1,3,6
"len_chars",1.26842230698518,3,5,6,1,FALSE,FALSE,TRUE,FALSE,0.013125,4,5,8
"ttr",1.27371877697111,5,6,11,1,FALSE,FALSE,TRUE,FALSE,0.0225,6,6,2
"hapax_rate",1.28152215669188,8,7.5,14,1,FALSE,FALSE,TRUE,FALSE,0.0466666666666667,7,7,1
"byte_entropy",1.28968272522674,9,7.5,2.5,1,FALSE,FALSE,FALSE,FALSE,0.09625,9,12,15
"rate_punct",1.30596390557224,10,10,6,1,FALSE,FALSE,FALSE,FALSE,0.29875,15,15,14
"rate_alpha",1.34771839800574,16,10,6,1,FALSE,FALSE,FALSE,FALSE,0.941458333333333,12,11,13
"gzip_ratio",1.30977092407429,11,10,16,1,FALSE,FALSE,FALSE,FALSE,0.365,8,8,3
"rate_space",1.33557717789151,14,13,9,1,FALSE,FALSE,FALSE,FALSE,0.814375,13,14,12
"rate_newline",1.31116632785698,12,13,14,1,FALSE,FALSE,FALSE,FALSE,0.387083333333333,11,10,10
"mean_sent_len",1.2803033581838,7,13,14,1,FALSE,FALSE,TRUE,FALSE,0.0422916666666667,10,9,11
"rate_upper",1.31453560115644,13,15,12,1,FALSE,FALSE,FALSE,FALSE,0.450416666666667,16,16,9
"mean_word_len",1.33595879659397,15,16,9,1,FALSE,FALSE,FALSE,FALSE,0.820625,14,13,16
