"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"len_gzip",1.34413872335663,4,1,2,1,FALSE,FALSE,FALSE,FALSE,0.19375,2,1,1
"len_chars",1.35095224096276,9,2,9,1,FALSE,FALSE,FALSE,FALSE,0.277083333333333,5,2,3
"len_bytes",1.3522353311338,11,4,5.5,1,FALSE,FALSE,FALSE,FALSE,0.296041666666667,4,3,2
"len_words",1.35743552283131,13,4,5.5,1,FALSE,FALSE,FALSE,FALSE,0.379375,3,5,4
"len_spaces",1.36156868639717,15,4,2,1,FALSE,FALSE,FALSE,FALSE,0.452916666666667,1,4,5
"ttr",1.36139060281902,14,6,14.5,1,FALSE,FALSE,FALSE,FALSE,0.449375,6,6,9
"rate_punct",1.33116246013075,2,8,5.5,1,FALSE,FALSE,FALSE,FALSE,0.0895833333333333,12,11,13
"hapax_rate",1.34685434320941,6,8,9,1,FALSE,FALSE,FALSE,FALSE,0.227083333333333,7,7,8
"byte_entropy",1.3059822385082,1,8,2,1,FALSE,FALSE,TRUE,TRUE,0.00895833333333333,8,8,6
"rate_upper",1.33248067404397,3,10,5.5,1,FALSE,FALSE,FALSE,FALSE,0.098125,11,13,10
"mean_sent_len",1.34867975451872,8,11.5,11,1,FALSE,FALSE,FALSE,FALSE,0.24875,10,12,7
"gzip_ratio",1.37490900060903,16,11.5,14.5,1,FALSE,FALSE,FALSE,FALSE,0.696458333333333,9,9,14
"rate_alpha",1.34831199658828,7,13,9,1,FALSE,FALSE,FALSE,FALSE,0.243125,13,10,12
"rate_space",1.35551217944526,12,14,12.5,1,FALSE,FALSE,FALSE,FALSE,0.350833333333333,16,15,11
"rate_newline",1.34508110939211,5,15,12.5,1,FALSE,FALSE,FALSE,FALSE,0.204375,15,16,16
"mean_word_len",1.35197145480478,10,16,16,1,FALSE,FALSE,FALSE,FALSE,0.293125,14,14,15
