"covariate","score","rank_base","rank_agg","agg_minrank","freq_top20","below_thr05","below_thr01","rank_q90","rank_q95","rank_q99"
"rate_punct",1.35715248142955,5,2,1,1,FALSE,FALSE,11,8,10
"rate_newline",1.33925212986352,1,2,1,1,FALSE,FALSE,6,2,16
"hapax_rate",1.34274343130192,3,2,1,1,FALSE,FALSE,8,1,4
"len_gzip",1.36749382961434,12,5,2,1,FALSE,FALSE,16,6,1
"ttr",1.35920901715993,6,5,2,1,FALSE,FALSE,10,3,5
"byte_entropy",1.34084420899514,2,5,2,1,FALSE,FALSE,3,14,9
"len_chars",1.36691743042103,11,8.5,3,1,FALSE,FALSE,12,10,7
"len_words",1.36082705270788,7,8.5,3,1,FALSE,FALSE,15,12,2
"len_spaces",1.36416951893655,8,8.5,3,1,FALSE,FALSE,14,7,3
"rate_alpha",1.39807146491499,16,8.5,3,1,FALSE,FALSE,2,5,8
"len_bytes",1.36578531228956,10,12.5,4,1,FALSE,FALSE,13,11,6
"rate_space",1.3530762085883,4,12.5,4,1,FALSE,FALSE,4,15,15
"mean_word_len",1.37381791696808,13,12.5,4,1,FALSE,FALSE,1,9,12
"mean_sent_len",1.38972773725609,14,12.5,4,1,FALSE,FALSE,7,13,14
"gzip_ratio",1.36467878600414,9,15,5,1,FALSE,FALSE,5,4,13
"rate_upper",1.397581914683,15,16,12,1,FALSE,FALSE,9,16,11
