"covariate","score","rank_base","rank_agg","agg_minrank","freq_top20","below_thr05","below_thr01","rank_q90","rank_q95","rank_q99"
"rate_upper",1.31739388692839,8,1.5,1,1,FALSE,FALSE,1,1,3
"byte_entropy",1.258727376774,1,1.5,1,1,FALSE,FALSE,2,2,4
"len_words",1.29750737883996,4,5.5,2,1,FALSE,FALSE,12,13,9
"len_spaces",1.29728379470355,3,5.5,2,1,FALSE,FALSE,11,15,13
"len_gzip",1.29218709380029,2,5.5,2,1,FALSE,FALSE,15,14,16
"rate_space",1.3410141633119,13,5.5,2,1,FALSE,FALSE,14,16,1
"rate_alpha",1.33734319740203,11,5.5,2,1,FALSE,FALSE,9,6,5
"hapax_rate",1.32530772527608,9,5.5,2,1,FALSE,FALSE,6,5,11
"len_bytes",1.29813681270539,5,10,3,1,FALSE,FALSE,8,11,14
"rate_punct",1.34878841496701,14,10,3,1,FALSE,FALSE,16,8,10
"gzip_ratio",1.33951940972128,12,10,3,1,FALSE,FALSE,3,4,2
"ttr",1.33186689499972,10,12.5,4,1,FALSE,FALSE,7,7,12
"mean_word_len",1.35160601224964,15,12.5,4,1,FALSE,FALSE,13,9,7
"len_chars",1.29850446361806,6,14,5,1,FALSE,FALSE,10,12,15
"mean_sent_len",1.31635905966941,7,15,6,1,FALSE,FALSE,4,3,8
"rate_newline",1.35862718430011,16,16,9,1,FALSE,FALSE,5,10,6
