"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_060",1.19935929388415,4,1,3,0.15,FALSE,FALSE,TRUE,TRUE,0.00251102941176471,105,28,19
"emb_008",1.1972932204406,1,2,3,0.2,FALSE,FALSE,TRUE,TRUE,0.00139705882352941,17,11,3
"emb_123",1.20947802098083,20,3,11.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0267977941176471,129,33,10
"rate_upper",1.2082504677309,14,4,11.5,0.2,FALSE,FALSE,TRUE,FALSE,0.0205367647058824,11,8,20
"emb_003",1.20161933988418,6,5,3,0.1,FALSE,FALSE,TRUE,TRUE,0.00434191176470588,9,9,21
"emb_114",1.21497649441209,42,6.5,19.5,0.05,FALSE,FALSE,FALSE,FALSE,0.0792279411764706,19,32,38
"emb_201",1.20909927854633,17,6.5,7.5,0.25,FALSE,FALSE,TRUE,FALSE,0.0247977941176471,190,164,7
"byte_entropy",1.21525020572578,45,8,3,0.05,FALSE,FALSE,FALSE,FALSE,0.0831470588235294,5,2,4
"emb_113",1.19845646512094,2,9,7.5,0.2,FALSE,FALSE,TRUE,TRUE,0.00194485294117647,33,92,163
"emb_094",1.22018122252865,76,10,24,0.05,FALSE,FALSE,FALSE,FALSE,0.183040441176471,97,72,16
"emb_144",1.20827825169561,15,12,36,0.15,FALSE,FALSE,TRUE,FALSE,0.0206580882352941,224,115,5
"emb_181",1.20713131442245,11,12,31.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0160514705882353,268,156,58
"emb_238",1.21695686451651,53,12,28,0.15,FALSE,FALSE,FALSE,FALSE,0.111683823529412,237,272,161
"emb_231",1.20999772836371,24,14,31.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0299705882352941,259,195,95
"emb_185",1.21001994380322,25,15,52,0,FALSE,FALSE,TRUE,FALSE,0.0300772058823529,204,159,83
"emb_046",1.22231082996394,97,16.5,16,0.15,FALSE,FALSE,FALSE,FALSE,0.245147058823529,56,77,128
"emb_124",1.20837488692207,16,16.5,24,0.1,FALSE,FALSE,TRUE,FALSE,0.0211323529411765,141,49,54
"emb_085",1.21160996698604,28,18,11.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0419338235294118,139,70,27
"emb_059",1.215570390078,48,19,36,0.05,FALSE,FALSE,FALSE,FALSE,0.0880735294117647,111,151,40
"emb_082",1.21191240563576,30,21,16,0.15,FALSE,FALSE,TRUE,FALSE,0.0445625,125,25,2
"emb_116",1.22577015460188,133,21,45.5,0.15,FALSE,FALSE,FALSE,FALSE,0.367904411764706,185,223,131
"emb_254",1.21416037069111,38,21,69,0.15,FALSE,FALSE,FALSE,FALSE,0.0683088235294118,30,83,15
"emb_221",1.22041089616126,79,23,30,0,FALSE,FALSE,FALSE,FALSE,0.189319852941176,244,238,88
"emb_066",1.21022228602557,26,24.5,45.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0313823529411765,109,180,71
"emb_098",1.20919049247915,18,24.5,21,0.05,FALSE,FALSE,TRUE,FALSE,0.0252610294117647,130,148,85
"emb_112",1.20177751456924,7,26.5,24,0.25,FALSE,FALSE,TRUE,TRUE,0.00450735294117647,92,20,75
"emb_163",1.21834954268639,57,26.5,63.5,0.1,FALSE,FALSE,FALSE,FALSE,0.139628676470588,123,57,263
"emb_026",1.22267372252455,102,28,28,0.1,FALSE,FALSE,FALSE,FALSE,0.256738970588235,108,166,31
"emb_235",1.21881165023766,61,29,45.5,0.1,FALSE,FALSE,FALSE,FALSE,0.1499375,175,122,89
"rate_space",1.20811655919065,13,30,28,0.1,FALSE,FALSE,TRUE,FALSE,0.0199742647058824,12,16,11
"gzip_ratio",1.20998319911525,23,31,36,0.15,FALSE,FALSE,TRUE,FALSE,0.0298602941176471,2,3,56
"emb_006",1.20948063198325,21,32,42.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0268198529411765,18,21,60
"emb_007",1.21524346060719,44,33,66,0.05,FALSE,FALSE,FALSE,FALSE,0.0830330882352941,36,104,33
"emb_012",1.22749321669675,154,34.5,36,0.05,FALSE,FALSE,FALSE,FALSE,0.437900735294118,31,167,69
"emb_100",1.22564285316717,131,34.5,40.5,0,FALSE,FALSE,FALSE,FALSE,0.362790441176471,207,252,120
"emb_010",1.20496041480567,10,36,24,0.25,FALSE,FALSE,TRUE,TRUE,0.00977573529411765,15,15,24
"emb_075",1.20996329842701,22,37,66,0.1,FALSE,FALSE,TRUE,FALSE,0.0297720588235294,228,35,111
"emb_089",1.21470772204219,40,38.5,95,0.05,FALSE,FALSE,FALSE,FALSE,0.0754558823529412,79,145,73
"emb_237",1.22286721853599,106,38.5,56,0.05,FALSE,FALSE,FALSE,FALSE,0.263400735294118,49,93,93
"emb_145",1.21588301970978,49,40,19.5,0.15,FALSE,FALSE,FALSE,FALSE,0.0929338235294118,201,108,105
"emb_180",1.21545503155293,47,41,56,0.15,FALSE,FALSE,FALSE,FALSE,0.0862867647058824,99,60,34
"emb_009",1.21421924991025,39,43,89,0,FALSE,FALSE,FALSE,FALSE,0.0690698529411765,46,46,9
"emb_065",1.21649390960938,52,43,60.5,0.1,FALSE,FALSE,FALSE,FALSE,0.102996323529412,145,257,63
"emb_253",1.21889594623993,63,43,16,0.1,FALSE,FALSE,FALSE,FALSE,0.151628676470588,212,202,39
"emb_036",1.21401003645473,37,45.5,69,0.05,FALSE,FALSE,FALSE,FALSE,0.0664632352941176,90,105,12
"emb_166",1.21211487953596,31,45.5,60.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0464154411764706,217,85,45
"emb_097",1.23024669441721,176,47,106,0,FALSE,FALSE,FALSE,FALSE,0.552889705882353,272,248,106
"emb_213",1.22018535297106,77,48,16,0.15,FALSE,FALSE,FALSE,FALSE,0.183121323529412,196,197,46
"emb_001",1.21960930278038,71,50,107,0.1,FALSE,FALSE,FALSE,FALSE,0.168441176470588,14,24,256
"emb_042",1.22102902789261,84,50,42.5,0.15,FALSE,FALSE,FALSE,FALSE,0.206422794117647,143,141,235
"emb_125",1.21850649841523,60,50,84,0.1,FALSE,FALSE,FALSE,FALSE,0.1429375,106,22,117
"emb_128",1.21377302519784,36,52,49,0.1,FALSE,FALSE,FALSE,FALSE,0.0636875,38,34,6
"emb_025",1.22636351488577,140,54,77,0.05,FALSE,FALSE,FALSE,FALSE,0.391558823529412,76,219,78
"emb_200",1.21896551581147,64,54,56,0.05,FALSE,FALSE,FALSE,FALSE,0.153139705882353,241,42,212
"emb_228",1.21970374700126,73,54,84,0,FALSE,FALSE,FALSE,FALSE,0.170808823529412,262,192,65
"emb_230",1.2172738824198,55,56,86.5,0.1,FALSE,FALSE,FALSE,FALSE,0.117558823529412,249,179,207
"emb_030",1.21600325415205,50,57.5,72.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0948566176470588,27,37,150
"emb_169",1.21533448874046,46,57.5,109,0,FALSE,FALSE,FALSE,FALSE,0.0844485294117647,206,103,219
"emb_011",1.21913442368941,66,59.5,112.5,0.05,FALSE,FALSE,FALSE,FALSE,0.157029411764706,81,38,61
"emb_210",1.216242094991,51,59.5,75,0.2,FALSE,FALSE,FALSE,FALSE,0.0987132352941176,236,90,159
"emb_176",1.22303219260236,109,61,117.5,0.15,FALSE,FALSE,FALSE,FALSE,0.268816176470588,103,63,121
"emb_028",1.23441667616268,220,62.5,80,0.05,FALSE,FALSE,FALSE,FALSE,0.719474264705882,35,53,167
"emb_052",1.22130168687939,85,62.5,69,0.1,FALSE,FALSE,FALSE,FALSE,0.214316176470588,114,54,23
"emb_243",1.21331117920715,35,64,95,0.05,FALSE,FALSE,FALSE,FALSE,0.0585441176470588,266,134,42
"emb_121",1.21983723703466,75,66,112.5,0.1,FALSE,FALSE,FALSE,FALSE,0.174213235294118,182,95,70
"emb_141",1.21927544961138,68,66,126,0.2,FALSE,FALSE,FALSE,FALSE,0.160448529411765,188,158,172
"emb_183",1.23044082425852,182,66,101,0.05,FALSE,FALSE,FALSE,FALSE,0.561007352941176,149,170,32
"emb_016",1.22076879171776,81,68.5,75,0.05,FALSE,FALSE,FALSE,FALSE,0.199191176470588,62,214,221
"emb_102",1.21921748375315,67,68.5,98.5,0.1,FALSE,FALSE,FALSE,FALSE,0.158992647058824,75,211,50
"emb_032",1.22707491044821,147,70.5,89,0.1,FALSE,FALSE,FALSE,FALSE,0.420220588235294,60,169,208
"emb_126",1.22679262791079,144,70.5,36,0.05,FALSE,FALSE,FALSE,FALSE,0.408900735294118,183,193,67
"emb_048",1.22253845492137,101,72.5,36,0.05,FALSE,FALSE,FALSE,FALSE,0.252371323529412,54,30,44
"emb_143",1.22231417771037,98,72.5,60.5,0.05,FALSE,FALSE,FALSE,FALSE,0.245308823529412,198,241,52
"mean_word_len",1.21174494339123,29,74,60.5,0,FALSE,FALSE,TRUE,FALSE,0.0430919117647059,13,17,35
"emb_227",1.22744419351462,153,75,7.5,0.05,FALSE,FALSE,FALSE,FALSE,0.435849264705882,155,126,17
"emb_220",1.21277403612756,32,76,80,0,FALSE,FALSE,FALSE,FALSE,0.0526691176470588,148,19,25
"emb_045",1.22285633117961,105,77.5,95,0.05,FALSE,FALSE,FALSE,FALSE,0.263029411764706,265,244,179
"emb_057",1.22069740660529,80,77.5,126,0.2,FALSE,FALSE,FALSE,FALSE,0.197253676470588,142,121,28
"emb_074",1.22134723340545,87,79.5,45.5,0.1,FALSE,FALSE,FALSE,FALSE,0.215639705882353,71,112,59
"emb_203",1.23029792185051,180,79.5,80,0.05,FALSE,FALSE,FALSE,FALSE,0.555088235294118,64,88,134
"emb_103",1.22296507087692,108,81,80,0.15,FALSE,FALSE,FALSE,FALSE,0.266639705882353,116,106,91
"emb_087",1.22430500508024,124,82,49,0.1,FALSE,FALSE,FALSE,FALSE,0.313033088235294,52,31,18
"emb_049",1.222024703062,92,83.5,49,0.1,FALSE,FALSE,FALSE,FALSE,0.236143382352941,210,82,183
"emb_051",1.23034253015446,181,83.5,144,0.05,FALSE,FALSE,FALSE,FALSE,0.556915441176471,120,51,118
"emb_090",1.22291172586296,107,85,97,0.05,FALSE,FALSE,FALSE,FALSE,0.265025735294118,168,251,103
"emb_070",1.22156687117603,89,87,115.5,0.1,FALSE,FALSE,FALSE,FALSE,0.2225,134,165,240
"emb_072",1.22418202921739,123,87,109,0.05,FALSE,FALSE,FALSE,FALSE,0.3086875,42,119,94
"emb_110",1.20010122416243,5,87,16,0.05,FALSE,FALSE,TRUE,TRUE,0.00301470588235294,271,162,140
"emb_199",1.22657587085148,143,89,131,0.05,FALSE,FALSE,FALSE,FALSE,0.400154411764706,246,243,226
"emb_004",1.22406559313868,119,90.5,52,0.2,FALSE,FALSE,FALSE,FALSE,0.304455882352941,24,18,49
"emb_040",1.22218838101449,95,90.5,101,0.2,FALSE,FALSE,FALSE,FALSE,0.2413125,82,43,122
"emb_073",1.22855372840417,164,92.5,63.5,0.1,FALSE,FALSE,FALSE,FALSE,0.481845588235294,267,203,74
"emb_086",1.21846557261619,59,92.5,137.5,0.05,FALSE,FALSE,FALSE,FALSE,0.142091911764706,253,117,47
"emb_029",1.20348323121962,9,95.5,7.5,0.05,FALSE,FALSE,TRUE,TRUE,0.00696691176470588,26,27,154
"emb_062",1.22158300749163,90,95.5,36,0.05,FALSE,FALSE,FALSE,FALSE,0.222959558823529,133,44,13
"emb_068",1.21938420953715,69,95.5,135,0.1,FALSE,FALSE,FALSE,FALSE,0.163117647058824,191,127,155
"emb_130",1.2234004353683,115,95.5,66,0.15,FALSE,FALSE,FALSE,FALSE,0.280944852941176,170,229,104
"emb_131",1.22962824334856,171,98,135,0.05,FALSE,FALSE,FALSE,FALSE,0.526930147058824,257,258,126
"ttr",1.2152254647944,43,99.5,112.5,0.15,FALSE,FALSE,FALSE,FALSE,0.0827757352941176,10,12,97
"emb_107",1.23104018201165,186,99.5,121,0.1,FALSE,FALSE,FALSE,FALSE,0.585886029411765,107,116,244
"emb_013",1.22245732715608,99,101,101,0.15,FALSE,FALSE,FALSE,FALSE,0.249702205882353,8,4,8
"emb_216",1.21884017448801,62,102,104,0.05,FALSE,FALSE,FALSE,FALSE,0.150547794117647,126,135,252
"emb_095",1.21946403284017,70,103,151,0.05,FALSE,FALSE,FALSE,FALSE,0.164974264705882,113,131,262
"emb_239",1.22932784510077,166,104.5,152.5,0.1,FALSE,FALSE,FALSE,FALSE,0.514441176470588,63,181,224
"emb_251",1.22188279829797,91,104.5,164.5,0,FALSE,FALSE,FALSE,FALSE,0.231867647058824,135,226,57
"emb_058",1.23214374018959,203,106,109,0.1,FALSE,FALSE,FALSE,FALSE,0.631202205882353,53,144,43
"emb_096",1.22247577412785,100,107.5,186,0,FALSE,FALSE,FALSE,FALSE,0.250301470588235,192,101,30
"emb_117",1.22315606639095,111,107.5,112.5,0.2,FALSE,FALSE,FALSE,FALSE,0.272786764705882,146,242,112
"emb_111",1.22328753380442,113,109,146,0.1,FALSE,FALSE,FALSE,FALSE,0.27725,218,222,62
"emb_077",1.23298515501093,209,110.5,137.5,0.05,FALSE,FALSE,FALSE,FALSE,0.664691176470588,39,142,87
"emb_134",1.20316736203635,8,110.5,24,0.1,FALSE,FALSE,TRUE,TRUE,0.00639338235294118,61,5,55
"emb_242",1.22711926701841,148,112,131,0.05,FALSE,FALSE,FALSE,FALSE,0.422066176470588,242,147,156
"emb_067",1.22718528744196,151,113.5,131,0.15,FALSE,FALSE,FALSE,FALSE,0.424805147058824,67,123,36
"emb_247",1.22359035277942,117,113.5,104,0.05,FALSE,FALSE,FALSE,FALSE,0.2876875,238,255,194
"emb_153",1.21979445393162,74,115,158.5,0.1,FALSE,FALSE,FALSE,FALSE,0.173242647058824,193,36,68
"emb_041",1.21701722475053,54,117,128.5,0.1,FALSE,FALSE,FALSE,FALSE,0.112709558823529,44,45,187
"emb_165",1.22024140780362,78,117,133,0.05,FALSE,FALSE,FALSE,FALSE,0.184705882352941,118,87,151
"emb_212",1.20945195642533,19,117,52,0.15,FALSE,FALSE,TRUE,FALSE,0.0266433823529412,213,140,223
"emb_019",1.22755913016646,155,119,126,0.05,FALSE,FALSE,FALSE,FALSE,0.440713235294118,77,206,81
"emb_064",1.22304861402766,110,120,152.5,0.05,FALSE,FALSE,FALSE,FALSE,0.269338235294118,65,188,246
"emb_021",1.21489520817716,41,121.5,56,0.25,FALSE,FALSE,FALSE,FALSE,0.0780661764705882,29,91,152
"emb_022",1.22417502183767,122,121.5,200,0.05,FALSE,FALSE,FALSE,FALSE,0.308404411764706,57,136,185
"emb_252",1.22431956158077,125,123,176,0.15,FALSE,FALSE,FALSE,FALSE,0.313580882352941,151,161,174
