"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_059",1.22466267794267,140,1,3.5,0.1,FALSE,FALSE,FALSE,FALSE,0.429341911764706,60,212,39
"emb_130",1.20407808554793,6,2.5,3.5,0.15,FALSE,FALSE,TRUE,TRUE,0.00811764705882353,142,172,111
"emb_228",1.20403860058611,5,2.5,10,0.2,FALSE,FALSE,TRUE,TRUE,0.00803676470588235,129,96,14
"emb_134",1.21248361034236,32,4,7.5,0.2,FALSE,FALSE,FALSE,FALSE,0.0649007352941176,120,13,3
"hapax_rate",1.20673447756438,9,5,13.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0164558823529412,11,21,10
"emb_103",1.20495097519684,8,6.5,16.5,0.05,FALSE,FALSE,TRUE,FALSE,0.0102757352941176,270,249,16
"emb_246",1.2117296132692,28,6.5,3.5,0.2,FALSE,FALSE,FALSE,FALSE,0.0553970588235294,121,135,5
"gzip_ratio",1.21453940686569,48,8,13.5,0.15,FALSE,FALSE,FALSE,FALSE,0.0977977941176471,6,6,1
"emb_144",1.19711144714083,1,9.5,3.5,0.05,FALSE,FALSE,TRUE,TRUE,0.00101838235294118,105,14,2
"emb_184",1.20470104045996,7,9.5,19.5,0.1,FALSE,FALSE,TRUE,TRUE,0.0095625,138,216,101
"emb_247",1.19824282544737,3,11,10,0.15,FALSE,FALSE,TRUE,TRUE,0.00142647058823529,195,86,19
"emb_149",1.21208601250419,30,13,19.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0595992647058824,70,94,17
"emb_171",1.21007966668679,20,13,33.5,0.15,FALSE,FALSE,TRUE,FALSE,0.038,153,257,51
"emb_177",1.20062574966575,4,13,13.5,0.1,FALSE,FALSE,TRUE,TRUE,0.00293382352941176,100,113,140
"emb_250",1.2076143936541,12,15,25.5,0.2,FALSE,FALSE,TRUE,FALSE,0.020625,30,90,215
"emb_199",1.21024337056213,22,16,23,0.15,FALSE,FALSE,TRUE,FALSE,0.0395845588235294,200,208,131
"ttr",1.21048366361084,23,17,10,0.15,FALSE,FALSE,TRUE,FALSE,0.0418235294117647,10,18,12
"emb_080",1.21166722895203,27,18.5,13.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0545919117647059,198,184,191
"emb_222",1.19717954687944,2,18.5,3.5,0.1,FALSE,FALSE,TRUE,TRUE,0.00104411764705882,143,111,105
"emb_221",1.20949622496898,19,20,58,0.1,FALSE,FALSE,TRUE,FALSE,0.033375,48,27,18
"emb_002",1.22259298862993,122,21.5,3.5,0.25,FALSE,FALSE,FALSE,FALSE,0.342397058823529,5,5,9
"emb_067",1.23028444388546,188,21.5,30.5,0.1,FALSE,FALSE,FALSE,FALSE,0.677360294117647,78,88,44
"emb_032",1.21365849958814,42,23.5,39,0.05,FALSE,FALSE,FALSE,FALSE,0.0825147058823529,26,24,47
"emb_174",1.21250692974334,33,23.5,36,0.15,FALSE,FALSE,FALSE,FALSE,0.0652316176470588,115,99,60
"emb_230",1.22184492559065,106,25,52,0.05,FALSE,FALSE,FALSE,FALSE,0.311783088235294,233,261,180
"len_chars",1.21933845200356,79,26,67.5,0.05,FALSE,FALSE,FALSE,FALSE,0.221047794117647,32,22,8
"emb_178",1.21348372413453,38,27,47,0.05,FALSE,FALSE,FALSE,FALSE,0.0795735294117647,43,37,21
