"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"pc_0988",1.1787598587025,1,3,0,FALSE,TRUE,TRUE
"pc_0881",1.17931392205901,2,4,0.05,FALSE,TRUE,TRUE
"pc_0113",1.1802863344187,3,1,0.1,FALSE,TRUE,TRUE
"pc_0401",1.18078814177205,4,91,0.05,FALSE,TRUE,TRUE
"pc_0215",1.18146032886791,5,8,0.05,FALSE,TRUE,TRUE
"pc_0851",1.18187533753351,6,19.5,0.05,FALSE,TRUE,TRUE
"pc_0642",1.18269349875338,7,167,0.05,FALSE,TRUE,TRUE
"pc_0012",1.18330877249641,8,5.5,0.1,FALSE,TRUE,TRUE
"pc_0673",1.18340576416044,9,16.5,0,FALSE,TRUE,TRUE
"pc_0811",1.18367535711772,10,255.5,0,FALSE,TRUE,TRUE
"pc_0183",1.18427862541986,11,35,0.05,FALSE,TRUE,TRUE
"pc_0591",1.18497769358536,12,150.5,0,FALSE,TRUE,TRUE
"pc_0020",1.18537062470427,13,34,0,FALSE,TRUE,FALSE
"pc_0584",1.18549389486605,14,115,0,FALSE,TRUE,FALSE
"pc_0839",1.18587620452153,15,79.5,0.05,FALSE,TRUE,FALSE
"pc_0341",1.18607682176483,16,56.5,0.05,FALSE,TRUE,FALSE
"pc_0454",1.18660519183742,17,89.5,0,FALSE,TRUE,FALSE
"pc_0904",1.18687509879274,18,184.5,0,FALSE,TRUE,FALSE
"pc_0540",1.18698889760323,19,22,0.05,FALSE,TRUE,FALSE
"pc_0630",1.18699391294282,20,21,0.05,FALSE,TRUE,FALSE
"pc_0762",1.18714963207318,21,186,0,FALSE,TRUE,FALSE
"pc_0569",1.18717316615786,22,101.5,0.05,FALSE,TRUE,FALSE
"pc_0574",1.18729738089205,23,219.5,0,FALSE,TRUE,FALSE
"pc_0326",1.18743338391385,24,14,0,FALSE,TRUE,FALSE
"pc_0004",1.18745247257024,25,480,0.05,FALSE,TRUE,FALSE
"pc_0428",1.18748420558866,26,32,0.05,FALSE,TRUE,FALSE
"pc_0382",1.18748907302136,27,16.5,0,FALSE,TRUE,FALSE
"pc_0147",1.18751757165728,28,117.5,0.1,FALSE,TRUE,FALSE
"pc_0768",1.18752251509614,29,8,0.05,FALSE,TRUE,FALSE
"pc_0652",1.18752320531835,30,29,0,FALSE,TRUE,FALSE
"pc_0911",1.18752919984278,31,37,0.1,FALSE,TRUE,FALSE
"pc_0440",1.18758172690349,32,30.5,0,FALSE,TRUE,FALSE
"pc_0819",1.18768647919186,33,8,0,FALSE,TRUE,FALSE
"pc_0919",1.18780329169087,34,231.5,0,FALSE,TRUE,FALSE
"pc_0287",1.1878847588056,35,202,0,FALSE,TRUE,FALSE
"pc_0342",1.18798391668987,36,187,0,FALSE,TRUE,FALSE
"pc_0981",1.18817198512326,37,50,0.1,FALSE,TRUE,FALSE
"pc_0935",1.18828726062252,38,283,0.1,FALSE,TRUE,FALSE
"pc_0615",1.18831643000468,39,327,0,FALSE,TRUE,FALSE
"pc_0637",1.18832032580344,40,127,0,FALSE,TRUE,FALSE
"pc_0550",1.18842697690104,41,41,0.05,FALSE,TRUE,FALSE
"pc_0464",1.18850554230902,42,25,0.05,FALSE,TRUE,FALSE
"pc_0513",1.18855612277994,43,226.5,0,FALSE,TRUE,FALSE
"pc_0399",1.18876081322006,44,28,0.05,FALSE,TRUE,FALSE
"pc_0110",1.18901653847381,45,160.5,0,FALSE,TRUE,FALSE
"pc_0817",1.18911615196981,46,107,0,FALSE,TRUE,FALSE
"pc_0967",1.18925079958547,47,47,0.1,FALSE,TRUE,FALSE
"pc_0901",1.18939262157247,48,64,0.15,FALSE,TRUE,FALSE
"pc_0384",1.18940962153651,49,24,0,FALSE,TRUE,FALSE
"pc_0516",1.18941450578262,50,276.5,0.1,FALSE,TRUE,FALSE
"pc_0837",1.18951707232373,51,79.5,0,FALSE,TRUE,FALSE
"pc_0299",1.18959875613782,52,45,0.1,FALSE,TRUE,FALSE
"pc_0240",1.18965082486613,53,72,0,FALSE,TRUE,FALSE
"pc_0048",1.18980237241481,54,26,0.05,FALSE,TRUE,FALSE
"pc_0861",1.18981212393362,55,30.5,0,FALSE,TRUE,FALSE
"pc_0117",1.18990763041866,56,62,0,FALSE,TRUE,FALSE
"pc_0129",1.1899482059485,57,119,0,FALSE,TRUE,FALSE
"pc_0926",1.1900871324702,58,38,0,FALSE,TRUE,FALSE
"pc_0796",1.19023251128855,59,89.5,0.1,FALSE,FALSE,FALSE
"pc_0336",1.19023540856007,60,47,0.05,FALSE,FALSE,FALSE
"pc_0016",1.19026494630477,61,105.5,0,FALSE,FALSE,FALSE
"pc_0278",1.19033588427181,62,283,0,FALSE,FALSE,FALSE
"pc_0705",1.19041188554347,63,10.5,0.05,FALSE,FALSE,FALSE
"pc_0218",1.19042502949618,64,116,0.1,FALSE,FALSE,FALSE
"pc_0594",1.19045704383317,65,67,0,FALSE,FALSE,FALSE
"pc_0251",1.19054935977766,66,134.5,0,FALSE,FALSE,FALSE
"pc_0417",1.1905864775206,67,219.5,0.05,FALSE,FALSE,FALSE
"pc_0690",1.19062551585817,68,148.5,0,FALSE,FALSE,FALSE
"pc_0314",1.19065082571573,69,39.5,0,FALSE,FALSE,FALSE
"pc_0840",1.19065760700976,70,18,0.05,FALSE,FALSE,FALSE
"pc_0575",1.1906857675379,71,87.5,0,FALSE,FALSE,FALSE
"pc_0533",1.19068782127879,72,2,0,FALSE,FALSE,FALSE
"pc_0863",1.19069820185157,73,388.5,0.05,FALSE,FALSE,FALSE
"pc_0892",1.19071763795613,74,260,0.05,FALSE,FALSE,FALSE
"pc_0219",1.19094216335677,75,139.5,0.05,FALSE,FALSE,FALSE
"pc_0993",1.19101557911984,76,49,0,FALSE,FALSE,FALSE
"pc_0854",1.19108354977626,77,52,0.05,FALSE,FALSE,FALSE
"pc_0592",1.19142074378987,78,122.5,0,FALSE,FALSE,FALSE
"pc_0233",1.19145834767439,79,180,0.05,FALSE,FALSE,FALSE
"pc_0370",1.19146266670231,80,10.5,0,FALSE,FALSE,FALSE
"pc_1018",1.19148166249338,81,165,0,FALSE,FALSE,FALSE
"pc_0268",1.19150576884684,82,225,0.05,FALSE,FALSE,FALSE
"pc_0946",1.19152970618687,83,145.5,0,FALSE,FALSE,FALSE
"pc_0786",1.19157724111653,84,358.5,0,FALSE,FALSE,FALSE
"pc_0443",1.19166726759322,85,288,0,FALSE,FALSE,FALSE
"pc_0208",1.19169860033185,86,182.5,0.1,FALSE,FALSE,FALSE
"pc_0292",1.19170352871586,87,69.5,0,FALSE,FALSE,FALSE
"pc_0737",1.19175724748318,88,76.5,0.05,FALSE,FALSE,FALSE
"pc_0707",1.19178916224954,89,228.5,0,FALSE,FALSE,FALSE
"pc_0735",1.19190952726908,90,61,0,FALSE,FALSE,FALSE
"pc_0916",1.19191516668932,91,250,0.05,FALSE,FALSE,FALSE
"pc_0633",1.19193274132914,92,63,0,FALSE,FALSE,FALSE
"pc_0672",1.1919780750769,93,556,0,FALSE,FALSE,FALSE
"pc_0047",1.19202096683026,94,356,0,FALSE,FALSE,FALSE
"pc_0338",1.19211997365011,95,47,0.05,FALSE,FALSE,FALSE
"pc_0131",1.19212093159029,96,67,0.05,FALSE,FALSE,FALSE
"pc_0379",1.19213546923897,97,42.5,0,FALSE,FALSE,FALSE
"pc_0805",1.19219892987429,98,202,0,FALSE,FALSE,FALSE
"pc_0265",1.19230410068724,99,204.5,0,FALSE,FALSE,FALSE
"pc_0450",1.19232138236418,100,97.5,0,FALSE,FALSE,FALSE
"pc_0746",1.19233008055994,101,93,0.05,FALSE,FALSE,FALSE
"pc_0360",1.19234601857927,102,120.5,0,FALSE,FALSE,FALSE
"pc_0502",1.19234723010979,103,85,0,FALSE,FALSE,FALSE
"pc_0402",1.1924558734619,104,529,0.05,FALSE,FALSE,FALSE
"pc_0781",1.19261183815221,105,226.5,0,FALSE,FALSE,FALSE
"pc_0942",1.19275087802094,106,285.5,0,FALSE,FALSE,FALSE
"pc_0818",1.19276228182121,107,345.5,0,FALSE,FALSE,FALSE
"pc_0828",1.19276332505807,108,74,0,FALSE,FALSE,FALSE
"pc_0902",1.19278426611458,109,75,0,FALSE,FALSE,FALSE
"pc_0282",1.1928189612063,110,130,0.05,FALSE,FALSE,FALSE
"pc_0634",1.1928369452847,111,522,0.05,FALSE,FALSE,FALSE
"pc_0300",1.19285114951403,112,702,0,FALSE,FALSE,FALSE
"pc_0277",1.19288303263914,113,52,0,FALSE,FALSE,FALSE
"pc_0624",1.19302418932437,114,15,0.05,FALSE,FALSE,FALSE
"pc_0469",1.1930289260669,115,154,0,FALSE,FALSE,FALSE
"pc_0118",1.19331044495615,116,42.5,0,FALSE,FALSE,FALSE
"pc_0923",1.19332776128433,117,336,0.05,FALSE,FALSE,FALSE
"pc_0761",1.19334553890602,118,5.5,0,FALSE,FALSE,FALSE
"pc_0334",1.19335670281564,119,86,0,FALSE,FALSE,FALSE
"pc_0453",1.19336389654982,120,71,0.1,FALSE,FALSE,FALSE
"pc_0387",1.1933864532919,121,87.5,0,FALSE,FALSE,FALSE
"pc_0264",1.1934274537454,122,160.5,0,FALSE,FALSE,FALSE
"pc_0109",1.19345831368742,123,199,0.05,FALSE,FALSE,FALSE
"pc_0710",1.19345904645532,124,81,0,FALSE,FALSE,FALSE
"pc_0823",1.19347897733953,125,386,0,FALSE,FALSE,FALSE
"pc_0141",1.1934930783375,126,217.5,0,FALSE,FALSE,FALSE
"pc_0951",1.19361282200472,127,170,0,FALSE,FALSE,FALSE
"pc_0773",1.19361448241225,128,110,0,FALSE,FALSE,FALSE
"pc_0441",1.19373028948842,129,650.5,0.05,FALSE,FALSE,FALSE
"pc_0477",1.19377261883719,130,82,0.15,FALSE,FALSE,FALSE
"pc_0859",1.19380128131726,131,162,0.05,FALSE,FALSE,FALSE
"pc_0815",1.19380962222393,132,192.5,0,FALSE,FALSE,FALSE
"pc_0943",1.19381977702102,133,142.5,0.05,FALSE,FALSE,FALSE
"pc_0701",1.19383408974313,134,95.5,0,FALSE,FALSE,FALSE
"pc_0124",1.1938351821374,135,103,0.05,FALSE,FALSE,FALSE
"pc_0007",1.1939493134865,136,831,0.05,FALSE,FALSE,FALSE
"pc_0771",1.19399482338358,137,128.5,0.05,FALSE,FALSE,FALSE
"pc_0140",1.19400186612325,138,159,0.05,FALSE,FALSE,FALSE
"pc_0248",1.19400472645449,139,19.5,0,FALSE,FALSE,FALSE
"pc_0683",1.19407377139716,140,279,0,FALSE,FALSE,FALSE
"pc_0719",1.19407477491008,141,428.5,0,FALSE,FALSE,FALSE
"pc_0456",1.19407881803873,142,319,0,FALSE,FALSE,FALSE
"pc_0403",1.19409805505174,143,236,0,FALSE,FALSE,FALSE
"pc_0721",1.194121776011,144,27,0.05,FALSE,FALSE,FALSE
"pc_0953",1.19412227132315,145,111.5,0,FALSE,FALSE,FALSE
"pc_0185",1.19413436059591,146,750.5,0,FALSE,FALSE,FALSE
"pc_0434",1.19417814595194,147,138,0,FALSE,FALSE,FALSE
"pc_0932",1.19418271634286,148,44,0,FALSE,FALSE,FALSE
"pc_0283",1.19419087575131,149,167,0,FALSE,FALSE,FALSE
"pc_0267",1.19422657281136,150,231.5,0,FALSE,FALSE,FALSE
"pc_0339",1.19423054972347,151,12.5,0.1,FALSE,FALSE,FALSE
"pc_0507",1.19432965617195,152,376.5,0.05,FALSE,FALSE,FALSE
"pc_0581",1.19436598680864,153,249,0.05,FALSE,FALSE,FALSE
"pc_0317",1.19436674488682,154,210,0,FALSE,FALSE,FALSE
"pc_0521",1.19440397602688,155,76.5,0,FALSE,FALSE,FALSE
"pc_0474",1.19440584512986,156,728,0,FALSE,FALSE,FALSE
"pc_0681",1.19441766652884,157,124,0,FALSE,FALSE,FALSE
