"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"h12_0165",1.17537366903689,1,57,0,FALSE,TRUE,TRUE
"h12_0792",1.17684310188075,2,3,0.1,FALSE,TRUE,TRUE
"h12_0596",1.1788283494297,3,1,0.1,FALSE,TRUE,TRUE
"h12_0093",1.18175804582042,4,132.5,0.05,FALSE,TRUE,TRUE
"h12_0000",1.18258113496212,5,71.5,0,FALSE,TRUE,TRUE
"h12_0942",1.18293775681174,6,13.5,0.05,FALSE,TRUE,TRUE
"h12_0578",1.18321318666692,7,169.5,0,FALSE,TRUE,TRUE
"h12_0357",1.18359031116207,8,5.5,0.05,FALSE,TRUE,TRUE
"h12_0190",1.18363499345823,9,2,0.05,FALSE,TRUE,TRUE
"h12_0805",1.18427454548503,10,5.5,0,FALSE,TRUE,TRUE
"h12_0971",1.184412584296,11,11.5,0.1,FALSE,TRUE,TRUE
"h12_0510",1.18442473890858,12,50.5,0.1,FALSE,TRUE,TRUE
"h12_0594",1.18489715835351,13,144,0,FALSE,TRUE,TRUE
"h12_0265",1.18490616939265,14,10,0,FALSE,TRUE,TRUE
"h12_0935",1.18512315716519,15,13.5,0,FALSE,TRUE,TRUE
"h12_0461",1.18549264857493,16,108.5,0.05,FALSE,TRUE,FALSE
"h12_0996",1.18560906250574,17,98,0.05,FALSE,TRUE,FALSE
"h12_0901",1.18581288087931,18,15.5,0,FALSE,TRUE,FALSE
"h12_0045",1.18592969342107,19,32,0.05,FALSE,TRUE,FALSE
"h12_0842",1.18607019895954,20,53,0.05,FALSE,TRUE,FALSE
"h12_0369",1.18609593516197,21,30.5,0,FALSE,TRUE,FALSE
"h12_0178",1.18636439171369,22,11.5,0,FALSE,TRUE,FALSE
"h12_0527",1.18659670153647,23,292,0.05,FALSE,TRUE,FALSE
"h12_0980",1.18662866512624,24,23.5,0,FALSE,TRUE,FALSE
"h12_0703",1.18668874205563,25,9,0,FALSE,TRUE,FALSE
"h12_0599",1.18680760929216,26,26,0.05,FALSE,TRUE,FALSE
"h12_0999",1.18694270007204,27,82.5,0,FALSE,TRUE,FALSE
"h12_0725",1.18725605835028,28,29,0,FALSE,TRUE,FALSE
"h12_0019",1.18729009602134,29,67.5,0.05,FALSE,TRUE,FALSE
"h12_0764",1.18736048027091,30,234.5,0.05,FALSE,TRUE,FALSE
"h12_0540",1.18737448094072,31,95.5,0.05,FALSE,TRUE,FALSE
"h12_0073",1.1874126494856,32,18.5,0.05,FALSE,TRUE,FALSE
"h12_0990",1.1874694962666,33,319.5,0,FALSE,TRUE,FALSE
"h12_0375",1.18748129376185,34,20.5,0,FALSE,TRUE,FALSE
"h12_0148",1.18750049915358,35,41,0.05,FALSE,TRUE,FALSE
"h12_0388",1.18754909209451,36,86,0.05,FALSE,TRUE,FALSE
"h12_0746",1.18758419916125,37,367,0.1,FALSE,TRUE,FALSE
"h12_1022",1.1877037480381,38,91,0.05,FALSE,TRUE,FALSE
"h12_0955",1.18775591825715,39,179.5,0.1,FALSE,TRUE,FALSE
"h12_0032",1.18778723238604,40,148.5,0,FALSE,TRUE,FALSE
"h12_0643",1.18793288516778,41,20.5,0.05,FALSE,TRUE,FALSE
"h12_0328",1.18803883924051,42,22,0,FALSE,TRUE,FALSE
"h12_0863",1.18807206810141,43,17,0.05,FALSE,TRUE,FALSE
"h12_0361",1.18837801290141,44,114,0.05,FALSE,TRUE,FALSE
"h12_0382",1.18842411047883,45,58,0.05,FALSE,TRUE,FALSE
"h12_0900",1.18849906116673,46,402.5,0.05,FALSE,TRUE,FALSE
"h12_0854",1.18854049008933,47,48,0.05,FALSE,TRUE,FALSE
"h12_0921",1.18863776583138,48,126,0.15,FALSE,TRUE,FALSE
"h12_0821",1.18867905678061,49,4,0.1,FALSE,TRUE,FALSE
"h12_0982",1.18868833957578,50,18.5,0.05,FALSE,TRUE,FALSE
"h12_0888",1.18871685630767,51,91,0,FALSE,TRUE,FALSE
"h12_0241",1.18887196388214,52,62,0.1,FALSE,TRUE,FALSE
"h12_0366",1.18896608030246,53,45.5,0,FALSE,TRUE,FALSE
"h12_0377",1.1890402164319,54,322.5,0.05,FALSE,TRUE,FALSE
"h12_0490",1.18912517117447,55,93.5,0,FALSE,TRUE,FALSE
"h12_0537",1.18917533737779,56,34.5,0.05,FALSE,TRUE,FALSE
"h12_0602",1.18927082041549,57,116,0.05,FALSE,TRUE,FALSE
"h12_0796",1.18937177212171,58,156.5,0.1,FALSE,TRUE,FALSE
"h12_0716",1.18940328970708,59,36,0.05,FALSE,TRUE,FALSE
"h12_0824",1.18942254052147,60,81,0.05,FALSE,TRUE,FALSE
"h12_0276",1.18960616415014,61,427.5,0.1,FALSE,TRUE,FALSE
"h12_0309",1.19002293299729,62,76,0,FALSE,TRUE,FALSE
"h12_0551",1.19020574002423,63,30.5,0.1,FALSE,FALSE,FALSE
"h12_0636",1.19024378371411,64,205.5,0,FALSE,FALSE,FALSE
"h12_0476",1.19033372677975,65,52,0,FALSE,FALSE,FALSE
"h12_0331",1.19034674427125,66,7,0,FALSE,FALSE,FALSE
"h12_0473",1.19043371654644,67,472,0.05,FALSE,FALSE,FALSE
"h12_0355",1.19051628866282,68,201.5,0,FALSE,FALSE,FALSE
"h12_0334",1.19052598778963,69,39,0.1,FALSE,FALSE,FALSE
"h12_0769",1.19052657824671,70,71.5,0.05,FALSE,FALSE,FALSE
"h12_0179",1.19060148429323,71,469.5,0,FALSE,FALSE,FALSE
"h12_0151",1.19067079753712,72,538,0,FALSE,FALSE,FALSE
"h12_0149",1.19079924943726,73,43,0.1,FALSE,FALSE,FALSE
"h12_0434",1.19087605287024,74,526.5,0,FALSE,FALSE,FALSE
"h12_0292",1.19088925495128,75,345,0,FALSE,FALSE,FALSE
"h12_0685",1.19090654202585,76,37,0.1,FALSE,FALSE,FALSE
"h12_0293",1.19093901260571,77,54,0,FALSE,FALSE,FALSE
"h12_0584",1.19100995027532,78,130,0,FALSE,FALSE,FALSE
"h12_0591",1.19101916589491,79,441,0.05,FALSE,FALSE,FALSE
"h12_0576",1.19111762952723,80,252.5,0,FALSE,FALSE,FALSE
"h12_0799",1.19113969276402,81,349,0.1,FALSE,FALSE,FALSE
"h12_0146",1.19123023774008,82,56,0,FALSE,FALSE,FALSE
"h12_0890",1.19132547165573,83,127.5,0,FALSE,FALSE,FALSE
"h12_0264",1.19137273133694,84,715,0.05,FALSE,FALSE,FALSE
"h12_0395",1.19142236800183,85,135,0.05,FALSE,FALSE,FALSE
"h12_0802",1.19146150135605,86,433,0.05,FALSE,FALSE,FALSE
"h12_0442",1.19151997377618,87,275.5,0.05,FALSE,FALSE,FALSE
"h12_0514",1.19152535869998,88,27,0,FALSE,FALSE,FALSE
"h12_0970",1.1915658486104,89,59,0.1,FALSE,FALSE,FALSE
"h12_0601",1.19168719145683,90,205.5,0.05,FALSE,FALSE,FALSE
"h12_0763",1.19169279552246,91,274,0.05,FALSE,FALSE,FALSE
"h12_0160",1.19184821827205,92,48,0,FALSE,FALSE,FALSE
"h12_0207",1.19191074599257,93,312.5,0.1,FALSE,FALSE,FALSE
"h12_0174",1.19200784256031,94,250,0,FALSE,FALSE,FALSE
"h12_0871",1.19201207304401,95,138.5,0,FALSE,FALSE,FALSE
"h12_0177",1.19209249329251,96,38,0,FALSE,FALSE,FALSE
"h12_0204",1.19217144455752,97,121.5,0,FALSE,FALSE,FALSE
"h12_0525",1.19218325262175,98,64.5,0.05,FALSE,FALSE,FALSE
"h12_0577",1.19218390728122,99,45.5,0.05,FALSE,FALSE,FALSE
"h12_0786",1.19219526532378,100,445.5,0.05,FALSE,FALSE,FALSE
"h12_0414",1.19221557576403,101,114,0.05,FALSE,FALSE,FALSE
"h12_0305",1.19222620559509,102,423.5,0,FALSE,FALSE,FALSE
"h12_0053",1.19223760962089,103,74,0.05,FALSE,FALSE,FALSE
"h12_0433",1.19235210309278,104,121.5,0,FALSE,FALSE,FALSE
"h12_0226",1.19236921412574,105,80,0.05,FALSE,FALSE,FALSE
"h12_0610",1.19246621056306,106,66,0.05,FALSE,FALSE,FALSE
"h12_0795",1.19251050664265,107,493,0.1,FALSE,FALSE,FALSE
"h12_0286",1.19253443698151,108,241,0.05,FALSE,FALSE,FALSE
"h12_0158",1.19254509739594,109,44,0,FALSE,FALSE,FALSE
"h12_0873",1.19257283485174,110,391,0.05,FALSE,FALSE,FALSE
"h12_0503",1.19257981022929,111,225,0.1,FALSE,FALSE,FALSE
"h12_0232",1.19258209969984,112,201.5,0.1,FALSE,FALSE,FALSE
"h12_0615",1.19261517834185,113,61,0.05,FALSE,FALSE,FALSE
"h12_0954",1.19262696177935,114,361.5,0,FALSE,FALSE,FALSE
"h12_0533",1.19273815003426,115,290.5,0,FALSE,FALSE,FALSE
