"b","a","M1","M2","M3","M4","mean"
0,0.25,0.04,0.245,0.01,0.1,0.09875
0.05,0.25,0.095,0.475,0.05,0.2,0.205
0.1,0.25,0.11,0.545,0.085,0.25,0.2475
0.15,0.25,0.085,0.595,0.08,0.225,0.24625
0.2,0.25,0.055,0.54,0.055,0.125,0.19375
0.3,0.25,0.025,0.435,0.015,0.055,0.1325
0.4,0.25,0.005,0.275,0,0.01,0.0725
0,0.3,0.695,0.4,0.17,0.515,0.445
0.05,0.3,0.89,0.625,0.45,0.815,0.695
0.1,0.3,0.94,0.72,0.575,0.905,0.785
0.15,0.3,0.965,0.71,0.585,0.925,0.79625
0.2,0.3,0.945,0.7,0.535,0.905,0.77125
0.3,0.3,0.81,0.57,0.32,0.825,0.63125
0.4,0.3,0.56,0.41,0.145,0.585,0.425
0,0.35,0.63,0.4,0.13,0.495,0.41375
0.05,0.35,0.91,0.645,0.315,0.775,0.66125
0.1,0.35,0.96,0.755,0.42,0.86,0.74875
0.15,0.35,0.965,0.76,0.455,0.88,0.765
0.2,0.35,0.93,0.74,0.375,0.88,0.73125
0.3,0.35,0.89,0.6,0.32,0.79,0.65
0.4,0.35,0.685,0.425,0.105,0.645,0.465
0,0.4,0.54,0.345,0.105,0.375,0.34125
0.05,0.4,0.825,0.62,0.275,0.68,0.6
0.1,0.4,0.875,0.675,0.29,0.76,0.65
0.15,0.4,0.89,0.69,0.255,0.8,0.65875
0.2,0.4,0.855,0.665,0.2,0.76,0.62
0.3,0.4,0.735,0.505,0.09,0.61,0.485
0.4,0.4,0.555,0.32,0.025,0.41,0.3275
0,0.45,0.345,0.3,0.05,0.265,0.24
0.05,0.45,0.635,0.535,0.13,0.505,0.45125
0.1,0.45,0.72,0.585,0.13,0.655,0.5225
0.15,0.45,0.72,0.565,0.115,0.6,0.5
0.2,0.45,0.735,0.505,0.115,0.555,0.4775
0.3,0.45,0.52,0.35,0.025,0.33,0.30625
0.4,0.45,0.38,0.27,0.015,0.26,0.23125
0,0.5,0.275,0.255,0.025,0.125,0.17
0.05,0.5,0.505,0.41,0.055,0.31,0.32
0.1,0.5,0.585,0.45,0.04,0.4,0.36875
0.15,0.5,0.57,0.44,0.04,0.395,0.36125
0.2,0.5,0.495,0.38,0.03,0.355,0.315
0.3,0.5,0.33,0.2,0.015,0.18,0.18125
0.4,0.5,0.195,0.115,0.005,0.115,0.1075
