"model","a","b","sure20"
"A1",0.25,0,0.04
"A2",0.25,0,0.015
"A3",0.25,0,0.08
"B1",0.25,0,0.235
"A1",0.3,0,0.665
"A2",0.3,0,0.155
"A3",0.3,0,0.54
"B1",0.3,0,0.315
"A1",0.35,0,0.625
"A2",0.35,0,0.15
"A3",0.35,0,0.5
"B1",0.35,0,0.345
"A1",0.4,0,0.52
"A2",0.4,0,0.065
"A3",0.4,0,0.42
"B1",0.4,0,0.31
"A1",0.45,0,0.41
"A2",0.45,0,0.06
"A3",0.45,0,0.205
"B1",0.45,0,0.23
"A1",0.5,0,0.27
"A2",0.5,0,0.035
"A3",0.5,0,0.165
"B1",0.5,0,0.19
"A1",0.25,0.05,0.105
"A2",0.25,0.05,0.035
"A3",0.25,0.05,0.205
"B1",0.25,0.05,0.495
"A1",0.3,0.05,0.9
"A2",0.3,0.05,0.395
"A3",0.3,0.05,0.87
"B1",0.3,0.05,0.585
"A1",0.35,0.05,0.875
"A2",0.35,0.05,0.38
"A3",0.35,0.05,0.765
"B1",0.35,0.05,0.58
"A1",0.4,0.05,0.785
"A2",0.4,0.05,0.195
"A3",0.4,0.05,0.705
"B1",0.4,0.05,0.62
"A1",0.45,0.05,0.67
"A2",0.45,0.05,0.13
"A3",0.45,0.05,0.52
"B1",0.45,0.05,0.46
"A1",0.5,0.05,0.465
"A2",0.5,0.05,0.075
"A3",0.5,0.05,0.335
"B1",0.5,0.05,0.355
"A1",0.25,0.1,0.125
"A2",0.25,0.1,0.08
"A3",0.25,0.1,0.225
"B1",0.25,0.1,0.56
"A1",0.3,0.1,0.955
"A2",0.3,0.1,0.515
"A3",0.3,0.1,0.945
"B1",0.3,0.1,0.675
"A1",0.35,0.1,0.945
"A2",0.35,0.1,0.505
"A3",0.35,0.1,0.855
"B1",0.35,0.1,0.72
"A1",0.4,0.1,0.895
"A2",0.4,0.1,0.26
"A3",0.4,0.1,0.81
"B1",0.4,0.1,0.685
"A1",0.45,0.1,0.775
"A2",0.45,0.1,0.13
"A3",0.45,0.1,0.6
"B1",0.45,0.1,0.545
"A1",0.5,0.1,0.57
"A2",0.5,0.1,0.08
"A3",0.5,0.1,0.37
"B1",0.5,0.1,0.405
"A1",0.25,0.15,0.105
"A2",0.25,0.15,0.065
"A3",0.25,0.15,0.175
"B1",0.25,0.15,0.58
"A1",0.3,0.15,0.935
"A2",0.3,0.15,0.555
"A3",0.3,0.15,0.955
"B1",0.3,0.15,0.675
"A1",0.35,0.15,0.96
"A2",0.35,0.15,0.475
"A3",0.35,0.15,0.885
"B1",0.35,0.15,0.73
"A1",0.4,0.15,0.89
"A2",0.4,0.15,0.215
"A3",0.4,0.15,0.825
"B1",0.4,0.15,0.67
"A1",0.45,0.15,0.725
"A2",0.45,0.15,0.12
"A3",0.45,0.15,0.625
"B1",0.45,0.15,0.52
"A1",0.5,0.15,0.54
"A2",0.5,0.15,0.065
"A3",0.5,0.15,0.355
"B1",0.5,0.15,0.41
"A1",0.25,0.2,0.06
"A2",0.25,0.2,0.03
"A3",0.25,0.2,0.135
"B1",0.25,0.2,0.545
"A1",0.3,0.2,0.935
"A2",0.3,0.2,0.48
"A3",0.3,0.2,0.935
"B1",0.3,0.2,0.635
"A1",0.35,0.2,0.94
"A2",0.35,0.2,0.36
"A3",0.35,0.2,0.87
"B1",0.35,0.2,0.7
"A1",0.4,0.2,0.865
"A2",0.4,0.2,0.18
"A3",0.4,0.2,0.77
"B1",0.4,0.2,0.645
"A1",0.45,0.2,0.735
"A2",0.45,0.2,0.09
"A3",0.45,0.2,0.585
"B1",0.45,0.2,0.485
"A1",0.5,0.2,0.47
"A2",0.5,0.2,0.03
"A3",0.5,0.2,0.29
"B1",0.5,0.2,0.35
"A1",0.25,0.3,0.015
"A2",0.25,0.3,0.03
"A3",0.25,0.3,0.03
"B1",0.25,0.3,0.395
"A1",0.3,0.3,0.835
"A2",0.3,0.3,0.3
"A3",0.3,0.3,0.825
"B1",0.3,0.3,0.475
"A1",0.35,0.3,0.89
"A2",0.35,0.3,0.23
"A3",0.35,0.3,0.785
"B1",0.35,0.3,0.585
"A1",0.4,0.3,0.74
"A2",0.4,0.3,0.08
"A3",0.4,0.3,0.63
"B1",0.4,0.3,0.485
"A1",0.45,0.3,0.55
"A2",0.45,0.3,0.02
"A3",0.45,0.3,0.36
"B1",0.45,0.3,0.36
"A1",0.5,0.3,0.29
"A2",0.5,0.3,0.01
"A3",0.5,0.3,0.165
"B1",0.5,0.3,0.16
"A1",0.25,0.4,0.005
"A2",0.25,0.4,0
"A3",0.25,0.4,0.005
"B1",0.25,0.4,0.28
"A1",0.3,0.4,0.57
"A2",0.3,0.4,0.12
"A3",0.3,0.4,0.53
"B1",0.3,0.4,0.38
"A1",0.35,0.4,0.705
"A2",0.35,0.4,0.1
"A3",0.35,0.4,0.625
"B1",0.35,0.4,0.37
"A1",0.4,0.4,0.57
"A2",0.4,0.4,0.04
"A3",0.4,0.4,0.425
"B1",0.4,0.4,0.3
"A1",0.45,0.4,0.44
"A2",0.45,0.4,0.015
"A3",0.45,0.4,0.24
"B1",0.45,0.4,0.205
"A1",0.5,0.4,0.215
"A2",0.5,0.4,0.01
"A3",0.5,0.4,0.075
"B1",0.5,0.4,0.075
