"n","rep","a","alpha","two_nah","agg_worst","sel_worst","agg_hits","sel_hits","comp_worst"
1000,1,0.15,0.354813389233575,125.892541179417,144,154,1,1,126
1000,1,0.2,0.251188643150958,89.1250938133745,83,123,1,1,126
1000,1,0.25,0.177827941003892,63.0957344480193,87,62,1,1,126
1000,1,0.3,0.125892541179417,44.6683592150963,72,64,1,1,126
1000,1,0.35,0.0891250938133746,31.6227766016838,90,111,1,1,126
1000,1,0.4,0.0630957344480193,22.3872113856834,100,114,1,1,126
1000,2,0.15,0.354813389233575,125.892541179417,8,57,2,1,4
1000,2,0.2,0.251188643150958,89.1250938133745,8,5,2,2,4
1000,2,0.25,0.177827941003892,63.0957344480193,8,8,2,2,4
1000,2,0.3,0.125892541179417,44.6683592150963,12,7,1,2,4
1000,2,0.35,0.0891250938133746,31.6227766016838,11,21,1,1,4
1000,2,0.4,0.0630957344480193,22.3872113856834,14,8,1,2,4
1000,3,0.15,0.354813389233575,125.892541179417,35,36,1,1,60
1000,3,0.2,0.251188643150958,89.1250938133745,5,16,2,1,60
1000,3,0.25,0.177827941003892,63.0957344480193,5,3,2,2,60
1000,3,0.3,0.125892541179417,44.6683592150963,5,9,2,2,60
1000,3,0.35,0.0891250938133746,31.6227766016838,25,29,1,1,60
1000,3,0.4,0.0630957344480193,22.3872113856834,67,133,1,1,60
1000,4,0.15,0.354813389233575,125.892541179417,35,16,1,1,3
1000,4,0.2,0.251188643150958,89.1250938133745,35,17,1,1,3
1000,4,0.25,0.177827941003892,63.0957344480193,51,22,1,1,3
1000,4,0.3,0.125892541179417,44.6683592150963,60,98,1,1,3
1000,4,0.35,0.0891250938133746,31.6227766016838,22,116,1,1,3
1000,4,0.4,0.0630957344480193,22.3872113856834,5,9,2,2,3
1000,5,0.15,0.354813389233575,125.892541179417,4,3,2,2,5
1000,5,0.2,0.251188643150958,89.1250938133745,7,17,2,1,5
1000,5,0.25,0.177827941003892,63.0957344480193,31,12,1,1,5
1000,5,0.3,0.125892541179417,44.6683592150963,43,75,1,1,5
1000,5,0.35,0.0891250938133746,31.6227766016838,66,178,1,1,5
1000,5,0.4,0.0630957344480193,22.3872113856834,64,20,1,1,5
1000,6,0.15,0.354813389233575,125.892541179417,3,8,2,2,20
1000,6,0.2,0.251188643150958,89.1250938133745,25,26,1,1,20
1000,6,0.25,0.177827941003892,63.0957344480193,19,73,1,1,20
1000,6,0.3,0.125892541179417,44.6683592150963,22,7,1,2,20
1000,6,0.35,0.0891250938133746,31.6227766016838,21,139,1,1,20
1000,6,0.4,0.0630957344480193,22.3872113856834,24,87,1,1,20
1000,7,0.15,0.354813389233575,125.892541179417,21,23,1,1,3
1000,7,0.2,0.251188643150958,89.1250938133745,6,9,2,2,3
1000,7,0.25,0.177827941003892,63.0957344480193,6,5,2,2,3
1000,7,0.3,0.125892541179417,44.6683592150963,6,21,2,1,3
1000,7,0.35,0.0891250938133746,31.6227766016838,25,31,1,1,3
1000,7,0.4,0.0630957344480193,22.3872113856834,32,15,1,1,3
1000,8,0.15,0.354813389233575,125.892541179417,39,16,1,1,4
1000,8,0.2,0.251188643150958,89.1250938133745,44,152,1,1,4
1000,8,0.25,0.177827941003892,63.0957344480193,232,251,1,1,4
1000,8,0.3,0.125892541179417,44.6683592150963,71,154,1,1,4
1000,8,0.35,0.0891250938133746,31.6227766016838,29,41,1,1,4
1000,8,0.4,0.0630957344480193,22.3872113856834,7,11,2,1,4
1000,9,0.15,0.354813389233575,125.892541179417,7,5,2,2,3
1000,9,0.2,0.251188643150958,89.1250938133745,4,26,2,1,3
1000,9,0.25,0.177827941003892,63.0957344480193,4,3,2,2,3
1000,9,0.3,0.125892541179417,44.6683592150963,3,3,2,2,3
1000,9,0.35,0.0891250938133746,31.6227766016838,4,3,2,2,3
1000,9,0.4,0.0630957344480193,22.3872113856834,8,24,2,1,3
1000,10,0.15,0.354813389233575,125.892541179417,140,137,1,1,40
1000,10,0.2,0.251188643150958,89.1250938133745,8,142,2,1,40
1000,10,0.25,0.177827941003892,63.0957344480193,8,4,2,2,40
1000,10,0.3,0.125892541179417,44.6683592150963,11,58,1,1,40
1000,10,0.35,0.0891250938133746,31.6227766016838,102,249,1,1,40
1000,10,0.4,0.0630957344480193,22.3872113856834,261,262,1,1,40
1000,11,0.15,0.354813389233575,125.892541179417,157,232,1,1,114
