covariate,sd_inter,p_perm,gmin,gmax
s160m_max,0.256884915625639,0.0,0.8874606895446777,1.4649965438842774
s70m_max,0.20514354288935813,0.0,1.0322688598632812,1.477675018310547
s160m_kurt,0.19063531288633692,0.0,1.1027074432373047,1.5356110076904297
s160m_skew,0.18618937490048906,0.0,1.202812873840332,1.5940440139770509
s160m_q64,0.17293958817781932,0.006,1.1539084854125976,1.5644548034667969
s160m_q88,0.16931264830549422,0.008,1.2212172164916992,1.5933297576904297
s160m_q68,0.16844911984025535,0.008,1.1927405433654785,1.5722437782287597
s160m_q92,0.1678786871373312,0.008,1.1940172157287599,1.5899148292541503
s70m_q30,0.16258449165956296,0.008,1.2149514198303222,1.5303412284851075
s160m_q22,0.16022821548019306,0.008,1.2092842712402343,1.5727771644592285
s160m_bs03,0.16010092530640468,0.008,1.2664042205810546,1.5959629364013672
s70m_fb02,0.15982047119007514,0.01,1.2395657272338867,1.5791805992126464
s160m_q60,0.15905117355382,0.01,1.170916202545166,1.540416015625
s160m_q40,0.15878285548118887,0.01,1.1576698532104492,1.486781177520752
s160m_q24,0.15868174751532133,0.01,1.2321375656127929,1.593667308807373
d70_160_q90,0.15618388378513773,0.014,1.1742247848510743,1.5374269599914552
s160m_q62,0.1544769210986818,0.014,1.173677230834961,1.5465086631774903
s160m_q57,0.15366582368173334,0.014,1.2057810249328613,1.572241569519043
s160m_q66,0.15292432341366705,0.016,1.1964223670959473,1.5352608375549317
s160m_bm05,0.15239281981484995,0.018,1.2330987129211426,1.5676533699035644
s160m_q20,0.15169356356092975,0.018,1.197319923400879,1.5585178298950195
s70m_q42,0.15141529889486358,0.018,1.2660212364196777,1.601044822692871
s70m_bm05,0.1512518612601682,0.018,1.2670324630737304,1.5899967765808105
s70m_q26,0.14990610192519074,0.022,1.2200265693664551,1.5202854537963868
d70_160_bm07,0.14906938612761395,0.022,1.2285048980712892,1.5572365646362305
d70_160_q92,0.1474699752753616,0.024,1.1745243110656738,1.4835226860046387
d70_160_q98,0.14734509757808487,0.024,1.214434543609619,1.5379562683105468
d70_160_q96,0.14717971147838974,0.024,1.156042823791504,1.4743247184753419
s160m_q90,0.14691456450432674,0.024,1.235781551361084,1.5572743492126464
s70m_q44,0.1462173740097088,0.024,1.2605321960449218,1.580126953125
s160m_q94,0.144357293189357,0.026,1.1932241897583007,1.5303446617126464
d70_160_q44,0.1441677954273087,0.026,1.1618510398864745,1.5053305702209472
s70m_q32,0.1437577223626603,0.028,1.2414536819458009,1.505873821258545
s160m_mean,0.14312404363129663,0.028,1.2407053871154785,1.5648366622924805
s160m_q42,0.14266869436962276,0.028,1.167240261077881,1.4836567420959472
d70_160_bs14,0.14256616960864713,0.028,1.2053881149291992,1.53492138671875
s160m_q26,0.1421516639367302,0.03,1.210401351928711,1.5458987274169922
s160m_q38,0.1417478224532865,0.03,1.1763300590515138,1.4817061576843262
s70m_q90,0.1412228792310456,0.03,1.1532701721191407,1.4527338600158692
d70_160_q04,0.14027315660230807,0.03,1.166594841003418,1.5081516571044922
s160m_q28,0.13988923747309298,0.03,1.1874590225219726,1.5062120056152344
s160m_q70,0.13949746559384046,0.03,1.2403770561218261,1.5370061492919922
s160m_q18,0.13931114865429983,0.03,1.1956105728149413,1.5337898902893066
s70m_q54,0.1390576987533585,0.03,1.1893475723266602,1.4936954307556152
s70m_bm03,0.13879850058326976,0.032,1.231381591796875,1.5072804908752442
d70_160_min,0.1379277982245005,0.032,1.1834426612854003,1.5027081298828124
s70m_skew,0.13776833598375057,0.032,1.2046851043701172,1.5185155334472655
s70m_kurt,0.13740057843986547,0.034,1.1848095817565918,1.4836920166015626
s160m_q36,0.13683300231064277,0.034,1.230859115600586,1.5333909721374512
s70m_q92,0.13610145272931914,0.04,1.1478111915588378,1.4627654495239257
s160m_bm03,0.1354697313989601,0.042,1.1878432083129882,1.5151708450317383
s70m_q28,0.13426074697012733,0.042,1.2412428283691406,1.527592384338379
s70m_mean,0.13305998339893926,0.046,1.2578430366516113,1.545869731903076
s160m_q30,0.1324917270418347,0.05,1.2335069274902344,1.5163933372497558
s160m_bm14,0.1316992336180378,0.056,1.2313474464416503,1.5146526947021484
d70_160_bs07,0.1311416438181487,0.062,1.1899987907409668,1.5079050827026368
s70m_q24,0.13109367695710528,0.062,1.252677101135254,1.5437525749206542
s160m_bm15,0.130849572638327,0.062,1.2302552871704102,1.4893994522094727
s160m_q84,0.12947060421907683,0.064,1.2449338035583497,1.5320898818969726
d70_160_bm10,0.12919902297862862,0.066,1.2296647605895996,1.5188261833190917
d70_160_bs11,0.12907561949476712,0.066,1.191406478881836,1.500116928100586
s160m_q82,0.12896413150065691,0.068,1.2392272109985352,1.5271635475158691
d70_160_q32,0.12715386165550474,0.072,1.1704636726379394,1.453428092956543
d70_160_q02,0.12694316510961884,0.072,1.1599117393493652,1.4380922927856445
s160m_q10,0.12672874502136164,0.074,1.1911916198730468,1.4686187744140624
s160m_q86,0.12652225847021345,0.076,1.242675319671631,1.5291647338867187
s70m_q56,0.12629519813716783,0.076,1.2050061874389648,1.4602957344055176
s70m_q46,0.1261535153861902,0.076,1.2756807403564454,1.5450106544494628
d70_160_q82,0.12615058047817604,0.076,1.2223310546875,1.4744514923095704
s70m_q22,0.12582550791824065,0.078,1.248870376586914,1.4836164779663086
s160m_q44,0.1247635193693037,0.078,1.2074535598754883,1.4989014320373535
s160m_q46,0.12448686683656929,0.078,1.2132155685424804,1.4890605239868164
s160m_bm08,0.12374263070581741,0.084,1.2928166542053223,1.552277862548828
s70m_q70,0.12361708077499693,0.084,1.2849601287841796,1.553988067626953
s70m_q62,0.1234844268902853,0.086,1.2860700263977052,1.5571259307861327
s160m_q08,0.1232929878909615,0.086,1.215963882446289,1.494997531890869
s160m_q56,0.12319227778752158,0.086,1.2736520042419435,1.5430521926879883
d70_160_q46,0.12232623642160077,0.096,1.194298366546631,1.471453826904297
d70_160_q94,0.12221049592564014,0.098,1.239898250579834,1.4793821144104005
s160m_q80,0.12211185424467916,0.1,1.2235442390441895,1.5130945358276366
s160m_bm09,0.12113744870940547,0.106,1.2590898895263671,1.5288081474304198
s70m_q60,0.1210071503478401,0.106,1.217452465057373,1.503468894958496
d70_160_bs01,0.12076860045762815,0.106,1.1813150367736815,1.424065689086914
s70m_q12,0.1204234599014384,0.106,1.2291775131225586,1.5151357955932616
s70m_q14,0.1198937349242993,0.108,1.2352954025268554,1.4983053894042968
s70m_q38,0.11952031255602032,0.108,1.2712421073913573,1.5359040336608887
d70_160_fb02,0.11928472679244402,0.11,1.1739426193237306,1.4505814170837403
s70m_q57,0.11893170956581163,0.114,1.2352553634643555,1.5142739067077637
s160m_fb00,0.11890939997897348,0.114,1.2815467224121093,1.5563944549560547
s160m_bs06,0.11887582707851199,0.116,1.1930980072021484,1.4433166923522949
d70_160_q88,0.11712569528666741,0.118,1.230435386657715,1.4850275497436523
s70m_q02,0.11695746267511249,0.12,1.2557571716308593,1.5207476272583007
s70m_bs03,0.11604806578834122,0.128,1.2350504989624023,1.5175743141174316
s70m_bm02,0.11600827612607288,0.128,1.3013190307617188,1.5421582260131836
s160m_q48,0.11596700464070482,0.128,1.2561082000732422,1.5125924644470214
s160m_q72,0.11584175479401071,0.132,1.2481657180786132,1.5265199012756347
s160m_q76,0.11517787406401603,0.138,1.2784980392456056,1.5384807624816894
d70_160_bm15,0.11463420326035949,0.148,1.1843529243469237,1.439078971862793
s160m_q50,0.11456837662263004,0.148,1.2653243789672852,1.5170944061279297
s70m_bs02,0.11407711106532924,0.148,1.2377104148864746,1.5030557098388673
d70_160_q48,0.11380171780208857,0.148,1.207989589691162,1.454501838684082
d70_160_bs09,0.11364150504945285,0.152,1.2187777366638184,1.4793457260131837
s70m_q40,0.11321189982336513,0.158,1.3016963806152344,1.541374210357666
s160m_bs09,0.11295461755556997,0.16,1.2035019912719727,1.4762973289489747
s160m_q52,0.1127689436696539,0.162,1.2849270782470703,1.5222169227600097
s160m_q34,0.11213633782611075,0.166,1.2617003021240234,1.4700452308654786
d70_160_q08,0.11210220866014445,0.166,1.2117388801574707,1.4815302085876465
s70m_q74,0.11194273563674428,0.166,1.2614416885375976,1.520954315185547
s70m_q52,0.11100049721388047,0.172,1.239293067932129,1.5040503044128417
s70m_q34,0.11004417783864157,0.182,1.2451937294006348,1.487508804321289
s160m_q54,0.10997795020058557,0.182,1.2810154037475585,1.51524271774292
s70m_q86,0.10973826803136018,0.182,1.2213542709350587,1.4711661109924317
d70_160_q84,0.10930349374085335,0.184,1.2421290702819825,1.4953802947998047
s160m_q02,0.10866861661266833,0.186,1.2325927200317384,1.4578273391723633
s70m_q96,0.10859852631295282,0.186,1.2417045288085937,1.5014384498596192
