"covariate","block","score","rank_sel","rank_agg","rank_q95","freq_top20","p_marginal","below_fam05","below_mrg05","below_mrg01"
"enc_0169","encoder",1.2563915607529,1,1,58,0.05,0.000240700218818381,FALSE,TRUE,TRUE
"enc_0356","encoder",1.26225917554305,2,7,19,0,0.00050328227571116,FALSE,TRUE,TRUE
"enc_0278","encoder",1.26849762143127,3,3,17,0,0.0010109409190372,FALSE,TRUE,TRUE
"enc_0258","encoder",1.27691841384574,4,2,25,0.2,0.00248796498905908,FALSE,TRUE,TRUE
"tri_0006","trigram",1.27838327536369,5,10,34,0,0.00291028446389497,FALSE,TRUE,TRUE
"enc_0077","encoder",1.28392935246746,6,4,33,0.1,0.00517067833698031,FALSE,TRUE,TRUE
"enc_0266","encoder",1.29092916840001,7,18,143,0.05,0.0104091903719912,FALSE,TRUE,FALSE
"enc_0361","encoder",1.29195584150744,8,29,78,0.1,0.0115448577680525,FALSE,TRUE,FALSE
"enc_0237","encoder",1.29488669812629,9,31,53,0.05,0.0150940919037199,FALSE,TRUE,FALSE
"tri_0020","trigram",1.29615418696472,10,12,4,0.1,0.0169365426695842,FALSE,TRUE,FALSE
"enc_0229","encoder",1.29640224193913,11,37,239,0,0.0173741794310722,FALSE,TRUE,FALSE
"enc_0242","encoder",1.29702916262117,12,27,80,0.05,0.0184835886214442,FALSE,TRUE,FALSE
"enc_0355","encoder",1.2971180063758,13,25,179,0.15,0.0186214442013129,FALSE,TRUE,FALSE
"enc_0294","encoder",1.29755055232145,14,24,49,0.1,0.0193851203501094,FALSE,TRUE,FALSE
"enc_0213","encoder",1.29972460931039,15,49,20,0.05,0.0235929978118162,FALSE,TRUE,FALSE
"enc_0372","encoder",1.30011507731496,16,13,358,0.1,0.0243588621444201,FALSE,TRUE,FALSE
"enc_0251","encoder",1.30117572529971,17,14,43,0.1,0.0268161925601751,FALSE,TRUE,FALSE
"enc_0369","encoder",1.30124715839639,18,32,256,0,0.0269846827133479,FALSE,TRUE,FALSE
"enc_0137","encoder",1.30315851515624,19,38,26,0,0.031964989059081,FALSE,TRUE,FALSE
"enc_0152","encoder",1.30329144259254,20,22,52,0.1,0.0323369803063457,FALSE,TRUE,FALSE
"enc_0301","encoder",1.30381955134496,21,17,372,0.05,0.0338687089715536,FALSE,TRUE,FALSE
"enc_0240","encoder",1.30404087566837,22,63,41,0.1,0.0345492341356674,FALSE,TRUE,FALSE
"enc_0173","encoder",1.30468287960549,23,23,369,0.05,0.0365164113785558,FALSE,TRUE,FALSE
"enc_0038","encoder",1.30582254194948,24,64,268,0.05,0.0402647702407002,FALSE,TRUE,FALSE
"tri_0007","trigram",1.30630415563287,25,51,231,0.1,0.0419299781181619,FALSE,TRUE,FALSE
"enc_0059","encoder",1.30778051937773,26,21,335,0,0.047417943107221,FALSE,TRUE,FALSE
"w_long","surface",1.30818269166432,27,77,85,0.05,0.0489059080962801,FALSE,TRUE,FALSE
"enc_0383","encoder",1.30910511826915,28,47,10,0.05,0.052691466083151,FALSE,FALSE,FALSE
