"covariate","block","score","rank_sel","rank_agg","rank_q95","freq_top20","p_marginal","below_fam05","below_mrg05","below_mrg01"
"s160m_max","s160m",0.893808370482903,1,1,1,1,0,TRUE,TRUE,TRUE
"s70m_max","s70m",0.975573338832538,2,2,2,0.9,0,TRUE,TRUE,TRUE
"s160m_kurt","s160m",1.05480572123242,3,3,3,0.65,0,TRUE,TRUE,TRUE
"s70m_kurt","s70m",1.08661140213378,4,4,10,0.45,0,TRUE,TRUE,TRUE
"s160m_skew","s160m",1.10675590506046,5,5,42,0.7,0,TRUE,TRUE,TRUE
"s70m_skew","s70m",1.12510314074258,6,6,160,0.45,0,TRUE,TRUE,TRUE
"d70_160_min","d70",1.15226084874337,7,7,124,0.1,3.78787878787879e-06,TRUE,TRUE,TRUE
"s160m_bs01","s160m",1.15325322518028,8,8,149,0.3,3.78787878787879e-06,TRUE,TRUE,TRUE
"s160m_bs08","s160m",1.15934432175989,9,17,92,0.1,0.000306818181818182,FALSE,TRUE,TRUE
"d70_160_skew","d70",1.16232298066436,10,19,173,0.25,0.00153787878787879,FALSE,TRUE,TRUE
"d70_160_kurt","d70",1.16302460076586,11,13,260,0.1,0.00202272727272727,FALSE,TRUE,TRUE
"s70m_bs01","s70m",1.16601636192708,12,26,159,0.2,0.00683712121212121,FALSE,TRUE,TRUE
"d70_160_bs15","d70",1.16720344099272,13,28,219,0.15,0.0107121212121212,FALSE,TRUE,FALSE
"d70_160_q98","d70",1.16749764726729,14,30,223,0.2,0.0118825757575758,FALSE,TRUE,FALSE
"s160m_sd","s160m",1.16951288960544,15,11,4,0.2,0.0233901515151515,FALSE,TRUE,FALSE
"d70_160_bm02","d70",1.16957985307909,16,25,262,0.05,0.0239166666666667,FALSE,TRUE,FALSE
"s160m_bm13","s160m",1.16988310177586,17,14,131,0.15,0.026280303030303,FALSE,TRUE,FALSE
"d70_160_bs00","d70",1.17001916607074,18,41,230,0.2,0.0273522727272727,FALSE,TRUE,FALSE
"d70_160_bm09","d70",1.17045923738859,19,34,254,0,0.0311818181818182,FALSE,TRUE,FALSE
"s70m_bm03","s70m",1.17076337573865,20,43,161,0.2,0.0341174242424242,FALSE,TRUE,FALSE
"d70_160_bs05","d70",1.1711531592022,21,53,221,0.05,0.0382954545454545,FALSE,TRUE,FALSE
"d70_160_mean","d70",1.17128959820777,22,40,224,0.15,0.0399621212121212,FALSE,TRUE,FALSE
"s70m_bs08","s70m",1.17156057350399,23,23,123,0.05,0.0432348484848485,FALSE,TRUE,FALSE
"d70_160_bm01","d70",1.17169473296776,24,64,263,0.05,0.0449848484848485,FALSE,TRUE,FALSE
"d70_160_q48","d70",1.17222781934595,25,63,244,0.05,0.0523409090909091,FALSE,FALSE,FALSE
"d70_160_q94","d70",1.17234974664603,26,46,222,0.1,0.0542840909090909,FALSE,FALSE,FALSE
"d70_160_q84","d70",1.17237110494207,27,68,200,0.05,0.0546098484848485,FALSE,FALSE,FALSE
"d70_160_q88","d70",1.1726543753172,28,65,202,0.1,0.0588939393939394,FALSE,FALSE,FALSE
"d70_160_q52","d70",1.17320956522762,29,70,251,0,0.0681477272727273,FALSE,FALSE,FALSE
"d70_160_q38","d70",1.17352253269963,30,36,203,0.1,0.0736439393939394,FALSE,FALSE,FALSE
"s160m_bs02","s160m",1.17360701852985,31,12,156,0.25,0.0752765151515151,FALSE,FALSE,FALSE
"d70_160_q96","d70",1.17372431202906,32,56,217,0.15,0.0774962121212121,FALSE,FALSE,FALSE
"d70_160_bs09","d70",1.17399660347898,33,54,234,0,0.0830984848484849,FALSE,FALSE,FALSE
"d70_160_q14","d70",1.1743219759382,34,69,100,0,0.0900113636363636,FALSE,FALSE,FALSE
"s70m_bm04","s70m",1.17435145022948,35,74,142,0.1,0.0906704545454545,FALSE,FALSE,FALSE
"d70_160_max","d70",1.17437881944765,36,37,255,0,0.0912878787878788,FALSE,FALSE,FALSE
"d70_160_q86","d70",1.17456765520114,37,81,198,0.2,0.095530303030303,FALSE,FALSE,FALSE
"d70_160_q60","d70",1.17458270324596,38,87,233,0.05,0.0959356060606061,FALSE,FALSE,FALSE
"s70m_bs10","s70m",1.17469063257853,39,88,144,0.15,0.0986704545454545,FALSE,FALSE,FALSE
"d70_160_q50","d70",1.17485378149071,40,84,246,0,0.102503787878788,FALSE,FALSE,FALSE
"d70_160_q54","d70",1.17488513771492,41,93,248,0.05,0.103261363636364,FALSE,FALSE,FALSE
"s160m_bm04","s160m",1.17532389342931,42,42,121,0,0.114268939393939,FALSE,FALSE,FALSE
"d70_160_q46","d70",1.17535882128025,43,59,240,0,0.115181818181818,FALSE,FALSE,FALSE
