"covariate","block","score","rank_sel","rank_agg","rank_q95","freq_top20","p_marginal","below_fam05","below_mrg05","below_mrg01"
"p160m_q08","p160m",1.25525236697386,1,1,129,0.15,0.0018561797752809,FALSE,TRUE,TRUE
"p70m_bm00","p70m",1.2561559262432,2,8,159,0.15,0.00200224719101124,FALSE,TRUE,TRUE
"d160m_410m_q82","d160m",1.25700189372117,3,2,9,0.05,0.0021685393258427,FALSE,TRUE,TRUE
"p410m_q32","p410m",1.26561032955771,4,12,261,0.05,0.00606067415730337,FALSE,TRUE,TRUE
"d70m_410m_mean","d70m",1.26663231006477,5,15,174,0,0.00673483146067416,FALSE,TRUE,TRUE
"d160m_410m_bm13","d160m",1.26782113689187,6,7,80,0.1,0.00767865168539326,FALSE,TRUE,TRUE
"p410m_q24","p410m",1.27102332665929,7,23,89,0.05,0.0108269662921348,FALSE,TRUE,FALSE
"p410m_q56","p410m",1.27139772169617,8,29,148,0.1,0.0112741573033708,FALSE,TRUE,FALSE
"p70m_q92","p70m",1.27383390452594,9,6,256,0.2,0.014514606741573,FALSE,TRUE,FALSE
"p160m_q88","p160m",1.2753703108907,10,26,84,0.05,0.0169325842696629,FALSE,TRUE,FALSE
"p160m_mean","p160m",1.27564421493771,11,31,201,0.1,0.017476404494382,FALSE,TRUE,FALSE
"p70m_bs06","p70m",1.27597329157081,12,38,37,0.15,0.0181191011235955,FALSE,TRUE,FALSE
"d160m_410m_q90","d160m",1.27676224278903,13,18,118,0.1,0.0196314606741573,FALSE,TRUE,FALSE
"p410m_q50","p410m",1.27790403341714,14,13,3,0.05,0.0219640449438202,FALSE,TRUE,FALSE
"p160m_q74","p160m",1.27857041368273,15,11,109,0.05,0.0235191011235955,FALSE,TRUE,FALSE
"p410m_q70","p410m",1.27990402480492,16,28,246,0.05,0.0269752808988764,FALSE,TRUE,FALSE
"p70m_bs12","p70m",1.27992309704862,17,24,122,0,0.0270224719101124,FALSE,TRUE,FALSE
"d70m_410m_bs06","d70m",1.28007301867715,18,60,198,0,0.0274112359550562,FALSE,TRUE,FALSE
"p410m_bs04","p410m",1.28063911546917,19,63,244,0.05,0.0288719101123595,FALSE,TRUE,FALSE
"d160m_410m_q20","d160m",1.28075647921548,20,65,50,0.05,0.0291595505617978,FALSE,TRUE,FALSE
"d160m_410m_bs06","d160m",1.28108602863674,21,35,8,0.05,0.0300426966292135,FALSE,TRUE,FALSE
"p160m_bm09","p160m",1.28108850250536,22,33,324,0.1,0.0300516853932584,FALSE,TRUE,FALSE
"p70m_bm04","p70m",1.28123810649902,23,44,24,0,0.0305168539325843,FALSE,TRUE,FALSE
"p70m_sd","p70m",1.28145236799401,24,80,43,0.1,0.0311752808988764,FALSE,TRUE,FALSE
"p410m_q22","p410m",1.28179346905345,25,9,103,0,0.0322404494382022,FALSE,TRUE,FALSE
"p160m_q80","p160m",1.2823277197494,26,41,28,0.05,0.034,FALSE,TRUE,FALSE
"d70m_410m_q36","d70m",1.28257562125234,27,48,195,0.1,0.0348426966292135,FALSE,TRUE,FALSE
"p160m_q52","p160m",1.28346135622323,28,3,238,0.1,0.0378516853932584,FALSE,TRUE,FALSE
"p70m_bs01","p70m",1.28362349012834,29,39,70,0.15,0.038447191011236,FALSE,TRUE,FALSE
"d70m_410m_bm04","d70m",1.28471259625696,30,25,106,0,0.0424808988764045,FALSE,TRUE,FALSE
"p410m_bs15","p410m",1.28542316464333,31,94,265,0.1,0.0452741573033708,FALSE,TRUE,FALSE
"d160m_410m_q22","d160m",1.285547123318,32,16,63,0.05,0.0458202247191011,FALSE,TRUE,FALSE
"d70m_410m_q18","d70m",1.2859291065162,33,22,219,0.1,0.0474741573033708,FALSE,TRUE,FALSE
"p160m_q22","p160m",1.28638628025956,34,77,81,0,0.0497011235955056,FALSE,TRUE,FALSE
"d70m_410m_q26","d70m",1.28696540790426,35,36,192,0.2,0.0524224719101124,FALSE,FALSE,FALSE
"d160m_410m_q92","d160m",1.28729347372735,36,89,152,0.15,0.0539078651685393,FALSE,FALSE,FALSE
"p160m_bs03","p160m",1.28793883965067,37,106,194,0.05,0.0571191011235955,FALSE,FALSE,FALSE
"p70m_q56","p70m",1.28798794196741,38,78,134,0,0.0574202247191011,FALSE,FALSE,FALSE
"p160m_bm08","p160m",1.28852999592531,39,62,237,0.1,0.0603640449438202,FALSE,FALSE,FALSE
"d160m_410m_q46","d160m",1.28909206474269,40,115,12,0,0.0633910112359551,FALSE,FALSE,FALSE
"d160m_410m_skew","d160m",1.29007366273429,41,58,269,0.1,0.0691460674157303,FALSE,FALSE,FALSE
"d160m_410m_q76","d160m",1.29127417320363,42,71,217,0,0.0765707865168539,FALSE,FALSE,FALSE
"p70m_q52","p70m",1.2919173698271,43,124,16,0.05,0.0807393258426966,FALSE,FALSE,FALSE
"p70m_bs02","p70m",1.29194205655834,44,85,184,0.1,0.0809056179775281,FALSE,FALSE,FALSE
"p70m_bm02","p70m",1.29231515098493,45,70,73,0,0.0833258426966292,FALSE,FALSE,FALSE
"p70m_q80","p70m",1.29248548375012,46,34,285,0.05,0.0844966292134832,FALSE,FALSE,FALSE
