"covariate","block","score","rank_sel","rank_agg","rank_q95","freq_top20","p_marginal","below_fam05","below_mrg05","below_mrg01"
"s160m_fb00","s160m",1.2822898381795,1,4,38,0.1,0.00427407407407407,FALSE,TRUE,TRUE
"s160m_sd","s160m",1.28436255658043,2,6,114,0,0.00528888888888889,FALSE,TRUE,TRUE
"s160m_bm06","s160m",1.2847550769131,3,5,62,0,0.00552962962962963,FALSE,TRUE,TRUE
"d70_160_q30","d70",1.29462898866889,4,16,167,0.15,0.0148407407407407,FALSE,TRUE,FALSE
"d70_160_bm04","d70",1.29467558931866,5,20,18,0.1,0.0149259259259259,FALSE,TRUE,FALSE
"d70_160_bm09","d70",1.29600172177245,6,11,8,0.1,0.0169518518518519,FALSE,TRUE,FALSE
"s70m_q40","s70m",1.30108192505903,7,12,35,0.15,0.0268222222222222,FALSE,TRUE,FALSE
"s70m_bm01","s70m",1.30253981307109,8,34,68,0.15,0.0305703703703704,FALSE,TRUE,FALSE
"d70_160_bm11","d70",1.30635641485615,9,10,37,0.05,0.0423518518518518,FALSE,TRUE,FALSE
"s70m_bs09","s70m",1.30746801481565,10,39,28,0.1,0.0465037037037037,FALSE,TRUE,FALSE
"s70m_bs00","s70m",1.30866838068054,11,31,91,0.1,0.0514555555555556,FALSE,FALSE,FALSE
"s70m_bs03","s70m",1.30922283787474,12,14,11,0.05,0.0539407407407407,FALSE,FALSE,FALSE
"s160m_q06","s160m",1.3103074392052,13,21,129,0.15,0.0589111111111111,FALSE,FALSE,FALSE
"s70m_bm10","s70m",1.3103573706909,14,9,14,0.1,0.0591481481481482,FALSE,FALSE,FALSE
"d70_160_skew","d70",1.31115603252714,15,27,31,0,0.063037037037037,FALSE,FALSE,FALSE
"d70_160_bs13","d70",1.31140838098708,16,55,123,0.2,0.064237037037037,FALSE,FALSE,FALSE
"s160m_q30","s160m",1.31153996655908,17,35,46,0.1,0.0649222222222222,FALSE,FALSE,FALSE
"d70_160_bm08","d70",1.31224538636008,18,1,59,0.15,0.0684925925925926,FALSE,FALSE,FALSE
"d70_160_q12","d70",1.31236714694335,19,26,92,0.1,0.0691481481481482,FALSE,FALSE,FALSE
"d70_160_q84","d70",1.31289513150134,20,3,9,0.15,0.0723592592592593,FALSE,FALSE,FALSE
"s160m_q84","s160m",1.31357460920082,21,54,139,0.05,0.0765185185185185,FALSE,FALSE,FALSE
"s160m_q02","s160m",1.31419240250099,22,43,146,0.2,0.080062962962963,FALSE,FALSE,FALSE
"s70m_bm02","s70m",1.31433693159767,23,71,45,0,0.0810037037037037,FALSE,FALSE,FALSE
"s160m_bs15","s160m",1.31498645461644,24,29,89,0.05,0.0852777777777778,FALSE,FALSE,FALSE
"s160m_q28","s160m",1.3152275772248,25,77,56,0.15,0.0868,FALSE,FALSE,FALSE
"s160m_bm11","s160m",1.31557612233855,26,23,23,0.05,0.0892,FALSE,FALSE,FALSE
"d70_160_q38","d70",1.31566338743845,27,69,96,0.05,0.0897666666666667,FALSE,FALSE,FALSE
"s70m_q62","s70m",1.31575556570948,28,84,110,0.1,0.0903555555555556,FALSE,FALSE,FALSE
"s160m_q92","s160m",1.31641106252915,29,48,188,0.1,0.0949962962962963,FALSE,FALSE,FALSE
"s70m_bs10","s70m",1.316498205383,30,40,148,0.15,0.0957259259259259,FALSE,FALSE,FALSE
