"n","rep","regle","hits10","hits20","worst"
1000,1,"tail selected",1,1,75
1000,1,"tail aggregated",2,2,5
1000,1,"Yoshida-Umezu paper",0,0,108
1000,1,"Yoshida-Umezu h=2",1,1,33
1000,1,"quantile 0.90",2,2,3
1000,1,"quantile 0.95",2,2,3
1000,1,"quantile 0.99",0,0,49
1000,2,"tail selected",2,2,4
1000,2,"tail aggregated",2,2,4
1000,2,"Yoshida-Umezu paper",1,2,15
1000,2,"Yoshida-Umezu h=2",1,2,12
1000,2,"quantile 0.90",2,2,8
1000,2,"quantile 0.95",1,2,16
1000,2,"quantile 0.99",0,0,60
1000,3,"tail selected",1,2,14
1000,3,"tail aggregated",2,2,5
1000,3,"Yoshida-Umezu paper",2,2,9
1000,3,"Yoshida-Umezu h=2",1,1,73
1000,3,"quantile 0.90",1,1,87
1000,3,"quantile 0.95",2,2,3
1000,3,"quantile 0.99",0,2,19
1000,4,"tail selected",1,1,191
1000,4,"tail aggregated",1,1,109
1000,4,"Yoshida-Umezu paper",1,1,21
1000,4,"Yoshida-Umezu h=2",1,1,43
1000,4,"quantile 0.90",1,1,81
1000,4,"quantile 0.95",1,1,130
1000,4,"quantile 0.99",2,2,10
1000,5,"tail selected",1,1,123
1000,5,"tail aggregated",1,1,62
1000,5,"Yoshida-Umezu paper",1,1,56
1000,5,"Yoshida-Umezu h=2",1,1,202
1000,5,"quantile 0.90",1,1,144
1000,5,"quantile 0.95",1,1,121
1000,5,"quantile 0.99",0,1,238
1000,6,"tail selected",1,1,114
1000,6,"tail aggregated",1,1,138
1000,6,"Yoshida-Umezu paper",0,1,71
1000,6,"Yoshida-Umezu h=2",0,0,154
1000,6,"quantile 0.90",2,2,9
1000,6,"quantile 0.95",2,2,3
1000,6,"quantile 0.99",0,0,183
1000,7,"tail selected",2,2,3
1000,7,"tail aggregated",2,2,3
1000,7,"Yoshida-Umezu paper",2,2,3
1000,7,"Yoshida-Umezu h=2",2,2,3
1000,7,"quantile 0.90",2,2,3
1000,7,"quantile 0.95",2,2,3
1000,7,"quantile 0.99",1,1,97
1000,8,"tail selected",2,2,3
1000,8,"tail aggregated",2,2,3
1000,8,"Yoshida-Umezu paper",2,2,3
1000,8,"Yoshida-Umezu h=2",1,1,89
1000,8,"quantile 0.90",2,2,3
1000,8,"quantile 0.95",2,2,2
1000,8,"quantile 0.99",1,2,14
1000,9,"tail selected",2,2,3
1000,9,"tail aggregated",2,2,3
1000,9,"Yoshida-Umezu paper",2,2,8
1000,9,"Yoshida-Umezu h=2",1,2,14
1000,9,"quantile 0.90",2,2,5
1000,9,"quantile 0.95",2,2,4
1000,9,"quantile 0.99",1,1,28
1000,10,"tail selected",1,1,186
1000,10,"tail aggregated",1,1,221
1000,10,"Yoshida-Umezu paper",0,0,257
1000,10,"Yoshida-Umezu h=2",0,0,143
1000,10,"quantile 0.90",1,1,216
1000,10,"quantile 0.95",1,1,194
1000,10,"quantile 0.99",0,0,84
1000,11,"tail selected",2,2,3
1000,11,"tail aggregated",2,2,3
1000,11,"Yoshida-Umezu paper",0,1,22
1000,11,"Yoshida-Umezu h=2",1,1,187
1000,11,"quantile 0.90",2,2,3
1000,11,"quantile 0.95",2,2,3
1000,11,"quantile 0.99",1,1,47
1000,12,"tail selected",1,1,33
1000,12,"tail aggregated",1,1,53
1000,12,"Yoshida-Umezu paper",0,0,58
1000,12,"Yoshida-Umezu h=2",1,1,35
1000,12,"quantile 0.90",1,1,208
1000,12,"quantile 0.95",2,2,8
1000,12,"quantile 0.99",1,1,23
1000,13,"tail selected",2,2,5
1000,13,"tail aggregated",2,2,9
1000,13,"Yoshida-Umezu paper",0,0,227
1000,13,"Yoshida-Umezu h=2",1,1,134
1000,13,"quantile 0.90",2,2,3
1000,13,"quantile 0.95",2,2,5
1000,13,"quantile 0.99",0,0,88
1000,14,"tail selected",1,1,89
1000,14,"tail aggregated",1,1,108
1000,14,"Yoshida-Umezu paper",0,1,164
1000,14,"Yoshida-Umezu h=2",1,1,39
1000,14,"quantile 0.90",1,2,18
1000,14,"quantile 0.95",2,2,8
1000,14,"quantile 0.99",0,1,39
1000,15,"tail selected",1,1,42
1000,15,"tail aggregated",1,2,12
1000,15,"Yoshida-Umezu paper",0,0,126
1000,15,"Yoshida-Umezu h=2",1,1,84
1000,15,"quantile 0.90",2,2,6
1000,15,"quantile 0.95",2,2,3
1000,15,"quantile 0.99",0,0,234
1000,16,"tail selected",2,2,3
1000,16,"tail aggregated",2,2,3
1000,16,"Yoshida-Umezu paper",1,1,37
1000,16,"Yoshida-Umezu h=2",1,1,26
1000,16,"quantile 0.90",2,2,3
1000,16,"quantile 0.95",2,2,3
1000,16,"quantile 0.99",0,2,14
1000,17,"tail selected",2,2,4
1000,17,"tail aggregated",2,2,3
1000,17,"Yoshida-Umezu paper",0,0,174
1000,17,"Yoshida-Umezu h=2",0,0,57
1000,17,"quantile 0.90",2,2,4
1000,17,"quantile 0.95",2,2,3
1000,17,"quantile 0.99",0,2,18
1000,18,"tail selected",1,1,81
1000,18,"tail aggregated",1,2,11
1000,18,"Yoshida-Umezu paper",0,0,251
1000,18,"Yoshida-Umezu h=2",1,1,209
1000,18,"quantile 0.90",1,1,108
1000,18,"quantile 0.95",2,2,5
1000,18,"quantile 0.99",0,1,22
1000,19,"tail selected",2,2,6
1000,19,"tail aggregated",2,2,8
1000,19,"Yoshida-Umezu paper",0,0,225
1000,19,"Yoshida-Umezu h=2",2,2,6
1000,19,"quantile 0.90",2,2,6
1000,19,"quantile 0.95",2,2,4
1000,19,"quantile 0.99",0,2,16
1000,20,"tail selected",2,2,6
1000,20,"tail aggregated",2,2,4
1000,20,"Yoshida-Umezu paper",0,0,111
1000,20,"Yoshida-Umezu h=2",0,0,155
1000,20,"quantile 0.90",2,2,4
