13:01:13 A2 reps 76-100 done
13:01:28 A2 reps 101-125 done
13:01:49 A2 reps 126-150 done
13:02:03 A2 reps 151-175 done
13:02:22 A2 reps 176-200 done
13:02:40 A3 reps 1-25 done
13:02:53 A3 reps 26-50 done
13:03:12 A3 reps 51-75 done
13:03:27 A3 reps 76-100 done
13:03:49 A3 reps 101-125 done
13:04:05 A3 reps 126-150 done
13:04:23 A3 reps 151-175 done
13:04:38 A3 reps 176-200 done
13:04:54 B1 reps 1-25 done
13:05:09 B1 reps 26-50 done
13:05:28 B1 reps 51-75 done
13:05:44 B1 reps 76-100 done
13:06:01 B1 reps 101-125 done
13:06:15 B1 reps 126-150 done
13:06:31 B1 reps 151-175 done
13:06:46 B1 reps 176-200 done

YU tuning grid ( 80  cells, 200 reps each)
 model   h   k k_fraction reps sure4 sure20   ermax medmax undefined
    A1 0.5 100      0.050  200 0.010  0.320 117.995   50.5         0
    A1 0.5 120      0.060  200 0.135  0.720  29.655    8.0         0
    A1 0.5 144      0.072  200 0.040  0.265 228.885  132.0         0
    A1 0.5 160      0.080  200 0.000  0.005 579.380  603.0         0
    A1 1.0 100      0.050  200 0.015  0.300 139.390   65.0         0
    A1 1.0 120      0.060  200 0.155  0.670  52.095   10.0         0
    A1 1.0 144      0.072  200 0.180  0.410 187.920   42.0         0
    A1 1.0 160      0.080  200 0.015  0.050 511.625  537.5         0
    A1 1.5 100      0.050  200 0.045  0.365 149.655   44.5         0
    A1 1.5 120      0.060  200 0.140  0.615  76.205   10.0         0
    A1 1.5 144      0.072  200 0.190  0.420 194.040   53.5         0
    A1 1.5 160      0.080  200 0.040  0.100 399.035  397.5         0
    A1 2.0 100      0.050  200 0.090  0.390 178.030   41.5         0
    A1 2.0 120      0.060  200 0.165  0.570 108.900   13.5         0
    A1 2.0 144      0.072  200 0.190  0.440 208.825   46.5         0
    A1 2.0 160      0.080  200 0.075  0.165 370.815  340.5         0
    A1 3.0 100      0.050  200 0.130  0.245 340.280  273.0         0
    A1 3.0 120      0.060  200 0.130  0.350 244.735  137.5         0
    A1 3.0 144      0.072  200 0.140  0.240 334.245  265.0         0
    A1 3.0 160      0.080  200 0.065  0.125 449.675  461.5         0
    A2 0.5 100      0.050  200 0.000  0.060 347.165  291.5         0
    A2 0.5 120      0.060  200 0.005  0.145 255.440  180.0         0
    A2 0.5 144      0.072  200 0.010  0.050 403.760  361.0         0
    A2 0.5 160      0.080  200 0.000  0.000 577.150  609.5         0
    A2 1.0 100      0.050  200 0.015  0.085 311.095  272.0         0
    A2 1.0 120      0.060  200 0.025  0.160 239.760  134.5         0
    A2 1.0 144      0.072  200 0.025  0.110 333.925  294.0         0
    A2 1.0 160      0.080  200 0.000  0.005 478.545  487.0         0
    A2 1.5 100      0.050  200 0.010  0.185 240.895  136.5         0
    A2 1.5 120      0.060  200 0.050  0.240 217.950  114.5         0
    A2 1.5 144      0.072  200 0.055  0.230 286.330  200.5         0
    A2 1.5 160      0.080  200 0.015  0.100 409.105  385.5         0
    A2 2.0 100      0.050  200 0.050  0.245 254.895  135.0         0
    A2 2.0 120      0.060  200 0.055  0.290 254.945  125.5         0
    A2 2.0 144      0.072  200 0.080  0.245 278.760  173.0         0
    A2 2.0 160      0.080  200 0.025  0.095 389.885  338.5         0
    A2 3.0 100      0.050  200 0.080  0.220 395.025  378.0         0
    A2 3.0 120      0.060  200 0.060  0.145 402.675  403.0         0
    A2 3.0 144      0.072  200 0.035  0.165 403.260  395.0         0
    A2 3.0 160      0.080  200 0.030  0.070 481.080  527.0         0
    A3 0.5 100      0.050  200 0.010  0.300 121.840   48.0         0
    A3 0.5 120      0.060  200 0.060  0.615  50.030   13.0         0
    A3 0.5 144      0.072  200 0.060  0.255 209.845  121.5         0
    A3 0.5 160      0.080  200 0.000  0.025 522.015  534.0         0
    A3 1.0 100      0.050  200 0.040  0.325 155.940   73.5         0
    A3 1.0 120      0.060  200 0.115  0.525  77.270   15.0         0
    A3 1.0 144      0.072  200 0.155  0.390 160.290   46.0         0
    A3 1.0 160      0.080  200 0.005  0.070 446.000  476.5         0
    A3 1.5 100      0.050  200 0.045  0.345 151.940   56.0         0
    A3 1.5 120      0.060  200 0.135  0.555 110.570   14.5         0
    A3 1.5 144      0.072  200 0.135  0.445 177.930   36.5         0
    A3 1.5 160      0.080  200 0.050  0.125 365.125  302.0         0
    A3 2.0 100      0.050  200 0.110  0.415 166.320   40.0         0
    A3 2.0 120      0.060  200 0.170  0.490 139.485   23.5         0
    A3 2.0 144      0.072  200 0.190  0.430 207.745   53.0         0
    A3 2.0 160      0.080  200 0.070  0.160 348.320  272.5         0
    A3 3.0 100      0.050  200 0.145  0.270 300.065  205.5         0
    A3 3.0 120      0.060  200 0.130  0.240 291.190  209.0         0
    A3 3.0 144      0.072  200 0.165  0.235 322.910  220.0         0
    A3 3.0 160      0.080  200 0.070  0.155 423.925  393.5         0
    B1 0.5 100      0.050  200 0.000  0.040 359.840  326.0         0
    B1 0.5 120      0.060  200 0.000  0.025 383.445  373.0         0
    B1 0.5 144      0.072  200 0.000  0.010 425.415  423.5         0
    B1 0.5 160      0.080  200 0.000  0.000 431.965  428.5         0
    B1 1.0 100      0.050  200 0.015  0.160 196.915   99.5         0
    B1 1.0 120      0.060  200 0.010  0.115 201.430  137.0         0
    B1 1.0 144      0.072  200 0.010  0.055 277.370  190.5         0
    B1 1.0 160      0.080  200 0.005  0.045 270.405  236.0         0
    B1 1.5 100      0.050  200 0.015  0.185 162.530   53.0         0
    B1 1.5 120      0.060  200 0.015  0.160 149.045   47.0         0
    B1 1.5 144      0.072  200 0.015  0.100 208.305  114.0         0
    B1 1.5 160      0.080  200 0.000  0.090 188.610   83.5         0
    B1 2.0 100      0.050  200 0.025  0.195 188.300   40.5         0
    B1 2.0 120      0.060  200 0.010  0.135 153.960   38.5         0
    B1 2.0 144      0.072  200 0.000  0.105 227.320   81.5         0
    B1 2.0 160      0.080  200 0.015  0.080 168.975   55.0         0
    B1 3.0 100      0.050  200 0.000  0.140 302.910  177.5         0
    B1 3.0 120      0.060  200 0.000  0.100 231.205   57.5         0
    B1 3.0 144      0.072  200 0.005  0.070 297.320  163.5         0
    B1 3.0 160      0.080  200 0.000  0.080 244.625   56.0         0

Selected per model (Sure-20 argmax, ties by E(Rmax)):
 model   h   k k_fraction sure4 sure20   ermax
    A1 0.5 120       0.06 0.135  0.720  29.655
    A2 2.0 120       0.06 0.055  0.290 254.945
    A3 0.5 120       0.06 0.060  0.615  50.030
    B1 2.0 100       0.05 0.025  0.195 188.300

YU TUNING DONE
