"model","h","k","k_fraction","reps","sure4","sure20","ermax","medmax","undefined"
"A1",0.5,100,0.05,200,0.01,0.32,117.995,50.5,0
"A1",0.5,120,0.06,200,0.135,0.72,29.655,8,0
"A1",0.5,144,0.072,200,0.04,0.265,228.885,132,0
"A1",0.5,160,0.08,200,0,0.005,579.38,603,0
"A1",1,100,0.05,200,0.015,0.3,139.39,65,0
"A1",1,120,0.06,200,0.155,0.67,52.095,10,0
"A1",1,144,0.072,200,0.18,0.41,187.92,42,0
"A1",1,160,0.08,200,0.015,0.05,511.625,537.5,0
"A1",1.5,100,0.05,200,0.045,0.365,149.655,44.5,0
"A1",1.5,120,0.06,200,0.14,0.615,76.205,10,0
"A1",1.5,144,0.072,200,0.19,0.42,194.04,53.5,0
"A1",1.5,160,0.08,200,0.04,0.1,399.035,397.5,0
"A1",2,100,0.05,200,0.09,0.39,178.03,41.5,0
"A1",2,120,0.06,200,0.165,0.57,108.9,13.5,0
"A1",2,144,0.072,200,0.19,0.44,208.825,46.5,0
"A1",2,160,0.08,200,0.075,0.165,370.815,340.5,0
"A1",3,100,0.05,200,0.13,0.245,340.28,273,0
"A1",3,120,0.06,200,0.13,0.35,244.735,137.5,0
"A1",3,144,0.072,200,0.14,0.24,334.245,265,0
"A1",3,160,0.08,200,0.065,0.125,449.675,461.5,0
"A2",0.5,100,0.05,200,0,0.06,347.165,291.5,0
"A2",0.5,120,0.06,200,0.005,0.145,255.44,180,0
"A2",0.5,144,0.072,200,0.01,0.05,403.76,361,0
"A2",0.5,160,0.08,200,0,0,577.15,609.5,0
"A2",1,100,0.05,200,0.015,0.085,311.095,272,0
"A2",1,120,0.06,200,0.025,0.16,239.76,134.5,0
"A2",1,144,0.072,200,0.025,0.11,333.925,294,0
"A2",1,160,0.08,200,0,0.005,478.545,487,0
"A2",1.5,100,0.05,200,0.01,0.185,240.895,136.5,0
"A2",1.5,120,0.06,200,0.05,0.24,217.95,114.5,0
"A2",1.5,144,0.072,200,0.055,0.23,286.33,200.5,0
"A2",1.5,160,0.08,200,0.015,0.1,409.105,385.5,0
"A2",2,100,0.05,200,0.05,0.245,254.895,135,0
"A2",2,120,0.06,200,0.055,0.29,254.945,125.5,0
"A2",2,144,0.072,200,0.08,0.245,278.76,173,0
"A2",2,160,0.08,200,0.025,0.095,389.885,338.5,0
"A2",3,100,0.05,200,0.08,0.22,395.025,378,0
"A2",3,120,0.06,200,0.06,0.145,402.675,403,0
"A2",3,144,0.072,200,0.035,0.165,403.26,395,0
"A2",3,160,0.08,200,0.03,0.07,481.08,527,0
"A3",0.5,100,0.05,200,0.01,0.3,121.84,48,0
"A3",0.5,120,0.06,200,0.06,0.615,50.03,13,0
"A3",0.5,144,0.072,200,0.06,0.255,209.845,121.5,0
"A3",0.5,160,0.08,200,0,0.025,522.015,534,0
"A3",1,100,0.05,200,0.04,0.325,155.94,73.5,0
"A3",1,120,0.06,200,0.115,0.525,77.27,15,0
"A3",1,144,0.072,200,0.155,0.39,160.29,46,0
"A3",1,160,0.08,200,0.005,0.07,446,476.5,0
"A3",1.5,100,0.05,200,0.045,0.345,151.94,56,0
"A3",1.5,120,0.06,200,0.135,0.555,110.57,14.5,0
"A3",1.5,144,0.072,200,0.135,0.445,177.93,36.5,0
"A3",1.5,160,0.08,200,0.05,0.125,365.125,302,0
"A3",2,100,0.05,200,0.11,0.415,166.32,40,0
"A3",2,120,0.06,200,0.17,0.49,139.485,23.5,0
"A3",2,144,0.072,200,0.19,0.43,207.745,53,0
"A3",2,160,0.08,200,0.07,0.16,348.32,272.5,0
"A3",3,100,0.05,200,0.145,0.27,300.065,205.5,0
"A3",3,120,0.06,200,0.13,0.24,291.19,209,0
"A3",3,144,0.072,200,0.165,0.235,322.91,220,0
"A3",3,160,0.08,200,0.07,0.155,423.925,393.5,0
"B1",0.5,100,0.05,200,0,0.04,359.84,326,0
"B1",0.5,120,0.06,200,0,0.025,383.445,373,0
"B1",0.5,144,0.072,200,0,0.01,425.415,423.5,0
"B1",0.5,160,0.08,200,0,0,431.965,428.5,0
"B1",1,100,0.05,200,0.015,0.16,196.915,99.5,0
"B1",1,120,0.06,200,0.01,0.115,201.43,137,0
"B1",1,144,0.072,200,0.01,0.055,277.37,190.5,0
"B1",1,160,0.08,200,0.005,0.045,270.405,236,0
"B1",1.5,100,0.05,200,0.015,0.185,162.53,53,0
"B1",1.5,120,0.06,200,0.015,0.16,149.045,47,0
"B1",1.5,144,0.072,200,0.015,0.1,208.305,114,0
"B1",1.5,160,0.08,200,0,0.09,188.61,83.5,0
"B1",2,100,0.05,200,0.025,0.195,188.3,40.5,0
"B1",2,120,0.06,200,0.01,0.135,153.96,38.5,0
"B1",2,144,0.072,200,0,0.105,227.32,81.5,0
"B1",2,160,0.08,200,0.015,0.08,168.975,55,0
"B1",3,100,0.05,200,0,0.14,302.91,177.5,0
"B1",3,120,0.06,200,0,0.1,231.205,57.5,0
"B1",3,144,0.072,200,0.005,0.07,297.32,163.5,0
"B1",3,160,0.08,200,0,0.08,244.625,56,0
